order_id,product_id,quantity,sales_amount
O00115,P00805,2,427.00
O00115,P00818,3,784.80
O00116,P00812,3,718.20
O00116,P00825,1,287.50
O00116,P00838,2,671.20
O00117,P00819,1,265.30
O00118,P00826,2,582.40
O00118,P00839,3,1017.90
O00119,P00833,3,951.30
O00119,P00846,1,365.20
O00119,P00859,2,826.60
O00120,P00840,1,343.00
O00121,P00847,2,737.80
O00121,P00860,3,1251.00
O00122,P00854,3,1184.40
O00122,P00867,1,442.90
O00122,P00880,2,982.00
O00123,P00861,1,420.70
O00124,P00868,2,893.20
O00124,P00881,3,1484.10
O00125,P00875,3,1417.50
O00125,P00888,1,520.60
O00125,P00901,2,1137.40
O00126,P00882,1,498.40
O00127,P00889,2,1048.60
O00127,P00902,3,1717.20
O00128,P00896,3,1650.60
O00128,P00909,1,598.30
O00128,P00922,2,1292.80
O00129,P00903,1,576.10
O00130,P00910,2,1204.00
O00130,P00923,3,1950.30
O00131,P00917,3,1883.70
O00131,P00930,1,676.00
O00131,P00943,2,1448.20
O00132,P00924,1,653.80
O00133,P00931,2,1359.40
O00133,P00944,3,2183.40
O00134,P00938,3,2116.80
O00134,P00951,1,753.70
O00134,P00964,2,1603.60
O00135,P00945,1,731.50
O00136,P00952,2,1514.80
O00136,P00965,3,2416.50
O00137,P00959,3,2349.90
O00137,P00972,1,831.40
O00137,P00985,2,1759.00
O00138,P00966,1,809.20
O00139,P00973,2,1670.20
O00139,P00986,3,2649.60
O00140,P00980,3,2583.00
O00140,P00993,1,909.10
O00140,P01006,2,64.40
O00141,P00987,1,886.90
O00142,P00994,2,1825.60
O00142,P01007,3,107.70
O00143,P01001,3,41.10
O00143,P01014,1,61.80
O00143,P01027,2,219.80
O00144,P01008,1,39.60
O00145,P01015,2,131.00
O00145,P01028,3,340.80
O00146,P01022,3,274.20
O00146,P01035,1,139.50
O00146,P01048,2,375.20
O00147,P01029,1,117.30
O00148,P01036,2,286.40
O00148,P01049,3,573.90
O00149,P01043,3,507.30
O00149,P01056,1,217.20
O00149,P01069,2,530.60
O00150,P01050,1,195.00
O00151,P01057,2,441.80
O00151,P01070,3,807.00
O00152,P01064,3,740.40
O00152,P01077,1,294.90
O00152,P01090,2,686.00
O00153,P01071,1,272.70
O00154,P01078,2,597.20
O00154,P01091,3,1040.10
O00155,P01085,3,973.50
O00155,P01098,1,372.60
O00155,P01111,2,841.40
O00156,P01092,1,350.40
O00157,P01099,2,752.60
O00157,P01112,3,1273.20
O00158,P01106,3,1206.60
O00158,P01119,1,450.30
O00158,P01132,2,996.80
O00159,P01113,1,428.10
O00160,P01120,2,908.00
O00160,P01133,3,1506.30
O00161,P01127,3,1439.70
O00161,P01140,1,528.00
O00161,P01153,2,1152.20
O00162,P01134,1,505.80
O00163,P01141,2,1063.40
O00163,P01154,3,1739.40
O00164,P01148,3,1672.80
O00164,P01161,1,605.70
O00164,P01174,2,1307.60
O00165,P01155,1,583.50
O00166,P01162,2,1218.80
O00166,P01175,3,1972.50
O00167,P01169,3,1905.90
O00167,P01182,1,683.40
O00167,P01195,2,1463.00
O00168,P01176,1,661.20
O00169,P01183,2,1374.20
O00169,P01196,3,2205.60
O00170,P01190,3,2139.00
O00170,P00003,1,21.10
O00170,P00016,2,138.40
O00171,P01197,1,738.90
O00172,P00004,2,49.60
O00172,P00017,3,218.70
O00173,P00011,3,152.10
O00173,P00024,1,98.80
O00173,P00037,2,293.80
O00174,P00018,1,76.60
O00175,P00025,2,205.00
O00175,P00038,3,451.80
O00176,P00032,3,385.20
O00176,P00045,1,176.50
O00176,P00058,2,449.20
O00177,P00039,1,154.30
O00178,P00046,2,360.40
O00178,P00059,3,684.90
O00179,P00053,3,618.30
O00179,P00066,1,254.20
O00179,P00079,2,604.60
O00180,P00060,1,232.00
O00181,P00067,2,515.80
O00181,P00080,3,918.00
O00182,P00074,3,851.40
O00182,P00087,1,331.90
O00182,P00100,2,760.00
O00183,P00081,1,309.70
O00184,P00088,2,671.20
O00184,P00101,3,1151.10
O00185,P00095,3,1084.50
O00185,P00108,1,409.60
O00185,P00121,2,915.40
O00186,P00102,1,387.40
O00187,P00109,2,826.60
O00187,P00122,3,1384.20
O00188,P00116,3,1317.60
O00188,P00129,1,487.30
O00188,P00142,2,1070.80
O00189,P00123,1,465.10
O00190,P00130,2,982.00
O00190,P00143,3,1617.30
O00191,P00137,3,1550.70
O00191,P00150,1,565.00
O00191,P00163,2,1226.20
O00192,P00144,1,542.80
O00193,P00151,2,1137.40
O00193,P00164,3,1850.40
O00194,P00158,3,1783.80
O00194,P00171,1,642.70
O00194,P00184,2,1381.60
O00195,P00165,1,620.50
O00196,P00172,2,1292.80
O00196,P00185,3,2083.50
O00197,P00179,3,2016.90
O00197,P00192,1,720.40
O00197,P00205,2,1537.00
O00198,P00186,1,698.20
O00199,P00193,2,1448.20
O00199,P00206,3,2316.60
O00200,P00200,3,2250.00
O00200,P00213,1,798.10
O00200,P00226,2,1692.40
O00201,P00207,1,775.90
O00202,P00214,2,1603.60
O00202,P00227,3,2549.70
O00203,P00221,3,2483.10
O00203,P00234,1,875.80
O00203,P00247,2,1847.80
O00204,P00228,1,853.60
O00205,P00235,2,1759.00
O00205,P00248,3,2782.80
O00206,P00242,3,2716.20
O00206,P00255,1,28.50
O00206,P00268,2,153.20
O00207,P00249,1,931.30
O00208,P00256,2,64.40
O00208,P00269,3,240.90
O00209,P00263,3,174.30
O00209,P00276,1,106.20
O00209,P00289,2,308.60
O00210,P00270,1,84.00
O00211,P00277,2,219.80
O00211,P00290,3,474.00
O00212,P00284,3,407.40
O00212,P00297,1,183.90
O00212,P00310,2,464.00
O00213,P00291,1,161.70
O00214,P00298,2,375.20
O00214,P00311,3,707.10
O00215,P00305,3,640.50
O00215,P00318,1,261.60
O00215,P00331,2,619.40
O00216,P00312,1,239.40
O00217,P00319,2,530.60
O00217,P00332,3,940.20
O00218,P00326,3,873.60
O00218,P00339,1,339.30
O00218,P00352,2,774.80
O00219,P00333,1,317.10
O00220,P00340,2,686.00
O00220,P00353,3,1173.30
O00221,P00347,3,1106.70
O00221,P00360,1,417.00
O00221,P00373,2,930.20
O00222,P00354,1,394.80
O00223,P00361,2,841.40
O00223,P00374,3,1406.40
O00224,P00368,3,1339.80
O00224,P00381,1,494.70
O00224,P00394,2,1085.60
O00225,P00375,1,472.50
O00226,P00382,2,996.80
O00226,P00395,3,1639.50
O00227,P00389,3,1572.90
O00227,P00402,1,572.40
O00227,P00415,2,1241.00
O00228,P00396,1,550.20
O00229,P00403,2,1152.20
O00229,P00416,3,1872.60
O00230,P00410,3,1806.00
O00230,P00423,1,650.10
O00230,P00436,2,1396.40
O00231,P00417,1,627.90
O00232,P00424,2,1307.60
O00232,P00437,3,2105.70
O00233,P00431,3,2039.10
O00233,P00444,1,727.80
O00233,P00457,2,1551.80
O00234,P00438,1,705.60
O00235,P00445,2,1463.00
O00235,P00458,3,2338.80
O00236,P00452,3,2272.20
O00236,P00465,1,805.50
O00236,P00478,2,1707.20
O00237,P00459,1,783.30
O00238,P00466,2,1618.40
O00238,P00479,3,2571.90
O00239,P00473,3,2505.30
O00239,P00486,1,883.20
O00239,P00499,2,1862.60
O00240,P00480,1,861.00
O00241,P00487,2,1773.80
O00241,P00500,3,30.00
O00242,P00494,3,2738.40
O00242,P00507,1,35.90
O00242,P00520,2,168.00
O00243,P00501,1,13.70
O00244,P00508,2,79.20
O00244,P00521,3,263.10
O00245,P00515,3,196.50
O00245,P00528,1,113.60
O00245,P00541,2,323.40
O00246,P00522,1,91.40
O00247,P00529,2,234.60
O00247,P00542,3,496.20
O00248,P00536,3,429.60
O00248,P00549,1,191.30
O00248,P00562,2,478.80
O00249,P00543,1,169.10
O00250,P00550,2,390.00
O00250,P00563,3,729.30
O00251,P00557,3,662.70
O00251,P00570,1,269.00
O00251,P00583,2,634.20
O00252,P00564,1,246.80
O00253,P00571,2,545.40
O00253,P00584,3,962.40
O00254,P00578,3,895.80
O00254,P00591,1,346.70
O00254,P00604,2,789.60
O00255,P00585,1,324.50
O00256,P00592,2,700.80
O00256,P00605,3,1195.50
O00257,P00599,3,1128.90
O00257,P00612,1,424.40
O00257,P00625,2,945.00
O00258,P00606,1,402.20
O00259,P00613,2,856.20
O00259,P00626,3,1428.60
O00260,P00620,3,1362.00
O00260,P00633,1,502.10
O00260,P00646,2,1100.40
O00261,P00627,1,479.90
O00262,P00634,2,1011.60
O00262,P00647,3,1661.70
O00263,P00641,3,1595.10
O00263,P00654,1,579.80
O00263,P00667,2,1255.80
O00264,P00648,1,557.60
O00265,P00655,2,1167.00
O00265,P00668,3,1894.80
O00266,P00662,3,1828.20
O00266,P00675,1,657.50
O00266,P00688,2,1411.20
O00267,P00669,1,635.30
O00268,P00676,2,1322.40
O00268,P00689,3,2127.90
O00269,P00683,3,2061.30
O00269,P00696,1,735.20
O00269,P00709,2,1566.60
O00270,P00690,1,713.00
O00271,P00697,2,1477.80
O00271,P00710,3,2361.00
O00272,P00704,3,2294.40
O00272,P00717,1,812.90
O00272,P00730,2,1722.00
O00273,P00711,1,790.70
O00274,P00718,2,1633.20
O00274,P00731,3,2594.10
O00275,P00725,3,2527.50
O00275,P00738,1,890.60
O00275,P00751,2,27.40
O00276,P00732,1,868.40
O00277,P00739,2,1788.60
O00277,P00752,3,52.20
O00278,P00746,3,2760.60
O00278,P00759,1,43.30
O00278,P00772,2,182.80
O00279,P00753,1,21.10
O00280,P00760,2,94.00
O00280,P00773,3,285.30
O00281,P00767,3,218.70
O00281,P00780,1,121.00
O00281,P00793,2,338.20
O00282,P00774,1,98.80
O00283,P00781,2,249.40
O00283,P00794,3,518.40
O00284,P00788,3,451.80
O00284,P00801,1,198.70
O00284,P00814,2,493.60
O00285,P00795,1,176.50
O00286,P00802,2,404.80
O00286,P00815,3,751.50
O00287,P00809,3,684.90
O00287,P00822,1,276.40
O00287,P00835,2,649.00
O00288,P00816,1,254.20
O00289,P00823,2,560.20
O00289,P00836,3,984.60
O00290,P00830,3,918.00
O00290,P00843,1,354.10
O00290,P00856,2,804.40
O00291,P00837,1,331.90
O00292,P00844,2,715.60
O00292,P00857,3,1217.70
O00293,P00851,3,1151.10
O00293,P00864,1,431.80
O00293,P00877,2,959.80
O00294,P00858,1,409.60
O00295,P00865,2,871.00
O00295,P00878,3,1450.80
O00296,P00872,3,1384.20
O00296,P00885,1,509.50
O00296,P00898,2,1115.20
O00297,P00879,1,487.30
O00298,P00886,2,1026.40
O00298,P00899,3,1683.90
O00299,P00893,3,1617.30
O00299,P00906,1,587.20
O00299,P00919,2,1270.60
O00300,P00900,1,565.00
O00301,P00907,2,1181.80
O00301,P00920,3,1917.00
O00302,P00914,3,1850.40
O00302,P00927,1,664.90
O00302,P00940,2,1426.00
O00303,P00921,1,642.70
O00304,P00928,2,1337.20
O00304,P00941,3,2150.10
O00305,P00935,3,2083.50
O00305,P00948,1,742.60
O00305,P00961,2,1581.40
O00306,P00942,1,720.40
O00307,P00949,2,1492.60
O00307,P00962,3,2383.20
O00308,P00956,3,2316.60
O00308,P00969,1,820.30
O00308,P00982,2,1736.80
O00309,P00963,1,798.10
O00310,P00970,2,1648.00
O00310,P00983,3,2616.30
O00311,P00977,3,2549.70
O00311,P00990,1,898.00
O00311,P01003,2,42.20
O00312,P00984,1,875.80
O00313,P00991,2,1803.40
O00313,P01004,3,74.40
O00314,P00998,3,2782.80
O00314,P01011,1,50.70
O00314,P01024,2,197.60
O00315,P01005,1,28.50
O00316,P01012,2,108.80
O00316,P01025,3,307.50
O00317,P01019,3,240.90
O00317,P01032,1,128.40
O00317,P01045,2,353.00
O00318,P01026,1,106.20
O00319,P01033,2,264.20
O00319,P01046,3,540.60
O00320,P01040,3,474.00
O00320,P01053,1,206.10
O00320,P01066,2,508.40
O00321,P01047,1,183.90
O00322,P01054,2,419.60
O00322,P01067,3,773.70
O00323,P01061,3,707.10
O00323,P01074,1,283.80
O00323,P01087,2,663.80
O00324,P01068,1,261.60
O00325,P01075,2,575.00
O00325,P01088,3,1006.80
O00326,P01082,3,940.20
O00326,P01095,1,361.50
O00326,P01108,2,819.20
O00327,P01089,1,339.30
O00328,P01096,2,730.40
O00328,P01109,3,1239.90
O00329,P01103,3,1173.30
O00329,P01116,1,439.20
O00329,P01129,2,974.60
O00330,P01110,1,417.00
O00331,P01117,2,885.80
O00331,P01130,3,1473.00
O00332,P01124,3,1406.40
O00332,P01137,1,516.90
O00332,P01150,2,1130.00
O00333,P01131,1,494.70
O00334,P01138,2,1041.20
O00334,P01151,3,1706.10
O00335,P01145,3,1639.50
O00335,P01158,1,594.60
O00335,P01171,2,1285.40
O00336,P01152,1,572.40
O00337,P01159,2,1196.60
O00337,P01172,3,1939.20
O00338,P01166,3,1872.60
O00338,P01179,1,672.30
O00338,P01192,2,1440.80
O00339,P01173,1,650.10
O00340,P01180,2,1352.00
O00340,P01193,3,2172.30
O00341,P01187,3,2105.70
O00341,P01200,1,750.00
O00341,P00013,2,116.20
O00342,P01194,1,727.80
O00343,P00001,2,27.40
O00343,P00014,3,185.40
O00344,P00008,3,118.80
O00344,P00021,1,87.70
O00344,P00034,2,271.60
O00345,P00015,1,65.50
O00346,P00022,2,182.80
O00346,P00035,3,418.50
O00347,P00029,3,351.90
O00347,P00042,1,165.40
O00347,P00055,2,427.00
O00348,P00036,1,143.20
O00349,P00043,2,338.20
O00349,P00056,3,651.60
O00350,P00050,3,0.00
O00350,P00063,1,243.10
O00350,P00076,2,582.40
O00351,P00057,1,220.90
O00352,P00064,2,493.60
O00352,P00077,3,884.70
O00353,P00071,3,818.10
O00353,P00084,1,320.80
O00353,P00097,2,737.80
O00354,P00078,1,298.60
O00355,P00085,2,649.00
O00355,P00098,3,1117.80
O00356,P00092,3,1051.20
O00356,P00105,1,398.50
O00356,P00118,2,893.20
O00357,P00099,1,376.30
O00358,P00106,2,804.40
O00358,P00119,3,1350.90
O00359,P00113,3,1284.30
O00359,P00126,1,476.20
O00359,P00139,2,1048.60
O00360,P00120,1,454.00
O00361,P00127,2,959.80
O00361,P00140,3,1584.00
O00362,P00134,3,1517.40
O00362,P00147,1,553.90
O00362,P00160,2,1204.00
O00363,P00141,1,531.70
O00364,P00148,2,1115.20
O00364,P00161,3,1817.10
O00365,P00155,3,1750.50
O00365,P00168,1,631.60
O00365,P00181,2,1359.40
O00366,P00162,1,609.40
O00367,P00169,2,1270.60
O00367,P00182,3,2050.20
O00368,P00176,3,1983.60
O00368,P00189,1,709.30
O00368,P00202,2,1514.80
O00369,P00183,1,687.10
O00370,P00190,2,1426.00
O00370,P00203,3,2283.30
O00371,P00197,3,2216.70
O00371,P00210,1,787.00
O00371,P00223,2,1670.20
O00372,P00204,1,764.80
O00373,P00211,2,1581.40
O00373,P00224,3,2516.40
O00374,P00218,3,2449.80
O00374,P00231,1,864.70
O00374,P00244,2,1825.60
O00375,P00225,1,842.50
O00376,P00232,2,1736.80
O00376,P00245,3,2749.50
O00377,P00239,3,2682.90
O00377,P00252,1,17.40
O00377,P00265,2,131.00
O00378,P00246,1,920.20
O00379,P00253,2,42.20
O00379,P00266,3,207.60
O00380,P00260,3,141.00
O00380,P00273,1,95.10
O00380,P00286,2,286.40
O00381,P00267,1,72.90
O00382,P00274,2,197.60
O00382,P00287,3,440.70
O00383,P00281,3,374.10
O00383,P00294,1,172.80
O00383,P00307,2,441.80
O00384,P00288,1,150.60
O00385,P00295,2,353.00
O00385,P00308,3,673.80
O00386,P00302,3,607.20
O00386,P00315,1,250.50
O00386,P00328,2,597.20
O00387,P00309,1,228.30
O00388,P00316,2,508.40
O00388,P00329,3,906.90
O00389,P00323,3,840.30
O00389,P00336,1,328.20
O00389,P00349,2,752.60
O00390,P00330,1,306.00
O00391,P00337,2,663.80
O00391,P00350,3,1140.00
O00392,P00344,3,1073.40
O00392,P00357,1,405.90
O00392,P00370,2,908.00
O00393,P00351,1,383.70
O00394,P00358,2,819.20
O00394,P00371,3,1373.10
O00395,P00365,3,1306.50
O00395,P00378,1,483.60
O00395,P00391,2,1063.40
O00396,P00372,1,461.40
O00397,P00379,2,974.60
O00397,P00392,3,1606.20
O00398,P00386,3,1539.60
O00398,P00399,1,561.30
O00398,P00412,2,1218.80
O00399,P00393,1,539.10
O00400,P00400,2,1130.00
O00400,P00413,3,1839.30
O00401,P00407,3,1772.70
O00401,P00420,1,639.00
O00401,P00433,2,1374.20
O00402,P00414,1,616.80
O00403,P00421,2,1285.40
O00403,P00434,3,2072.40
O00404,P00428,3,2005.80
O00404,P00441,1,716.70
O00404,P00454,2,1529.60
O00405,P00435,1,694.50
O00406,P00442,2,1440.80
O00406,P00455,3,2305.50
O00407,P00449,3,2238.90
O00407,P00462,1,794.40
O00407,P00475,2,1685.00
O00408,P00456,1,772.20
O00409,P00463,2,1596.20
O00409,P00476,3,2538.60
O00410,P00470,3,2472.00
O00410,P00483,1,872.10
O00410,P00496,2,1840.40
O00411,P00477,1,849.90
O00412,P00484,2,1751.60
O00412,P00497,3,2771.70
O00413,P00491,3,2705.10
O00413,P00504,1,24.80
O00413,P00517,2,145.80
O00414,P00498,1,927.60
O00415,P00505,2,57.00
O00415,P00518,3,229.80
O00416,P00512,3,163.20
O00416,P00525,1,102.50
O00416,P00538,2,301.20
O00417,P00519,1,80.30
O00418,P00526,2,212.40
O00418,P00539,3,462.90
O00419,P00533,3,396.30
O00419,P00546,1,180.20
O00419,P00559,2,456.60
O00420,P00540,1,158.00
O00421,P00547,2,367.80
O00421,P00560,3,696.00
O00422,P00554,3,629.40
O00422,P00567,1,257.90
O00422,P00580,2,612.00
O00423,P00561,1,235.70
O00424,P00568,2,523.20
O00424,P00581,3,929.10
O00425,P00575,3,862.50
O00425,P00588,1,335.60
O00425,P00601,2,767.40
O00426,P00582,1,313.40
O00427,P00589,2,678.60
O00427,P00602,3,1162.20
O00428,P00596,3,1095.60
O00428,P00609,1,413.30
O00428,P00622,2,922.80
O00429,P00603,1,391.10
O00430,P00610,2,834.00
O00430,P00623,3,1395.30
O00431,P00617,3,1328.70
O00431,P00630,1,491.00
O00431,P00643,2,1078.20
O00432,P00624,1,468.80
O00433,P00631,2,989.40
O00433,P00644,3,1628.40
O00434,P00638,3,1561.80
O00434,P00651,1,568.70
O00434,P00664,2,1233.60
O00435,P00645,1,546.50
O00436,P00652,2,1144.80
O00436,P00665,3,1861.50
O00437,P00659,3,1794.90
O00437,P00672,1,646.40
O00437,P00685,2,1389.00
O00438,P00666,1,624.20
O00439,P00673,2,1300.20
O00439,P00686,3,2094.60
O00440,P00680,3,2028.00
O00440,P00693,1,724.10
O00440,P00706,2,1544.40
O00441,P00687,1,701.90
O00442,P00694,2,1455.60
O00442,P00707,3,2327.70
O00443,P00701,3,2261.10
O00443,P00714,1,801.80
O00443,P00727,2,1699.80
O00444,P00708,1,779.60
O00445,P00715,2,1611.00
O00445,P00728,3,2560.80
O00446,P00722,3,2494.20
O00446,P00735,1,879.50
O00446,P00748,2,1855.20
O00447,P00729,1,857.30
O00448,P00736,2,1766.40
O00448,P00749,3,2793.90
O00449,P00743,3,2727.30
O00449,P00756,1,32.20
O00449,P00769,2,160.60
O00450,P00750,1,10.00
O00451,P00757,2,71.80
O00451,P00770,3,252.00
O00452,P00764,3,185.40
O00452,P00777,1,109.90
O00452,P00790,2,316.00
O00453,P00771,1,87.70
O00454,P00778,2,227.20
O00454,P00791,3,485.10
O00455,P00785,3,418.50
O00455,P00798,1,187.60
O00455,P00811,2,471.40
O00456,P00792,1,165.40
O00457,P00799,2,382.60
O00457,P00812,3,718.20
O00458,P00806,3,651.60
O00458,P00819,1,265.30
O00458,P00832,2,626.80
O00459,P00813,1,243.10
O00460,P00820,2,538.00
O00460,P00833,3,951.30
O00461,P00827,3,884.70
O00461,P00840,1,343.00
O00461,P00853,2,782.20
O00462,P00834,1,320.80
O00463,P00841,2,693.40
O00463,P00854,3,1184.40
O00464,P00848,3,1117.80
O00464,P00861,1,420.70
O00464,P00874,2,937.60
O00465,P00855,1,398.50
O00466,P00862,2,848.80
O00466,P00875,3,1417.50
O00467,P00869,3,1350.90
O00467,P00882,1,498.40
O00467,P00895,2,1093.00
O00468,P00876,1,476.20
O00469,P00883,2,1004.20
O00469,P00896,3,1650.60
O00470,P00890,3,1584.00
O00470,P00903,1,576.10
O00470,P00916,2,1248.40
O00471,P00897,1,553.90
O00472,P00904,2,1159.60
O00472,P00917,3,1883.70
O00473,P00911,3,1817.10
O00473,P00924,1,653.80
O00473,P00937,2,1403.80
O00474,P00918,1,631.60
O00475,P00925,2,1315.00
O00475,P00938,3,2116.80
O00476,P00932,3,2050.20
O00476,P00945,1,731.50
O00476,P00958,2,1559.20
O00477,P00939,1,709.30
O00478,P00946,2,1470.40
O00478,P00959,3,2349.90
O00479,P00953,3,2283.30
O00479,P00966,1,809.20
O00479,P00979,2,1714.60
O00480,P00960,1,787.00
O00481,P00967,2,1625.80
O00481,P00980,3,2583.00
O00482,P00974,3,2516.40
O00482,P00987,1,886.90
O00482,P01000,2,20.00
O00483,P00981,1,864.70
O00484,P00988,2,1781.20
O00484,P01001,3,41.10
O00485,P00995,3,2749.50
O00485,P01008,1,39.60
O00485,P01021,2,175.40
O00486,P01002,1,17.40
