promotion_id,promotion_name,promotion_type,discount_amount,start_date,end_date
PR00061,Amount Promo 00061,Amount,16.24,2026-03-03,2026-04-02
PR00062,Bundle Promo 00062,Bundle,39.16,2026-03-04,2026-04-03
PR00063,BOGO Promo 00063,BOGO,35.81,2026-03-05,2026-04-04
PR00064,Percent Promo 00064,Percent,23.00,2026-03-06,2026-04-05
PR00065,Amount Promo 00065,Amount,17.76,2026-03-07,2026-04-06
PR00066,Bundle Promo 00066,Bundle,27.40,2026-03-08,2026-04-07
PR00067,BOGO Promo 00067,BOGO,33.53,2026-03-09,2026-04-08
PR00068,Percent Promo 00068,Percent,20.96,2026-03-10,2026-04-09
PR00069,Amount Promo 00069,Amount,38.82,2026-03-11,2026-04-10
PR00070,Bundle Promo 00070,Bundle,24.83,2026-03-12,2026-04-11
PR00071,BOGO Promo 00071,BOGO,32.57,2026-03-13,2026-04-12
PR00072,Percent Promo 00072,Percent,30.60,2026-03-14,2026-04-13
PR00073,Amount Promo 00073,Amount,5.19,2026-03-15,2026-04-14
PR00074,Bundle Promo 00074,Bundle,6.35,2026-03-16,2026-04-15
PR00075,BOGO Promo 00075,BOGO,16.80,2026-03-17,2026-04-16
PR00076,Percent Promo 00076,Percent,12.42,2026-03-18,2026-04-17
PR00077,Amount Promo 00077,Amount,20.65,2026-03-19,2026-04-18
PR00078,Bundle Promo 00078,Bundle,19.19,2026-03-20,2026-04-19
PR00079,BOGO Promo 00079,BOGO,22.96,2026-03-21,2026-04-20
PR00080,Percent Promo 00080,Percent,33.33,2026-03-22,2026-04-21
PR00081,Amount Promo 00081,Amount,35.97,2026-03-23,2026-04-22
PR00082,Bundle Promo 00082,Bundle,22.11,2026-03-24,2026-04-23
PR00083,BOGO Promo 00083,BOGO,34.08,2026-03-25,2026-04-24
PR00084,Percent Promo 00084,Percent,13.50,2026-03-26,2026-04-25
PR00085,Amount Promo 00085,Amount,17.31,2026-03-27,2026-04-26
PR00086,Bundle Promo 00086,Bundle,28.00,2026-03-28,2026-04-27
PR00087,BOGO Promo 00087,BOGO,25.70,2026-03-29,2026-04-28
PR00088,Percent Promo 00088,Percent,28.54,2026-03-30,2026-04-29
PR00089,Amount Promo 00089,Amount,35.26,2026-03-31,2026-04-30
PR00090,Bundle Promo 00090,Bundle,20.86,2026-04-01,2026-05-01
PR00091,BOGO Promo 00091,BOGO,6.34,2026-04-02,2026-05-02
PR00092,Percent Promo 00092,Percent,16.58,2026-04-03,2026-05-03
PR00093,Amount Promo 00093,Amount,22.13,2026-04-04,2026-05-04
PR00094,Bundle Promo 00094,Bundle,16.77,2026-04-05,2026-05-05
PR00095,BOGO Promo 00095,BOGO,12.36,2026-04-06,2026-05-06
PR00096,Percent Promo 00096,Percent,25.88,2026-04-07,2026-05-07
PR00097,Amount Promo 00097,Amount,21.15,2026-04-08,2026-05-08
PR00098,Bundle Promo 00098,Bundle,22.01,2026-04-09,2026-05-09
PR00099,BOGO Promo 00099,BOGO,35.36,2026-04-10,2026-05-10
PR00100,Percent Promo 00100,Percent,34.23,2026-04-11,2026-05-11
PR00101,Amount Promo 00101,Amount,10.54,2026-04-12,2026-05-12
PR00102,Bundle Promo 00102,Bundle,30.33,2026-04-13,2026-05-13
PR00103,BOGO Promo 00103,BOGO,5.23,2026-04-14,2026-05-14
PR00104,Percent Promo 00104,Percent,15.78,2026-04-15,2026-05-15
PR00105,Amount Promo 00105,Amount,18.12,2026-04-16,2026-05-16
PR00106,Bundle Promo 00106,Bundle,24.69,2026-04-17,2026-05-17
PR00107,BOGO Promo 00107,BOGO,33.46,2026-04-18,2026-05-18
PR00108,Percent Promo 00108,Percent,6.45,2026-04-19,2026-05-19
PR00109,Amount Promo 00109,Amount,39.10,2026-04-20,2026-05-20
PR00110,Bundle Promo 00110,Bundle,23.06,2026-04-21,2026-05-21
PR00111,BOGO Promo 00111,BOGO,24.08,2026-04-22,2026-05-22
PR00112,Percent Promo 00112,Percent,28.20,2026-04-23,2026-05-23
PR00113,Amount Promo 00113,Amount,19.11,2026-04-24,2026-05-24
PR00114,Bundle Promo 00114,Bundle,8.27,2026-04-25,2026-05-25
PR00115,BOGO Promo 00115,BOGO,31.58,2026-04-26,2026-05-26
PR00116,Percent Promo 00116,Percent,32.44,2026-04-27,2026-05-27
PR00117,Amount Promo 00117,Amount,37.65,2026-04-28,2026-05-28
PR00118,Bundle Promo 00118,Bundle,19.53,2026-04-29,2026-05-29
PR00119,BOGO Promo 00119,BOGO,23.71,2026-04-30,2026-05-30
PR00120,Percent Promo 00120,Percent,30.45,2026-01-01,2026-01-31
PR00121,Amount Promo 00121,Amount,31.02,2026-01-02,2026-02-01
PR00122,Bundle Promo 00122,Bundle,10.26,2026-01-03,2026-02-02
PR00123,BOGO Promo 00123,BOGO,35.32,2026-01-04,2026-02-03
PR00124,Percent Promo 00124,Percent,9.67,2026-01-05,2026-02-04
PR00125,Amount Promo 00125,Amount,17.30,2026-01-06,2026-02-05
PR00126,Bundle Promo 00126,Bundle,24.23,2026-01-07,2026-02-06
PR00127,BOGO Promo 00127,BOGO,23.97,2026-01-08,2026-02-07
PR00128,Percent Promo 00128,Percent,26.00,2026-01-09,2026-02-08
PR00129,Amount Promo 00129,Amount,9.59,2026-01-10,2026-02-09
PR00130,Bundle Promo 00130,Bundle,20.69,2026-01-11,2026-02-10
PR00131,BOGO Promo 00131,BOGO,15.38,2026-01-12,2026-02-11
PR00132,Percent Promo 00132,Percent,26.53,2026-01-13,2026-02-12
PR00133,Amount Promo 00133,Amount,15.39,2026-01-14,2026-02-13
PR00134,Bundle Promo 00134,Bundle,39.32,2026-01-15,2026-02-14
PR00135,BOGO Promo 00135,BOGO,27.99,2026-01-16,2026-02-15
PR00136,Percent Promo 00136,Percent,11.05,2026-01-17,2026-02-16
PR00137,Amount Promo 00137,Amount,7.23,2026-01-18,2026-02-17
PR00138,Bundle Promo 00138,Bundle,8.67,2026-01-19,2026-02-18
PR00139,BOGO Promo 00139,BOGO,18.91,2026-01-20,2026-02-19
PR00140,Percent Promo 00140,Percent,33.49,2026-01-21,2026-02-20
PR00141,Amount Promo 00141,Amount,28.18,2026-01-22,2026-02-21
PR00142,Bundle Promo 00142,Bundle,9.81,2026-01-23,2026-02-22
PR00143,BOGO Promo 00143,BOGO,27.08,2026-01-24,2026-02-23
PR00144,Percent Promo 00144,Percent,12.41,2026-01-25,2026-02-24
PR00145,Amount Promo 00145,Amount,16.82,2026-01-26,2026-02-25
PR00146,Bundle Promo 00146,Bundle,7.14,2026-01-27,2026-02-26
PR00147,BOGO Promo 00147,BOGO,37.62,2026-01-28,2026-02-27
PR00148,Percent Promo 00148,Percent,36.94,2026-01-29,2026-02-28
PR00149,Amount Promo 00149,Amount,23.59,2026-01-30,2026-03-01
PR00150,Bundle Promo 00150,Bundle,24.13,2026-01-31,2026-03-02
PR00151,BOGO Promo 00151,BOGO,36.51,2026-02-01,2026-03-03
PR00152,Percent Promo 00152,Percent,7.17,2026-02-02,2026-03-04
PR00153,Amount Promo 00153,Amount,39.53,2026-02-03,2026-03-05
PR00154,Bundle Promo 00154,Bundle,26.90,2026-02-04,2026-03-06
PR00155,BOGO Promo 00155,BOGO,12.10,2026-02-05,2026-03-07
PR00156,Percent Promo 00156,Percent,36.56,2026-02-06,2026-03-08
PR00157,Amount Promo 00157,Amount,31.59,2026-02-07,2026-03-09
PR00158,Bundle Promo 00158,Bundle,33.40,2026-02-08,2026-03-10
PR00159,BOGO Promo 00159,BOGO,5.22,2026-02-09,2026-03-11
PR00160,Percent Promo 00160,Percent,34.21,2026-02-10,2026-03-12
PR00161,Amount Promo 00161,Amount,30.18,2026-02-11,2026-03-13
PR00162,Bundle Promo 00162,Bundle,24.88,2026-02-12,2026-03-14
PR00163,BOGO Promo 00163,BOGO,29.97,2026-02-13,2026-03-15
PR00164,Percent Promo 00164,Percent,17.65,2026-02-14,2026-03-16
PR00165,Amount Promo 00165,Amount,19.60,2026-02-15,2026-03-17
PR00166,Bundle Promo 00166,Bundle,11.33,2026-02-16,2026-03-18
PR00167,BOGO Promo 00167,BOGO,7.67,2026-02-17,2026-03-19
PR00168,Percent Promo 00168,Percent,29.48,2026-02-18,2026-03-20
PR00169,Amount Promo 00169,Amount,16.20,2026-02-19,2026-03-21
PR00170,Bundle Promo 00170,Bundle,39.37,2026-02-20,2026-03-22
PR00171,BOGO Promo 00171,BOGO,18.90,2026-02-21,2026-03-23
PR00172,Percent Promo 00172,Percent,23.00,2026-02-22,2026-03-24
PR00173,Amount Promo 00173,Amount,13.55,2026-02-23,2026-03-25
PR00174,Bundle Promo 00174,Bundle,24.11,2026-02-24,2026-03-26
PR00175,BOGO Promo 00175,BOGO,22.25,2026-02-25,2026-03-27
PR00176,Percent Promo 00176,Percent,11.82,2026-02-26,2026-03-28
PR00177,Amount Promo 00177,Amount,5.86,2026-02-27,2026-03-29
PR00178,Bundle Promo 00178,Bundle,14.95,2026-02-28,2026-03-30
PR00179,BOGO Promo 00179,BOGO,34.21,2026-03-01,2026-03-31
PR00180,Percent Promo 00180,Percent,23.90,2026-03-02,2026-04-01
PR00181,Amount Promo 00181,Amount,25.98,2026-03-03,2026-04-02
PR00182,Bundle Promo 00182,Bundle,11.17,2026-03-04,2026-04-03
PR00183,BOGO Promo 00183,BOGO,39.11,2026-03-05,2026-04-04
PR00184,Percent Promo 00184,Percent,38.53,2026-03-06,2026-04-05
PR00185,Amount Promo 00185,Amount,15.51,2026-03-07,2026-04-06
PR00186,Bundle Promo 00186,Bundle,5.60,2026-03-08,2026-04-07
PR00187,BOGO Promo 00187,BOGO,20.93,2026-03-09,2026-04-08
PR00188,Percent Promo 00188,Percent,17.13,2026-03-10,2026-04-09
PR00189,Amount Promo 00189,Amount,34.28,2026-03-11,2026-04-10
PR00190,Bundle Promo 00190,Bundle,17.63,2026-03-12,2026-04-11
PR00191,BOGO Promo 00191,BOGO,36.06,2026-03-13,2026-04-12
PR00192,Percent Promo 00192,Percent,30.88,2026-03-14,2026-04-13
PR00193,Amount Promo 00193,Amount,15.29,2026-03-15,2026-04-14
PR00194,Bundle Promo 00194,Bundle,23.60,2026-03-16,2026-04-15
PR00195,BOGO Promo 00195,BOGO,29.60,2026-03-17,2026-04-16
PR00196,Percent Promo 00196,Percent,11.52,2026-03-18,2026-04-17
PR00197,Amount Promo 00197,Amount,35.26,2026-03-19,2026-04-18
PR00198,Bundle Promo 00198,Bundle,34.95,2026-03-20,2026-04-19
PR00199,BOGO Promo 00199,BOGO,24.56,2026-03-21,2026-04-20
PR00200,Percent Promo 00200,Percent,24.03,2026-03-22,2026-04-21
PR00201,Amount Promo 00201,Amount,32.35,2026-03-23,2026-04-22
PR00202,Bundle Promo 00202,Bundle,18.30,2026-03-24,2026-04-23
PR00203,BOGO Promo 00203,BOGO,39.55,2026-03-25,2026-04-24
PR00204,Percent Promo 00204,Percent,21.61,2026-03-26,2026-04-25
PR00205,Amount Promo 00205,Amount,31.40,2026-03-27,2026-04-26
PR00206,Bundle Promo 00206,Bundle,28.99,2026-03-28,2026-04-27
PR00207,BOGO Promo 00207,BOGO,25.99,2026-03-29,2026-04-28
PR00208,Percent Promo 00208,Percent,18.28,2026-03-30,2026-04-29
PR00209,Amount Promo 00209,Amount,15.68,2026-03-31,2026-04-30
PR00210,Bundle Promo 00210,Bundle,35.88,2026-04-01,2026-05-01
PR00211,BOGO Promo 00211,BOGO,5.55,2026-04-02,2026-05-02
PR00212,Percent Promo 00212,Percent,26.21,2026-04-03,2026-05-03
PR00213,Amount Promo 00213,Amount,15.72,2026-04-04,2026-05-04
PR00214,Bundle Promo 00214,Bundle,11.52,2026-04-05,2026-05-05
PR00215,BOGO Promo 00215,BOGO,11.00,2026-04-06,2026-05-06
PR00216,Percent Promo 00216,Percent,38.03,2026-04-07,2026-05-07
PR00217,Amount Promo 00217,Amount,28.78,2026-04-08,2026-05-08
PR00218,Bundle Promo 00218,Bundle,15.94,2026-04-09,2026-05-09
PR00219,BOGO Promo 00219,BOGO,7.82,2026-04-10,2026-05-10
PR00220,Percent Promo 00220,Percent,14.30,2026-04-11,2026-05-11
PR00221,Amount Promo 00221,Amount,31.20,2026-04-12,2026-05-12
PR00222,Bundle Promo 00222,Bundle,8.74,2026-04-13,2026-05-13
PR00223,BOGO Promo 00223,BOGO,20.79,2026-04-14,2026-05-14
PR00224,Percent Promo 00224,Percent,28.95,2026-04-15,2026-05-15
PR00225,Amount Promo 00225,Amount,20.28,2026-04-16,2026-05-16
PR00226,Bundle Promo 00226,Bundle,15.16,2026-04-17,2026-05-17
PR00227,BOGO Promo 00227,BOGO,7.88,2026-04-18,2026-05-18
PR00228,Percent Promo 00228,Percent,26.23,2026-04-19,2026-05-19
PR00229,Amount Promo 00229,Amount,8.81,2026-04-20,2026-05-20
PR00230,Bundle Promo 00230,Bundle,17.80,2026-04-21,2026-05-21
PR00231,BOGO Promo 00231,BOGO,14.09,2026-04-22,2026-05-22
PR00232,Percent Promo 00232,Percent,24.26,2026-04-23,2026-05-23
PR00233,Amount Promo 00233,Amount,31.52,2026-04-24,2026-05-24
PR00234,Bundle Promo 00234,Bundle,22.76,2026-04-25,2026-05-25
PR00235,BOGO Promo 00235,BOGO,21.79,2026-04-26,2026-05-26
PR00236,Percent Promo 00236,Percent,21.79,2026-04-27,2026-05-27
PR00237,Amount Promo 00237,Amount,22.73,2026-04-28,2026-05-28
PR00238,Bundle Promo 00238,Bundle,17.62,2026-04-29,2026-05-29
PR00239,BOGO Promo 00239,BOGO,21.23,2026-04-30,2026-05-30
PR00240,Percent Promo 00240,Percent,39.79,2026-01-01,2026-01-31
PR00241,Amount Promo 00241,Amount,12.03,2026-01-02,2026-02-01
PR00242,Bundle Promo 00242,Bundle,8.41,2026-01-03,2026-02-02
PR00243,BOGO Promo 00243,BOGO,34.44,2026-01-04,2026-02-03
PR00244,Percent Promo 00244,Percent,21.21,2026-01-05,2026-02-04
PR00245,Amount Promo 00245,Amount,17.77,2026-01-06,2026-02-05
PR00246,Bundle Promo 00246,Bundle,36.82,2026-01-07,2026-02-06
PR00247,BOGO Promo 00247,BOGO,8.56,2026-01-08,2026-02-07
PR00248,Percent Promo 00248,Percent,37.18,2026-01-09,2026-02-08
PR00249,Amount Promo 00249,Amount,15.77,2026-01-10,2026-02-09
PR00250,Bundle Promo 00250,Bundle,28.44,2026-01-11,2026-02-10
PR00251,BOGO Promo 00251,BOGO,32.79,2026-01-12,2026-02-11
PR00252,Percent Promo 00252,Percent,34.00,2026-01-13,2026-02-12
PR00253,Amount Promo 00253,Amount,29.42,2026-01-14,2026-02-13
PR00254,Bundle Promo 00254,Bundle,36.35,2026-01-15,2026-02-14
PR00255,BOGO Promo 00255,BOGO,36.03,2026-01-16,2026-02-15
PR00256,Percent Promo 00256,Percent,25.13,2026-01-17,2026-02-16
PR00257,Amount Promo 00257,Amount,23.53,2026-01-18,2026-02-17
PR00258,Bundle Promo 00258,Bundle,39.77,2026-01-19,2026-02-18
PR00259,BOGO Promo 00259,BOGO,15.48,2026-01-20,2026-02-19
PR00260,Percent Promo 00260,Percent,17.49,2026-01-21,2026-02-20
PR00261,Amount Promo 00261,Amount,32.05,2026-01-22,2026-02-21
PR00262,Bundle Promo 00262,Bundle,39.53,2026-01-23,2026-02-22
PR00263,BOGO Promo 00263,BOGO,16.17,2026-01-24,2026-02-23
PR00264,Percent Promo 00264,Percent,8.67,2026-01-25,2026-02-24
PR00265,Amount Promo 00265,Amount,35.30,2026-01-26,2026-02-25
PR00266,Bundle Promo 00266,Bundle,8.28,2026-01-27,2026-02-26
PR00267,BOGO Promo 00267,BOGO,35.06,2026-01-28,2026-02-27
PR00268,Percent Promo 00268,Percent,28.74,2026-01-29,2026-02-28
PR00269,Amount Promo 00269,Amount,32.48,2026-01-30,2026-03-01
PR00270,Bundle Promo 00270,Bundle,20.13,2026-01-31,2026-03-02
PR00271,BOGO Promo 00271,BOGO,20.13,2026-02-01,2026-03-03
PR00272,Percent Promo 00272,Percent,30.82,2026-02-02,2026-03-04
PR00273,Amount Promo 00273,Amount,10.60,2026-02-03,2026-03-05
PR00274,Bundle Promo 00274,Bundle,15.80,2026-02-04,2026-03-06
PR00275,BOGO Promo 00275,BOGO,19.84,2026-02-05,2026-03-07
PR00276,Percent Promo 00276,Percent,6.25,2026-02-06,2026-03-08
PR00277,Amount Promo 00277,Amount,5.14,2026-02-07,2026-03-09
PR00278,Bundle Promo 00278,Bundle,39.83,2026-02-08,2026-03-10
PR00279,BOGO Promo 00279,BOGO,15.56,2026-02-09,2026-03-11
PR00280,Percent Promo 00280,Percent,13.39,2026-02-10,2026-03-12
PR00281,Amount Promo 00281,Amount,21.76,2026-02-11,2026-03-13
PR00282,Bundle Promo 00282,Bundle,13.90,2026-02-12,2026-03-14
PR00283,BOGO Promo 00283,BOGO,25.12,2026-02-13,2026-03-15
PR00284,Percent Promo 00284,Percent,39.39,2026-02-14,2026-03-16
PR00285,Amount Promo 00285,Amount,8.71,2026-02-15,2026-03-17
PR00286,Bundle Promo 00286,Bundle,26.29,2026-02-16,2026-03-18
PR00287,BOGO Promo 00287,BOGO,6.34,2026-02-17,2026-03-19
PR00288,Percent Promo 00288,Percent,23.30,2026-02-18,2026-03-20
PR00289,Amount Promo 00289,Amount,20.51,2026-02-19,2026-03-21
PR00290,Bundle Promo 00290,Bundle,12.94,2026-02-20,2026-03-22
PR00291,BOGO Promo 00291,BOGO,36.56,2026-02-21,2026-03-23
PR00292,Percent Promo 00292,Percent,27.97,2026-02-22,2026-03-24
PR00293,Amount Promo 00293,Amount,17.15,2026-02-23,2026-03-25
PR00294,Bundle Promo 00294,Bundle,19.48,2026-02-24,2026-03-26
PR00295,BOGO Promo 00295,BOGO,17.75,2026-02-25,2026-03-27
PR00296,Percent Promo 00296,Percent,11.26,2026-02-26,2026-03-28
PR00297,Amount Promo 00297,Amount,25.71,2026-02-27,2026-03-29
PR00298,Bundle Promo 00298,Bundle,18.06,2026-02-28,2026-03-30
PR00299,BOGO Promo 00299,BOGO,30.15,2026-03-01,2026-03-31
PR00300,Percent Promo 00300,Percent,31.11,2026-03-02,2026-04-01
PR00301,Amount Promo 00301,Amount,10.53,2026-03-03,2026-04-02
PR00302,Bundle Promo 00302,Bundle,32.20,2026-03-04,2026-04-03
PR00303,BOGO Promo 00303,BOGO,29.25,2026-03-05,2026-04-04
PR00304,Percent Promo 00304,Percent,22.30,2026-03-06,2026-04-05
PR00305,Amount Promo 00305,Amount,24.59,2026-03-07,2026-04-06
PR00306,Bundle Promo 00306,Bundle,20.31,2026-03-08,2026-04-07
PR00307,BOGO Promo 00307,BOGO,5.63,2026-03-09,2026-04-08
PR00308,Percent Promo 00308,Percent,5.58,2026-03-10,2026-04-09
PR00309,Amount Promo 00309,Amount,19.76,2026-03-11,2026-04-10
PR00310,Bundle Promo 00310,Bundle,34.32,2026-03-12,2026-04-11
PR00311,BOGO Promo 00311,BOGO,39.80,2026-03-13,2026-04-12
PR00312,Percent Promo 00312,Percent,36.45,2026-03-14,2026-04-13
PR00313,Amount Promo 00313,Amount,24.13,2026-03-15,2026-04-14
PR00314,Bundle Promo 00314,Bundle,32.34,2026-03-16,2026-04-15
PR00315,BOGO Promo 00315,BOGO,10.80,2026-03-17,2026-04-16
PR00316,Percent Promo 00316,Percent,34.02,2026-03-18,2026-04-17
PR00317,Amount Promo 00317,Amount,15.70,2026-03-19,2026-04-18
PR00318,Bundle Promo 00318,Bundle,20.12,2026-03-20,2026-04-19
PR00319,BOGO Promo 00319,BOGO,28.17,2026-03-21,2026-04-20
PR00320,Percent Promo 00320,Percent,5.41,2026-03-22,2026-04-21
PR00321,Amount Promo 00321,Amount,32.16,2026-03-23,2026-04-22
PR00322,Bundle Promo 00322,Bundle,27.11,2026-03-24,2026-04-23
PR00323,BOGO Promo 00323,BOGO,30.09,2026-03-25,2026-04-24
PR00324,Percent Promo 00324,Percent,16.03,2026-03-26,2026-04-25
PR00325,Amount Promo 00325,Amount,8.25,2026-03-27,2026-04-26
PR00326,Bundle Promo 00326,Bundle,6.28,2026-03-28,2026-04-27
PR00327,BOGO Promo 00327,BOGO,16.23,2026-03-29,2026-04-28
PR00328,Percent Promo 00328,Percent,8.64,2026-03-30,2026-04-29
PR00329,Amount Promo 00329,Amount,22.87,2026-03-31,2026-04-30
PR00330,Bundle Promo 00330,Bundle,6.21,2026-04-01,2026-05-01
PR00331,BOGO Promo 00331,BOGO,27.96,2026-04-02,2026-05-02
PR00332,Percent Promo 00332,Percent,22.28,2026-04-03,2026-05-03
PR00333,Amount Promo 00333,Amount,17.92,2026-04-04,2026-05-04
PR00334,Bundle Promo 00334,Bundle,8.85,2026-04-05,2026-05-05
PR00335,BOGO Promo 00335,BOGO,30.84,2026-04-06,2026-05-06
PR00336,Percent Promo 00336,Percent,10.47,2026-04-07,2026-05-07
PR00337,Amount Promo 00337,Amount,13.40,2026-04-08,2026-05-08
PR00338,Bundle Promo 00338,Bundle,27.23,2026-04-09,2026-05-09
PR00339,BOGO Promo 00339,BOGO,25.17,2026-04-10,2026-05-10
PR00340,Percent Promo 00340,Percent,36.90,2026-04-11,2026-05-11
PR00341,Amount Promo 00341,Amount,35.22,2026-04-12,2026-05-12
PR00342,Bundle Promo 00342,Bundle,33.71,2026-04-13,2026-05-13
PR00343,BOGO Promo 00343,BOGO,21.09,2026-04-14,2026-05-14
PR00344,Percent Promo 00344,Percent,36.73,2026-04-15,2026-05-15
PR00345,Amount Promo 00345,Amount,8.11,2026-04-16,2026-05-16
PR00346,Bundle Promo 00346,Bundle,6.98,2026-04-17,2026-05-17
PR00347,BOGO Promo 00347,BOGO,25.41,2026-04-18,2026-05-18
PR00348,Percent Promo 00348,Percent,29.72,2026-04-19,2026-05-19
PR00349,Amount Promo 00349,Amount,35.47,2026-04-20,2026-05-20
PR00350,Bundle Promo 00350,Bundle,19.96,2026-04-21,2026-05-21
PR00351,BOGO Promo 00351,BOGO,14.64,2026-04-22,2026-05-22
PR00352,Percent Promo 00352,Percent,37.86,2026-04-23,2026-05-23
PR00353,Amount Promo 00353,Amount,37.51,2026-04-24,2026-05-24
PR00354,Bundle Promo 00354,Bundle,14.36,2026-04-25,2026-05-25
PR00355,BOGO Promo 00355,BOGO,16.01,2026-04-26,2026-05-26
PR00356,Percent Promo 00356,Percent,24.92,2026-04-27,2026-05-27
PR00357,Amount Promo 00357,Amount,28.85,2026-04-28,2026-05-28
PR00358,Bundle Promo 00358,Bundle,16.41,2026-04-29,2026-05-29
PR00359,BOGO Promo 00359,BOGO,22.72,2026-04-30,2026-05-30
PR00360,Percent Promo 00360,Percent,29.39,2026-01-01,2026-01-31
PR00361,Amount Promo 00361,Amount,26.25,2026-01-02,2026-02-01
PR00362,Bundle Promo 00362,Bundle,6.58,2026-01-03,2026-02-02
PR00363,BOGO Promo 00363,BOGO,37.41,2026-01-04,2026-02-03
PR00364,Percent Promo 00364,Percent,25.88,2026-01-05,2026-02-04
PR00365,Amount Promo 00365,Amount,39.43,2026-01-06,2026-02-05
PR00366,Bundle Promo 00366,Bundle,33.44,2026-01-07,2026-02-06
