customer_id,customer_segment,customer_tier,join_date
C00065,AtRisk,Silver,2023-03-07
C00066,New,Gold,2023-03-08
C00067,Loyal,Platinum,2023-03-09
C00068,AtRisk,Bronze,2023-03-10
C00069,New,Silver,2023-03-11
C00070,Loyal,Gold,2023-03-12
C00071,AtRisk,Platinum,2023-03-13
C00072,New,Bronze,2023-03-14
C00073,Loyal,Silver,2023-03-15
C00074,AtRisk,Gold,2023-03-16
C00075,New,Platinum,2023-03-17
C00076,Loyal,Bronze,2023-03-18
C00077,AtRisk,Silver,2023-03-19
C00078,New,Gold,2023-03-20
C00079,Loyal,Platinum,2023-03-21
C00080,AtRisk,Bronze,2023-03-22
C00081,New,Silver,2023-03-23
C00082,Loyal,Gold,2023-03-24
C00083,AtRisk,Platinum,2023-03-25
C00084,New,Bronze,2023-03-26
C00085,Loyal,Silver,2023-03-27
C00086,AtRisk,Gold,2023-03-28
C00087,New,Platinum,2023-03-29
C00088,Loyal,Bronze,2023-03-30
C00089,AtRisk,Silver,2023-03-31
C00090,New,Gold,2023-04-01
C00091,Loyal,Platinum,2023-04-02
C00092,AtRisk,Bronze,2023-04-03
C00093,New,Silver,2023-04-04
C00094,Loyal,Gold,2023-04-05
C00095,AtRisk,Platinum,2023-04-06
C00096,New,Bronze,2023-04-07
C00097,Loyal,Silver,2023-04-08
C00098,AtRisk,Gold,2023-04-09
C00099,New,Platinum,2023-04-10
C00100,Loyal,Bronze,2023-04-11
C00101,AtRisk,Silver,2023-04-12
C00102,New,Gold,2023-04-13
C00103,Loyal,Platinum,2023-04-14
C00104,AtRisk,Bronze,2023-04-15
C00105,New,Silver,2023-04-16
C00106,Loyal,Gold,2023-04-17
C00107,AtRisk,Platinum,2023-04-18
C00108,New,Bronze,2023-04-19
C00109,Loyal,Silver,2023-04-20
C00110,AtRisk,Gold,2023-04-21
C00111,New,Platinum,2023-04-22
C00112,Loyal,Bronze,2023-04-23
C00113,AtRisk,Silver,2023-04-24
C00114,New,Gold,2023-04-25
C00115,Loyal,Platinum,2023-04-26
C00116,AtRisk,Bronze,2023-04-27
C00117,New,Silver,2023-04-28
C00118,Loyal,Gold,2023-04-29
C00119,AtRisk,Platinum,2023-04-30
C00120,New,Bronze,2023-05-01
C00121,Loyal,Silver,2023-05-02
C00122,AtRisk,Gold,2023-05-03
C00123,New,Platinum,2023-05-04
C00124,Loyal,Bronze,2023-05-05
C00125,AtRisk,Silver,2023-05-06
C00126,New,Gold,2023-05-07
C00127,Loyal,Platinum,2023-05-08
C00128,AtRisk,Bronze,2023-05-09
C00129,New,Silver,2023-05-10
C00130,Loyal,Gold,2023-05-11
C00131,AtRisk,Platinum,2023-05-12
C00132,New,Bronze,2023-05-13
C00133,Loyal,Silver,2023-05-14
C00134,AtRisk,Gold,2023-05-15
C00135,New,Platinum,2023-05-16
C00136,Loyal,Bronze,2023-05-17
C00137,AtRisk,Silver,2023-05-18
C00138,New,Gold,2023-05-19
C00139,Loyal,Platinum,2023-05-20
C00140,AtRisk,Bronze,2023-05-21
C00141,New,Silver,2023-05-22
C00142,Loyal,Gold,2023-05-23
C00143,AtRisk,Platinum,2023-05-24
C00144,New,Bronze,2023-05-25
C00145,Loyal,Silver,2023-05-26
C00146,AtRisk,Gold,2023-05-27
C00147,New,Platinum,2023-05-28
C00148,Loyal,Bronze,2023-05-29
C00149,AtRisk,Silver,2023-05-30
C00150,New,Gold,2023-05-31
C00151,Loyal,Platinum,2023-06-01
C00152,AtRisk,Bronze,2023-06-02
C00153,New,Silver,2023-06-03
C00154,Loyal,Gold,2023-06-04
C00155,AtRisk,Platinum,2023-06-05
C00156,New,Bronze,2023-06-06
C00157,Loyal,Silver,2023-06-07
C00158,AtRisk,Gold,2023-06-08
C00159,New,Platinum,2023-06-09
C00160,Loyal,Bronze,2023-06-10
C00161,AtRisk,Silver,2023-06-11
C00162,New,Gold,2023-06-12
C00163,Loyal,Platinum,2023-06-13
C00164,AtRisk,Bronze,2023-06-14
C00165,New,Silver,2023-06-15
C00166,Loyal,Gold,2023-06-16
C00167,AtRisk,Platinum,2023-06-17
C00168,New,Bronze,2023-06-18
C00169,Loyal,Silver,2023-06-19
C00170,AtRisk,Gold,2023-06-20
C00171,New,Platinum,2023-06-21
C00172,Loyal,Bronze,2023-06-22
C00173,AtRisk,Silver,2023-06-23
C00174,New,Gold,2023-06-24
C00175,Loyal,Platinum,2023-06-25
C00176,AtRisk,Bronze,2023-06-26
C00177,New,Silver,2023-06-27
C00178,Loyal,Gold,2023-06-28
C00179,AtRisk,Platinum,2023-06-29
C00180,New,Bronze,2023-06-30
C00181,Loyal,Silver,2023-07-01
C00182,AtRisk,Gold,2023-07-02
C00183,New,Platinum,2023-07-03
C00184,Loyal,Bronze,2023-07-04
C00185,AtRisk,Silver,2023-07-05
C00186,New,Gold,2023-07-06
C00187,Loyal,Platinum,2023-07-07
C00188,AtRisk,Bronze,2023-07-08
C00189,New,Silver,2023-07-09
C00190,Loyal,Gold,2023-07-10
C00191,AtRisk,Platinum,2023-07-11
C00192,New,Bronze,2023-07-12
C00193,Loyal,Silver,2023-07-13
C00194,AtRisk,Gold,2023-07-14
C00195,New,Platinum,2023-07-15
C00196,Loyal,Bronze,2023-07-16
C00197,AtRisk,Silver,2023-07-17
C00198,New,Gold,2023-07-18
C00199,Loyal,Platinum,2023-07-19
C00200,AtRisk,Bronze,2023-07-20
C00201,New,Silver,2023-07-21
C00202,Loyal,Gold,2023-07-22
C00203,AtRisk,Platinum,2023-07-23
C00204,New,Bronze,2023-07-24
C00205,Loyal,Silver,2023-07-25
C00206,AtRisk,Gold,2023-07-26
C00207,New,Platinum,2023-07-27
C00208,Loyal,Bronze,2023-07-28
C00209,AtRisk,Silver,2023-07-29
C00210,New,Gold,2023-07-30
C00211,Loyal,Platinum,2023-07-31
C00212,AtRisk,Bronze,2023-08-01
C00213,New,Silver,2023-08-02
C00214,Loyal,Gold,2023-08-03
C00215,AtRisk,Platinum,2023-08-04
C00216,New,Bronze,2023-08-05
C00217,Loyal,Silver,2023-08-06
C00218,AtRisk,Gold,2023-08-07
C00219,New,Platinum,2023-08-08
C00220,Loyal,Bronze,2023-08-09
C00221,AtRisk,Silver,2023-08-10
C00222,New,Gold,2023-08-11
C00223,Loyal,Platinum,2023-08-12
C00224,AtRisk,Bronze,2023-08-13
C00225,New,Silver,2023-08-14
C00226,Loyal,Gold,2023-08-15
C00227,AtRisk,Platinum,2023-08-16
C00228,New,Bronze,2023-08-17
C00229,Loyal,Silver,2023-08-18
C00230,AtRisk,Gold,2023-08-19
C00231,New,Platinum,2023-08-20
C00232,Loyal,Bronze,2023-08-21
C00233,AtRisk,Silver,2023-08-22
C00234,New,Gold,2023-08-23
C00235,Loyal,Platinum,2023-08-24
C00236,AtRisk,Bronze,2023-08-25
C00237,New,Silver,2023-08-26
C00238,Loyal,Gold,2023-08-27
C00239,AtRisk,Platinum,2023-08-28
C00240,New,Bronze,2023-08-29
C00241,Loyal,Silver,2023-08-30
C00242,AtRisk,Gold,2023-08-31
C00243,New,Platinum,2023-09-01
C00244,Loyal,Bronze,2023-09-02
C00245,AtRisk,Silver,2023-09-03
C00246,New,Gold,2023-09-04
C00247,Loyal,Platinum,2023-09-05
C00248,AtRisk,Bronze,2023-09-06
C00249,New,Silver,2023-09-07
C00250,Loyal,Gold,2023-09-08
C00251,AtRisk,Platinum,2023-09-09
C00252,New,Bronze,2023-09-10
C00253,Loyal,Silver,2023-09-11
C00254,AtRisk,Gold,2023-09-12
C00255,New,Platinum,2023-09-13
C00256,Loyal,Bronze,2023-09-14
C00257,AtRisk,Silver,2023-09-15
C00258,New,Gold,2023-09-16
C00259,Loyal,Platinum,2023-09-17
C00260,AtRisk,Bronze,2023-09-18
C00261,New,Silver,2023-09-19
C00262,Loyal,Gold,2023-09-20
C00263,AtRisk,Platinum,2023-09-21
C00264,New,Bronze,2023-09-22
C00265,Loyal,Silver,2023-09-23
C00266,AtRisk,Gold,2023-09-24
C00267,New,Platinum,2023-09-25
C00268,Loyal,Bronze,2023-09-26
C00269,AtRisk,Silver,2023-09-27
C00270,New,Gold,2023-09-28
C00271,Loyal,Platinum,2023-09-29
C00272,AtRisk,Bronze,2023-09-30
C00273,New,Silver,2023-10-01
C00274,Loyal,Gold,2023-10-02
C00275,AtRisk,Platinum,2023-10-03
C00276,New,Bronze,2023-10-04
C00277,Loyal,Silver,2023-10-05
C00278,AtRisk,Gold,2023-10-06
C00279,New,Platinum,2023-10-07
C00280,Loyal,Bronze,2023-10-08
C00281,AtRisk,Silver,2023-10-09
C00282,New,Gold,2023-10-10
C00283,Loyal,Platinum,2023-10-11
C00284,AtRisk,Bronze,2023-10-12
C00285,New,Silver,2023-10-13
C00286,Loyal,Gold,2023-10-14
C00287,AtRisk,Platinum,2023-10-15
C00288,New,Bronze,2023-10-16
C00289,Loyal,Silver,2023-10-17
C00290,AtRisk,Gold,2023-10-18
C00291,New,Platinum,2023-10-19
C00292,Loyal,Bronze,2023-10-20
C00293,AtRisk,Silver,2023-10-21
C00294,New,Gold,2023-10-22
C00295,Loyal,Platinum,2023-10-23
C00296,AtRisk,Bronze,2023-10-24
C00297,New,Silver,2023-10-25
C00298,Loyal,Gold,2023-10-26
C00299,AtRisk,Platinum,2023-10-27
C00300,New,Bronze,2023-10-28
C00301,Loyal,Silver,2023-10-29
C00302,AtRisk,Gold,2023-10-30
C00303,New,Platinum,2023-10-31
C00304,Loyal,Bronze,2023-11-01
C00305,AtRisk,Silver,2023-11-02
C00306,New,Gold,2023-11-03
C00307,Loyal,Platinum,2023-11-04
C00308,AtRisk,Bronze,2023-11-05
C00309,New,Silver,2023-11-06
C00310,Loyal,Gold,2023-11-07
C00311,AtRisk,Platinum,2023-11-08
C00312,New,Bronze,2023-11-09
C00313,Loyal,Silver,2023-11-10
C00314,AtRisk,Gold,2023-11-11
C00315,New,Platinum,2023-11-12
C00316,Loyal,Bronze,2023-11-13
C00317,AtRisk,Silver,2023-11-14
C00318,New,Gold,2023-11-15
C00319,Loyal,Platinum,2023-11-16
C00320,AtRisk,Bronze,2023-11-17
C00321,New,Silver,2023-11-18
C00322,Loyal,Gold,2023-11-19
C00323,AtRisk,Platinum,2023-11-20
C00324,New,Bronze,2023-11-21
C00325,Loyal,Silver,2023-11-22
C00326,AtRisk,Gold,2023-11-23
C00327,New,Platinum,2023-11-24
C00328,Loyal,Bronze,2023-11-25
C00329,AtRisk,Silver,2023-11-26
C00330,New,Gold,2023-11-27
C00331,Loyal,Platinum,2023-11-28
C00332,AtRisk,Bronze,2023-11-29
C00333,New,Silver,2023-11-30
C00334,Loyal,Gold,2023-12-01
C00335,AtRisk,Platinum,2023-12-02
C00336,New,Bronze,2023-12-03
C00337,Loyal,Silver,2023-12-04
C00338,AtRisk,Gold,2023-12-05
C00339,New,Platinum,2023-12-06
C00340,Loyal,Bronze,2023-12-07
C00341,AtRisk,Silver,2023-12-08
C00342,New,Gold,2023-12-09
C00343,Loyal,Platinum,2023-12-10
C00344,AtRisk,Bronze,2023-12-11
C00345,New,Silver,2023-12-12
C00346,Loyal,Gold,2023-12-13
C00347,AtRisk,Platinum,2023-12-14
C00348,New,Bronze,2023-12-15
C00349,Loyal,Silver,2023-12-16
C00350,AtRisk,Gold,2023-12-17
C00351,New,Platinum,2023-12-18
C00352,Loyal,Bronze,2023-12-19
C00353,AtRisk,Silver,2023-12-20
C00354,New,Gold,2023-12-21
C00355,Loyal,Platinum,2023-12-22
C00356,AtRisk,Bronze,2023-12-23
C00357,New,Silver,2023-12-24
C00358,Loyal,Gold,2023-12-25
C00359,AtRisk,Platinum,2023-12-26
C00360,New,Bronze,2023-12-27
C00361,Loyal,Silver,2023-12-28
C00362,AtRisk,Gold,2023-12-29
C00363,New,Platinum,2023-12-30
C00364,Loyal,Bronze,2023-12-31
C00365,AtRisk,Silver,2024-01-01
C00366,New,Gold,2024-01-02
C00367,Loyal,Platinum,2024-01-03
C00368,AtRisk,Bronze,2024-01-04
C00369,New,Silver,2024-01-05
C00370,Loyal,Gold,2024-01-06
C00371,AtRisk,Platinum,2024-01-07
C00372,New,Bronze,2024-01-08
C00373,Loyal,Silver,2024-01-09
C00374,AtRisk,Gold,2024-01-10
C00375,New,Platinum,2024-01-11
C00376,Loyal,Bronze,2024-01-12
C00377,AtRisk,Silver,2024-01-13
C00378,New,Gold,2024-01-14
C00379,Loyal,Platinum,2024-01-15
C00380,AtRisk,Bronze,2024-01-16
C00381,New,Silver,2024-01-17
C00382,Loyal,Gold,2024-01-18
C00383,AtRisk,Platinum,2024-01-19
C00384,New,Bronze,2024-01-20
C00385,Loyal,Silver,2024-01-21
C00386,AtRisk,Gold,2024-01-22
C00387,New,Platinum,2024-01-23
C00388,Loyal,Bronze,2024-01-24
C00389,AtRisk,Silver,2024-01-25
C00390,New,Gold,2024-01-26
C00391,Loyal,Platinum,2024-01-27
C00392,AtRisk,Bronze,2024-01-28
C00393,New,Silver,2024-01-29
C00394,Loyal,Gold,2024-01-30
C00395,AtRisk,Platinum,2024-01-31
C00396,New,Bronze,2024-02-01
C00397,Loyal,Silver,2024-02-02
C00398,AtRisk,Gold,2024-02-03
C00399,New,Platinum,2024-02-04
C00400,Loyal,Bronze,2024-02-05
C00401,AtRisk,Silver,2024-02-06
C00402,New,Gold,2024-02-07
C00403,Loyal,Platinum,2024-02-08
C00404,AtRisk,Bronze,2024-02-09
C00405,New,Silver,2024-02-10
C00406,Loyal,Gold,2024-02-11
C00407,AtRisk,Platinum,2024-02-12
C00408,New,Bronze,2024-02-13
C00409,Loyal,Silver,2024-02-14
C00410,AtRisk,Gold,2024-02-15
C00411,New,Platinum,2024-02-16
C00412,Loyal,Bronze,2024-02-17
C00413,AtRisk,Silver,2024-02-18
C00414,New,Gold,2024-02-19
C00415,Loyal,Platinum,2024-02-20
C00416,AtRisk,Bronze,2024-02-21
C00417,New,Silver,2024-02-22
C00418,Loyal,Gold,2024-02-23
C00419,AtRisk,Platinum,2024-02-24
C00420,New,Bronze,2024-02-25
C00421,Loyal,Silver,2024-02-26
C00422,AtRisk,Gold,2024-02-27
C00423,New,Platinum,2024-02-28
C00424,Loyal,Bronze,2024-02-29
C00425,AtRisk,Silver,2024-03-01
C00426,New,Gold,2024-03-02
C00427,Loyal,Platinum,2024-03-03
C00428,AtRisk,Bronze,2024-03-04
C00429,New,Silver,2024-03-05
C00430,Loyal,Gold,2024-03-06
C00431,AtRisk,Platinum,2024-03-07
C00432,New,Bronze,2024-03-08
C00433,Loyal,Silver,2024-03-09
C00434,AtRisk,Gold,2024-03-10
C00435,New,Platinum,2024-03-11
C00436,Loyal,Bronze,2024-03-12
C00437,AtRisk,Silver,2024-03-13
C00438,New,Gold,2024-03-14
C00439,Loyal,Platinum,2024-03-15
C00440,AtRisk,Bronze,2024-03-16
C00441,New,Silver,2024-03-17
C00442,Loyal,Gold,2024-03-18
C00443,AtRisk,Platinum,2024-03-19
C00444,New,Bronze,2024-03-20
C00445,Loyal,Silver,2024-03-21
C00446,AtRisk,Gold,2024-03-22
C00447,New,Platinum,2024-03-23
C00448,Loyal,Bronze,2024-03-24
C00449,AtRisk,Silver,2024-03-25
C00450,New,Gold,2024-03-26
C00451,Loyal,Platinum,2024-03-27
C00452,AtRisk,Bronze,2024-03-28
C00453,New,Silver,2024-03-29
C00454,Loyal,Gold,2024-03-30
C00455,AtRisk,Platinum,2024-03-31
C00456,New,Bronze,2024-04-01
C00457,Loyal,Silver,2024-04-02
C00458,AtRisk,Gold,2024-04-03
C00459,New,Platinum,2024-04-04
C00460,Loyal,Bronze,2024-04-05
C00461,AtRisk,Silver,2024-04-06
C00462,New,Gold,2024-04-07
C00463,Loyal,Platinum,2024-04-08
C00464,AtRisk,Bronze,2024-04-09
C00465,New,Silver,2024-04-10
C00466,Loyal,Gold,2024-04-11
C00467,AtRisk,Platinum,2024-04-12
C00468,New,Bronze,2024-04-13
C00469,Loyal,Silver,2024-04-14
C00470,AtRisk,Gold,2024-04-15
C00471,New,Platinum,2024-04-16
C00472,Loyal,Bronze,2024-04-17
C00473,AtRisk,Silver,2024-04-18
C00474,New,Gold,2024-04-19
C00475,Loyal,Platinum,2024-04-20
C00476,AtRisk,Bronze,2024-04-21
C00477,New,Silver,2024-04-22
C00478,Loyal,Gold,2024-04-23
C00479,AtRisk,Platinum,2024-04-24
C00480,New,Bronze,2024-04-25
C00481,Loyal,Silver,2024-04-26
C00482,AtRisk,Gold,2024-04-27
C00483,New,Platinum,2024-04-28
C00484,Loyal,Bronze,2024-04-29
C00485,AtRisk,Silver,2024-04-30
C00486,New,Gold,2024-05-01
C00487,Loyal,Platinum,2024-05-02
C00488,AtRisk,Bronze,2024-05-03
C00489,New,Silver,2024-05-04
C00490,Loyal,Gold,2024-05-05
C00491,AtRisk,Platinum,2024-05-06
C00492,New,Bronze,2024-05-07
C00493,Loyal,Silver,2024-05-08
C00494,AtRisk,Gold,2024-05-09
C00495,New,Platinum,2024-05-10
C00496,Loyal,Bronze,2024-05-11
C00497,AtRisk,Silver,2024-05-12
C00498,New,Gold,2024-05-13
C00499,Loyal,Platinum,2024-05-14
C00500,AtRisk,Bronze,2024-05-15
C00501,New,Silver,2024-05-16
C00502,Loyal,Gold,2024-05-17
C00503,AtRisk,Platinum,2024-05-18
C00504,New,Bronze,2024-05-19
C00505,Loyal,Silver,2024-05-20
C00506,AtRisk,Gold,2024-05-21
C00507,New,Platinum,2024-05-22
C00508,Loyal,Bronze,2024-05-23
C00509,AtRisk,Silver,2024-05-24
C00510,New,Gold,2024-05-25
C00511,Loyal,Platinum,2024-05-26
C00512,AtRisk,Bronze,2024-05-27
C00513,New,Silver,2024-05-28
C00514,Loyal,Gold,2024-05-29
C00515,AtRisk,Platinum,2024-05-30
C00516,New,Bronze,2024-05-31
C00517,Loyal,Silver,2024-06-01
C00518,AtRisk,Gold,2024-06-02
C00519,New,Platinum,2024-06-03
C00520,Loyal,Bronze,2024-06-04
C00521,AtRisk,Silver,2024-06-05
C00522,New,Gold,2024-06-06
C00523,Loyal,Platinum,2024-06-07
C00524,AtRisk,Bronze,2024-06-08
C00525,New,Silver,2024-06-09
C00526,Loyal,Gold,2024-06-10
C00527,AtRisk,Platinum,2024-06-11
C00528,New,Bronze,2024-06-12
C00529,Loyal,Silver,2024-06-13
C00530,AtRisk,Gold,2024-06-14
C00531,New,Platinum,2024-06-15
C00532,Loyal,Bronze,2024-06-16
C00533,AtRisk,Silver,2024-06-17
C00534,New,Gold,2024-06-18
C00535,Loyal,Platinum,2024-06-19
C00536,AtRisk,Bronze,2024-06-20
C00537,New,Silver,2024-06-21
C00538,Loyal,Gold,2024-06-22
C00539,AtRisk,Platinum,2024-06-23
C00540,New,Bronze,2024-06-24
C00541,Loyal,Silver,2024-06-25
C00542,AtRisk,Gold,2024-06-26
C00543,New,Platinum,2024-06-27
C00544,Loyal,Bronze,2024-06-28
C00545,AtRisk,Silver,2024-06-29
C00546,New,Gold,2024-06-30
C00547,Loyal,Platinum,2024-07-01
C00548,AtRisk,Bronze,2024-07-02
C00549,New,Silver,2024-07-03
C00550,Loyal,Gold,2024-07-04
C00551,AtRisk,Platinum,2024-07-05
C00552,New,Bronze,2024-07-06
C00553,Loyal,Silver,2024-07-07
C00554,AtRisk,Gold,2024-07-08
C00555,New,Platinum,2024-07-09
C00556,Loyal,Bronze,2024-07-10
C00557,AtRisk,Silver,2024-07-11
C00558,New,Gold,2024-07-12
C00559,Loyal,Platinum,2024-07-13
C00560,AtRisk,Bronze,2024-07-14
C00561,New,Silver,2024-07-15
C00562,Loyal,Gold,2024-07-16
C00563,AtRisk,Platinum,2024-07-17
C00564,New,Bronze,2024-07-18
C00565,Loyal,Silver,2024-07-19
C00566,AtRisk,Gold,2024-07-20
C00567,New,Platinum,2024-07-21
C00568,Loyal,Bronze,2024-07-22
C00569,AtRisk,Silver,2024-07-23
C00570,New,Gold,2024-07-24
C00571,Loyal,Platinum,2024-07-25
C00572,AtRisk,Bronze,2024-07-26
C00573,New,Silver,2024-07-27
C00574,Loyal,Gold,2024-07-28
C00575,AtRisk,Platinum,2024-07-29
C00576,New,Bronze,2024-07-30
C00577,Loyal,Silver,2024-07-31
C00578,AtRisk,Gold,2024-08-01
C00579,New,Platinum,2024-08-02
C00580,Loyal,Bronze,2024-08-03
C00581,AtRisk,Silver,2024-08-04
C00582,New,Gold,2024-08-05
C00583,Loyal,Platinum,2024-08-06
C00584,AtRisk,Bronze,2024-08-07
C00585,New,Silver,2024-08-08
C00586,Loyal,Gold,2024-08-09
C00587,AtRisk,Platinum,2024-08-10
C00588,New,Bronze,2024-08-11
C00589,Loyal,Silver,2024-08-12
C00590,AtRisk,Gold,2024-08-13
C00591,New,Platinum,2024-08-14
C00592,Loyal,Bronze,2024-08-15
C00593,AtRisk,Silver,2024-08-16
C00594,New,Gold,2024-08-17
C00595,Loyal,Platinum,2024-08-18
C00596,AtRisk,Bronze,2024-08-19
C00597,New,Silver,2024-08-20
C00598,Loyal,Gold,2024-08-21
C00599,AtRisk,Platinum,2024-08-22
C00600,New,Bronze,2024-08-23
C00601,Loyal,Silver,2024-08-24
C00602,AtRisk,Gold,2024-08-25
C00603,New,Platinum,2024-08-26
C00604,Loyal,Bronze,2024-08-27
C00605,AtRisk,Silver,2024-08-28
C00606,New,Gold,2024-08-29
C00607,Loyal,Platinum,2024-08-30
C00608,AtRisk,Bronze,2024-08-31
C00609,New,Silver,2024-09-01
C00610,Loyal,Gold,2024-09-02
C00611,AtRisk,Platinum,2024-09-03
C00612,New,Bronze,2024-09-04
C00613,Loyal,Silver,2024-09-05
C00614,AtRisk,Gold,2024-09-06
C00615,New,Platinum,2024-09-07
C00616,Loyal,Bronze,2024-09-08
C00617,AtRisk,Silver,2024-09-09
C00618,New,Gold,2024-09-10
C00619,Loyal,Platinum,2024-09-11
C00620,AtRisk,Bronze,2024-09-12
C00621,New,Silver,2024-09-13
C00622,Loyal,Gold,2024-09-14
C00623,AtRisk,Platinum,2024-09-15
C00624,New,Bronze,2024-09-16
C00625,Loyal,Silver,2024-09-17
C00626,AtRisk,Gold,2024-09-18
C00627,New,Platinum,2024-09-19
C00628,Loyal,Bronze,2024-09-20
C00629,AtRisk,Silver,2024-09-21
C00630,New,Gold,2024-09-22
C00631,Loyal,Platinum,2024-09-23
C00632,AtRisk,Bronze,2024-09-24
C00633,New,Silver,2024-09-25
C00634,Loyal,Gold,2024-09-26
C00635,AtRisk,Platinum,2024-09-27
C00636,New,Bronze,2024-09-28
C00637,Loyal,Silver,2024-09-29
C00638,AtRisk,Gold,2024-09-30
C00639,New,Platinum,2024-10-01
C00640,Loyal,Bronze,2024-10-02
C00641,AtRisk,Silver,2024-10-03
C00642,New,Gold,2024-10-04
C00643,Loyal,Platinum,2024-10-05
C00644,AtRisk,Bronze,2024-10-06
C00645,New,Silver,2024-10-07
C00646,Loyal,Gold,2024-10-08
C00647,AtRisk,Platinum,2024-10-09
C00648,New,Bronze,2024-10-10
C00649,Loyal,Silver,2024-10-11
C00650,AtRisk,Gold,2024-10-12
C00651,New,Platinum,2024-10-13
C00652,Loyal,Bronze,2024-10-14
C00653,AtRisk,Silver,2024-10-15
C00654,New,Gold,2024-10-16
C00655,Loyal,Platinum,2024-10-17
C00656,AtRisk,Bronze,2024-10-18
C00657,New,Silver,2024-10-19
C00658,Loyal,Gold,2024-10-20
C00659,AtRisk,Platinum,2024-10-21
C00660,New,Bronze,2024-10-22
C00661,Loyal,Silver,2024-10-23
C00662,AtRisk,Gold,2024-10-24
C00663,New,Platinum,2024-10-25
C00664,Loyal,Bronze,2024-10-26
C00665,AtRisk,Silver,2024-10-27
C00666,New,Gold,2024-10-28
C00667,Loyal,Platinum,2024-10-29
C00668,AtRisk,Bronze,2024-10-30
C00669,New,Silver,2024-10-31
C00670,Loyal,Gold,2024-11-01
C00671,AtRisk,Platinum,2024-11-02
C00672,New,Bronze,2024-11-03
C00673,Loyal,Silver,2024-11-04
C00674,AtRisk,Gold,2024-11-05
C00675,New,Platinum,2024-11-06
C00676,Loyal,Bronze,2024-11-07
C00677,AtRisk,Silver,2024-11-08
C00678,New,Gold,2024-11-09
C00679,Loyal,Platinum,2024-11-10
C00680,AtRisk,Bronze,2024-11-11
C00681,New,Silver,2024-11-12
C00682,Loyal,Gold,2024-11-13
C00683,AtRisk,Platinum,2024-11-14
C00684,New,Bronze,2024-11-15
C00685,Loyal,Silver,2024-11-16
C00686,AtRisk,Gold,2024-11-17
C00687,New,Platinum,2024-11-18
C00688,Loyal,Bronze,2024-11-19
C00689,AtRisk,Silver,2024-11-20
C00690,New,Gold,2024-11-21
C00691,Loyal,Platinum,2024-11-22
C00692,AtRisk,Bronze,2024-11-23
C00693,New,Silver,2024-11-24
C00694,Loyal,Gold,2024-11-25
C00695,AtRisk,Platinum,2024-11-26
C00696,New,Bronze,2024-11-27
C00697,Loyal,Silver,2024-11-28
C00698,AtRisk,Gold,2024-11-29
C00699,New,Platinum,2024-11-30
C00700,Loyal,Bronze,2024-12-01
C00701,AtRisk,Silver,2024-12-02
C00702,New,Gold,2024-12-03
C00703,Loyal,Platinum,2024-12-04
