payment_id,order_id,payment_status,approved_amount,approved_at
PAY00142,O00142,Failed,0.00,2026-05-01T16:34:00+09:00
PAY00143,O00143,Failed,0.00,2026-05-01T16:41:00+09:00
PAY00144,O00144,Failed,0.00,2026-05-01T16:48:00+09:00
PAY00145,O00145,Failed,0.00,2026-05-01T16:55:00+09:00
PAY00146,O00146,Success,2523.11,2026-05-01T17:02:00+09:00
PAY00147,O00147,Failed,0.00,2026-05-01T17:09:00+09:00
PAY00148,O00148,Success,1330.56,2026-05-01T17:16:00+09:00
PAY00149,O00149,RetrySuccess,618.73,2026-05-01T17:23:00+09:00
PAY00150,O00150,Failed,0.00,2026-05-01T17:30:00+09:00
PAY00151,O00151,Success,3176.90,2026-05-01T17:37:00+09:00
PAY00152,O00152,Failed,0.00,2026-05-01T17:44:00+09:00
PAY00153,O00153,Failed,0.00,2026-05-01T17:51:00+09:00
PAY00154,O00154,Failed,0.00,2026-05-01T17:58:00+09:00
PAY00155,O00155,Failed,0.00,2026-05-01T18:05:00+09:00
PAY00156,O00156,RetrySuccess,1223.04,2026-05-01T18:12:00+09:00
PAY00157,O00157,RetrySuccess,3926.87,2026-05-01T18:19:00+09:00
PAY00158,O00158,RetrySuccess,592.23,2026-05-01T18:26:00+09:00
PAY00159,O00159,Success,1830.20,2026-05-01T18:33:00+09:00
PAY00160,O00160,Failed,0.00,2026-05-01T18:40:00+09:00
PAY00161,O00161,Failed,0.00,2026-05-01T18:47:00+09:00
PAY00162,O00162,Success,1495.24,2026-05-01T18:54:00+09:00
PAY00163,O00163,Failed,0.00,2026-05-01T19:01:00+09:00
PAY00164,O00164,Failed,0.00,2026-05-01T19:08:00+09:00
PAY00165,O00165,Success,134.93,2026-05-01T19:15:00+09:00
PAY00166,O00166,Success,1093.35,2026-05-01T19:22:00+09:00
PAY00167,O00167,RetrySuccess,168.95,2026-05-01T19:29:00+09:00
PAY00168,O00168,Success,1415.08,2026-05-01T19:36:00+09:00
PAY00169,O00169,Failed,0.00,2026-05-01T19:43:00+09:00
PAY00170,O00170,Success,2752.64,2026-05-01T19:50:00+09:00
PAY00171,O00171,Failed,0.00,2026-05-01T19:57:00+09:00
PAY00172,O00172,RetrySuccess,294.03,2026-05-01T20:04:00+09:00
PAY00173,O00173,Failed,0.00,2026-05-01T20:11:00+09:00
PAY00174,O00174,Failed,0.00,2026-05-01T20:18:00+09:00
PAY00175,O00175,Success,5481.28,2026-05-01T20:25:00+09:00
PAY00176,O00176,Failed,0.00,2026-05-01T20:32:00+09:00
PAY00177,O00177,Success,491.23,2026-05-01T20:39:00+09:00
PAY00178,O00178,Success,760.38,2026-05-01T20:46:00+09:00
PAY00179,O00179,Success,400.73,2026-05-01T20:53:00+09:00
PAY00180,O00180,Success,182.52,2026-05-01T21:00:00+09:00
PAY00181,O00181,Success,1541.05,2026-05-01T21:07:00+09:00
PAY00182,O00182,Failed,0.00,2026-05-01T21:14:00+09:00
PAY00183,O00183,Success,915.40,2026-05-01T21:21:00+09:00
PAY00184,O00184,Failed,0.00,2026-05-01T21:28:00+09:00
PAY00185,O00185,RetrySuccess,2232.40,2026-05-01T21:35:00+09:00
PAY00186,O00186,Success,1487.12,2026-05-01T21:42:00+09:00
PAY00187,O00187,Failed,0.00,2026-05-01T21:49:00+09:00
PAY00188,O00188,RetrySuccess,150.33,2026-05-01T21:56:00+09:00
PAY00189,O00189,Failed,0.00,2026-05-01T22:03:00+09:00
PAY00190,O00190,Success,859.25,2026-05-01T22:10:00+09:00
PAY00191,O00191,RetrySuccess,1368.41,2026-05-01T22:17:00+09:00
PAY00192,O00192,RetrySuccess,1786.90,2026-05-01T22:24:00+09:00
PAY00193,O00193,Success,1406.80,2026-05-01T22:31:00+09:00
PAY00194,O00194,Failed,0.00,2026-05-01T22:38:00+09:00
PAY00195,O00195,Failed,0.00,2026-05-01T22:45:00+09:00
PAY00196,O00196,Failed,0.00,2026-05-01T22:52:00+09:00
PAY00197,O00197,RetrySuccess,2672.07,2026-05-01T22:59:00+09:00
PAY00198,O00198,Failed,0.00,2026-05-01T23:06:00+09:00
PAY00199,O00199,Failed,0.00,2026-05-01T23:13:00+09:00
PAY00200,O00200,Success,2125.61,2026-05-01T23:20:00+09:00
PAY00201,O00201,Failed,0.00,2026-05-01T23:27:00+09:00
PAY00202,O00202,RetrySuccess,2073.41,2026-05-01T23:34:00+09:00
PAY00203,O00203,RetrySuccess,1369.63,2026-05-01T23:41:00+09:00
PAY00204,O00204,Success,553.62,2026-05-01T23:48:00+09:00
PAY00205,O00205,Success,1276.11,2026-05-01T23:55:00+09:00
PAY00206,O00206,Success,1999.75,2026-05-02T00:02:00+09:00
PAY00207,O00207,RetrySuccess,1123.60,2026-05-02T00:09:00+09:00
PAY00208,O00208,Success,1604.51,2026-05-02T00:16:00+09:00
PAY00209,O00209,RetrySuccess,72.54,2026-05-02T00:23:00+09:00
PAY00210,O00210,Success,2980.61,2026-05-02T00:30:00+09:00
PAY00211,O00211,RetrySuccess,725.24,2026-05-02T00:37:00+09:00
PAY00212,O00212,Failed,0.00,2026-05-02T00:44:00+09:00
PAY00213,O00213,RetrySuccess,3975.72,2026-05-02T00:51:00+09:00
PAY00214,O00214,RetrySuccess,2961.79,2026-05-02T00:58:00+09:00
PAY00215,O00215,Failed,0.00,2026-05-02T01:05:00+09:00
PAY00216,O00216,Success,1611.97,2026-05-02T01:12:00+09:00
PAY00217,O00217,RetrySuccess,2254.09,2026-05-02T01:19:00+09:00
PAY00218,O00218,Failed,0.00,2026-05-02T01:26:00+09:00
PAY00219,O00219,RetrySuccess,1553.32,2026-05-02T01:33:00+09:00
PAY00220,O00220,RetrySuccess,1047.65,2026-05-02T01:40:00+09:00
PAY00221,O00221,RetrySuccess,2610.84,2026-05-02T01:47:00+09:00
PAY00222,O00222,Success,663.43,2026-05-02T01:54:00+09:00
PAY00223,O00223,Failed,0.00,2026-05-02T02:01:00+09:00
PAY00224,O00224,Success,1770.22,2026-05-02T02:08:00+09:00
PAY00225,O00225,Success,233.71,2026-05-02T02:15:00+09:00
PAY00226,O00226,RetrySuccess,2719.01,2026-05-02T02:22:00+09:00
PAY00227,O00227,Failed,0.00,2026-05-02T02:29:00+09:00
PAY00228,O00228,Failed,0.00,2026-05-02T02:36:00+09:00
PAY00229,O00229,Failed,0.00,2026-05-02T02:43:00+09:00
PAY00230,O00230,RetrySuccess,1735.51,2026-05-02T02:50:00+09:00
PAY00231,O00231,RetrySuccess,684.11,2026-05-02T02:57:00+09:00
PAY00232,O00232,RetrySuccess,1329.28,2026-05-02T03:04:00+09:00
PAY00233,O00233,Failed,0.00,2026-05-02T03:11:00+09:00
PAY00234,O00234,Success,3438.20,2026-05-02T03:18:00+09:00
PAY00235,O00235,Failed,0.00,2026-05-02T03:25:00+09:00
PAY00236,O00236,RetrySuccess,784.85,2026-05-02T03:32:00+09:00
PAY00237,O00237,RetrySuccess,2325.25,2026-05-02T03:39:00+09:00
PAY00238,O00238,RetrySuccess,135.83,2026-05-02T03:46:00+09:00
PAY00239,O00239,Failed,0.00,2026-05-02T03:53:00+09:00
PAY00240,O00240,Success,1785.93,2026-05-02T04:00:00+09:00
PAY00241,O00241,Success,1893.10,2026-05-02T04:07:00+09:00
PAY00242,O00242,RetrySuccess,318.12,2026-05-02T04:14:00+09:00
PAY00243,O00243,Success,2009.83,2026-05-02T04:21:00+09:00
PAY00244,O00244,Success,2582.64,2026-05-02T04:28:00+09:00
PAY00245,O00245,RetrySuccess,4207.63,2026-05-02T04:35:00+09:00
PAY00246,O00246,Failed,0.00,2026-05-02T04:42:00+09:00
PAY00247,O00247,Failed,0.00,2026-05-02T04:49:00+09:00
PAY00248,O00248,Failed,0.00,2026-05-02T04:56:00+09:00
PAY00249,O00249,Failed,0.00,2026-05-02T05:03:00+09:00
PAY00250,O00250,Success,810.81,2026-05-02T05:10:00+09:00
PAY00251,O00251,Success,1165.95,2026-05-02T05:17:00+09:00
PAY00252,O00252,Failed,0.00,2026-05-02T05:24:00+09:00
PAY00253,O00253,RetrySuccess,1335.34,2026-05-02T05:31:00+09:00
PAY00254,O00254,Success,113.73,2026-05-02T05:38:00+09:00
PAY00255,O00255,RetrySuccess,3182.11,2026-05-02T05:45:00+09:00
PAY00256,O00256,Success,4993.44,2026-05-02T05:52:00+09:00
PAY00257,O00257,Failed,0.00,2026-05-02T05:59:00+09:00
PAY00258,O00258,Failed,0.00,2026-05-02T06:06:00+09:00
PAY00259,O00259,Failed,0.00,2026-05-02T06:13:00+09:00
PAY00260,O00260,Failed,0.00,2026-05-02T06:20:00+09:00
PAY00261,O00261,Success,1940.05,2026-05-02T06:27:00+09:00
PAY00262,O00262,Failed,0.00,2026-05-02T06:34:00+09:00
PAY00263,O00263,Failed,0.00,2026-05-02T06:41:00+09:00
PAY00264,O00264,Failed,0.00,2026-05-02T06:48:00+09:00
PAY00265,O00265,RetrySuccess,3346.97,2026-05-02T06:55:00+09:00
PAY00266,O00266,Failed,0.00,2026-05-02T07:02:00+09:00
PAY00267,O00267,Failed,0.00,2026-05-02T07:09:00+09:00
PAY00268,O00268,Success,472.26,2026-05-02T07:16:00+09:00
PAY00269,O00269,Success,2210.23,2026-05-02T07:23:00+09:00
PAY00270,O00270,Success,733.53,2026-05-02T07:30:00+09:00
PAY00271,O00271,RetrySuccess,1141.42,2026-05-02T07:37:00+09:00
PAY00272,O00272,Failed,0.00,2026-05-02T07:44:00+09:00
PAY00273,O00273,RetrySuccess,2163.16,2026-05-02T07:51:00+09:00
PAY00274,O00274,Failed,0.00,2026-05-02T07:58:00+09:00
PAY00275,O00275,RetrySuccess,557.70,2026-05-02T08:05:00+09:00
PAY00276,O00276,Failed,0.00,2026-05-02T08:12:00+09:00
PAY00277,O00277,RetrySuccess,530.24,2026-05-02T08:19:00+09:00
PAY00278,O00278,Success,2750.58,2026-05-02T08:26:00+09:00
PAY00279,O00279,RetrySuccess,3219.26,2026-05-02T08:33:00+09:00
PAY00280,O00280,Failed,0.00,2026-05-02T08:40:00+09:00
PAY00281,O00281,Success,746.17,2026-05-02T08:47:00+09:00
PAY00282,O00282,RetrySuccess,3021.40,2026-05-02T08:54:00+09:00
PAY00283,O00283,RetrySuccess,650.01,2026-05-02T09:01:00+09:00
PAY00284,O00284,RetrySuccess,2692.33,2026-05-02T09:08:00+09:00
PAY00285,O00285,Failed,0.00,2026-05-02T09:15:00+09:00
PAY00286,O00286,Failed,0.00,2026-05-02T09:22:00+09:00
PAY00287,O00287,Success,469.21,2026-05-02T09:29:00+09:00
PAY00288,O00288,RetrySuccess,1233.97,2026-05-02T09:36:00+09:00
PAY00289,O00289,Success,1107.02,2026-05-02T09:43:00+09:00
PAY00290,O00290,Success,1699.69,2026-05-02T09:50:00+09:00
PAY00291,O00291,Success,1795.41,2026-05-02T09:57:00+09:00
PAY00292,O00292,Failed,0.00,2026-05-02T10:04:00+09:00
PAY00293,O00293,RetrySuccess,2672.80,2026-05-02T10:11:00+09:00
PAY00294,O00294,Failed,0.00,2026-05-02T10:18:00+09:00
PAY00295,O00295,Failed,0.00,2026-05-02T10:25:00+09:00
PAY00296,O00296,Success,1321.42,2026-05-02T10:32:00+09:00
PAY00297,O00297,RetrySuccess,25.82,2026-05-02T10:39:00+09:00
PAY00298,O00298,Failed,0.00,2026-05-02T10:46:00+09:00
PAY00299,O00299,Failed,0.00,2026-05-02T10:53:00+09:00
PAY00300,O00300,Success,1868.74,2026-05-02T11:00:00+09:00
PAY00301,O00301,RetrySuccess,1887.15,2026-05-02T11:07:00+09:00
PAY00302,O00302,Failed,0.00,2026-05-02T11:14:00+09:00
PAY00303,O00303,Success,1107.94,2026-05-02T11:21:00+09:00
PAY00304,O00304,Success,591.11,2026-05-02T11:28:00+09:00
PAY00305,O00305,Failed,0.00,2026-05-02T11:35:00+09:00
PAY00306,O00306,Failed,0.00,2026-05-02T11:42:00+09:00
PAY00307,O00307,RetrySuccess,942.35,2026-05-02T11:49:00+09:00
PAY00308,O00308,Success,3817.47,2026-05-02T11:56:00+09:00
PAY00309,O00309,Failed,0.00,2026-05-02T12:03:00+09:00
PAY00310,O00310,RetrySuccess,1510.26,2026-05-02T12:10:00+09:00
PAY00311,O00311,Failed,0.00,2026-05-02T12:17:00+09:00
PAY00312,O00312,Success,1555.82,2026-05-02T12:24:00+09:00
PAY00313,O00313,Failed,0.00,2026-05-02T12:31:00+09:00
PAY00314,O00314,Failed,0.00,2026-05-02T12:38:00+09:00
PAY00315,O00315,Success,1988.92,2026-05-02T12:45:00+09:00
PAY00316,O00316,RetrySuccess,794.79,2026-05-02T12:52:00+09:00
PAY00317,O00317,RetrySuccess,4425.24,2026-05-02T12:59:00+09:00
PAY00318,O00318,Success,260.78,2026-05-02T13:06:00+09:00
PAY00319,O00319,RetrySuccess,267.81,2026-05-02T13:13:00+09:00
PAY00320,O00320,Success,3271.07,2026-05-02T13:20:00+09:00
PAY00321,O00321,Failed,0.00,2026-05-02T13:27:00+09:00
PAY00322,O00322,RetrySuccess,2950.99,2026-05-02T13:34:00+09:00
PAY00323,O00323,Failed,0.00,2026-05-02T13:41:00+09:00
PAY00324,O00324,Failed,0.00,2026-05-02T13:48:00+09:00
PAY00325,O00325,Failed,0.00,2026-05-02T13:55:00+09:00
PAY00326,O00326,Failed,0.00,2026-05-02T14:02:00+09:00
PAY00327,O00327,RetrySuccess,2622.44,2026-05-02T14:09:00+09:00
PAY00328,O00328,RetrySuccess,2300.77,2026-05-02T14:16:00+09:00
PAY00329,O00329,Success,1396.96,2026-05-02T14:23:00+09:00
PAY00330,O00330,Success,745.47,2026-05-02T14:30:00+09:00
PAY00331,O00331,Failed,0.00,2026-05-02T14:37:00+09:00
PAY00332,O00332,Failed,0.00,2026-05-02T14:44:00+09:00
PAY00333,O00333,Success,2336.42,2026-05-02T14:51:00+09:00
PAY00334,O00334,Success,1278.61,2026-05-02T14:58:00+09:00
PAY00335,O00335,Success,3268.84,2026-05-02T15:05:00+09:00
PAY00336,O00336,Success,1736.81,2026-05-02T15:12:00+09:00
PAY00337,O00337,RetrySuccess,532.70,2026-05-02T15:19:00+09:00
PAY00338,O00338,Failed,0.00,2026-05-02T15:26:00+09:00
PAY00339,O00339,Failed,0.00,2026-05-02T15:33:00+09:00
PAY00340,O00340,Failed,0.00,2026-05-02T15:40:00+09:00
PAY00341,O00341,RetrySuccess,4149.06,2026-05-02T15:47:00+09:00
PAY00342,O00342,Failed,0.00,2026-05-02T15:54:00+09:00
PAY00343,O00343,Failed,0.00,2026-05-02T16:01:00+09:00
PAY00344,O00344,Success,1427.67,2026-05-02T16:08:00+09:00
PAY00345,O00345,Failed,0.00,2026-05-02T16:15:00+09:00
PAY00346,O00346,Success,334.17,2026-05-02T16:22:00+09:00
PAY00347,O00347,Failed,0.00,2026-05-02T16:29:00+09:00
PAY00348,O00348,Failed,0.00,2026-05-02T16:36:00+09:00
PAY00349,O00349,Failed,0.00,2026-05-02T16:43:00+09:00
PAY00350,O00350,RetrySuccess,579.59,2026-05-02T16:50:00+09:00
PAY00351,O00351,RetrySuccess,1462.01,2026-05-02T16:57:00+09:00
PAY00352,O00352,Success,1491.14,2026-05-02T17:04:00+09:00
PAY00353,O00353,Success,1820.00,2026-05-02T17:11:00+09:00
PAY00354,O00354,Success,1759.66,2026-05-02T17:18:00+09:00
PAY00355,O00355,RetrySuccess,959.45,2026-05-02T17:25:00+09:00
PAY00356,O00356,Success,1119.51,2026-05-02T17:32:00+09:00
PAY00357,O00357,Failed,0.00,2026-05-02T17:39:00+09:00
PAY00358,O00358,RetrySuccess,1845.44,2026-05-02T17:46:00+09:00
PAY00359,O00359,Failed,0.00,2026-05-02T17:53:00+09:00
PAY00360,O00360,RetrySuccess,278.95,2026-05-02T18:00:00+09:00
PAY00361,O00361,RetrySuccess,945.73,2026-05-02T18:07:00+09:00
PAY00362,O00362,Failed,0.00,2026-05-02T18:14:00+09:00
PAY00363,O00363,Success,866.10,2026-05-02T18:21:00+09:00
PAY00364,O00364,Success,1270.15,2026-05-02T18:28:00+09:00
PAY00365,O00365,Success,1060.49,2026-05-02T18:35:00+09:00
PAY00366,O00366,RetrySuccess,2614.31,2026-05-02T18:42:00+09:00
PAY00367,O00367,RetrySuccess,2191.00,2026-05-02T18:49:00+09:00
PAY00368,O00368,Failed,0.00,2026-05-02T18:56:00+09:00
PAY00369,O00369,Failed,0.00,2026-05-02T19:03:00+09:00
PAY00370,O00370,Success,977.15,2026-05-02T19:10:00+09:00
PAY00371,O00371,Failed,0.00,2026-05-02T19:17:00+09:00
PAY00372,O00372,RetrySuccess,1408.96,2026-05-02T19:24:00+09:00
PAY00373,O00373,Failed,0.00,2026-05-02T19:31:00+09:00
PAY00374,O00374,Success,663.28,2026-05-02T19:38:00+09:00
PAY00375,O00375,Success,2115.41,2026-05-02T19:45:00+09:00
PAY00376,O00376,RetrySuccess,2346.57,2026-05-02T19:52:00+09:00
PAY00377,O00377,RetrySuccess,637.62,2026-05-02T19:59:00+09:00
PAY00378,O00378,RetrySuccess,1826.68,2026-05-02T20:06:00+09:00
PAY00379,O00379,Failed,0.00,2026-05-02T20:13:00+09:00
PAY00380,O00380,Failed,0.00,2026-05-02T20:20:00+09:00
PAY00381,O00381,Success,2991.51,2026-05-02T20:27:00+09:00
PAY00382,O00382,Success,348.82,2026-05-02T20:34:00+09:00
PAY00383,O00383,Failed,0.00,2026-05-02T20:41:00+09:00
PAY00384,O00384,RetrySuccess,907.24,2026-05-02T20:48:00+09:00
PAY00385,O00385,RetrySuccess,2479.88,2026-05-02T20:55:00+09:00
