order_id,customer_id,channel_id,order_date,order_status,gross_amount,discount_applied,net_amount,order_value,currency
O00022,C00014,CH0003,2026-05-26,Completed,3405.13,180.79,3224.34,3224.34,KRW
O00023,C00014,CH0004,2026-06-09,Completed,82.25,11.44,70.81,70.81,KRW
O00024,C00015,CH0001,2026-05-05,Completed,453.51,64.96,388.55,388.55,KRW
O00025,C00016,CH0004,2026-05-06,Completed,521.98,80.73,441.25,441.25,KRW
O00026,C00016,CH0004,2026-06-17,Completed,1953.45,172.22,1781.23,1781.23,KRW
O00027,C00017,CH0002,2026-06-06,Completed,1343.44,11.02,1332.42,1332.42,KRW
O00028,C00017,CH0001,2026-05-27,Cancelled,1085.74,171.82,913.92,913.92,KRW
O00029,C00018,CH0001,2026-05-01,Completed,2165.58,352.39,1813.19,1813.19,KRW
O00030,C00019,CH0001,2026-06-07,Completed,605.26,67.20,538.06,538.06,KRW
O00031,C00019,CH0003,2026-05-21,Completed,1558.86,152.77,1406.09,1406.09,KRW
O00032,C00020,CH0004,2026-05-21,Completed,2288.59,262.15,2026.44,2026.44,KRW
O00033,C00020,CH0003,2026-05-14,Completed,-864.70,-864.70,0.00,0.00,KRW
O00034,C00020,CH0003,2026-05-13,Completed,2860.63,474.52,2386.11,2386.11,KRW
O00035,C00021,CH0001,2026-06-19,Completed,2399.69,630.62,1769.07,1769.07,KRW
O00036,C00022,CH0001,2026-05-11,Completed,1875.13,207.50,1667.63,1667.63,KRW
O00037,C00023,CH0003,2026-06-24,Completed,411.10,91.09,320.01,320.01,KRW
O00038,C00024,CH0002,2026-05-09,Completed,2789.76,25.24,2764.52,2764.52,KRW
O00039,C00024,CH0004,2026-05-07,Completed,3677.43,1033.97,2643.46,2643.46,KRW
O00040,C00024,CH0003,2026-06-09,Completed,4752.54,207.10,4545.44,4545.44,KRW
O00041,C00025,CH0002,2026-05-25,Completed,3475.66,958.70,2516.96,2516.96,KRW
O00042,C00026,CH0002,2026-06-22,Completed,469.20,40.34,428.86,428.86,KRW
O00043,C00027,CH0003,2026-05-12,Completed,5628.20,266.59,5361.61,5361.61,KRW
O00044,C00027,CH0004,2026-05-27,Completed,629.69,67.16,562.53,562.53,KRW
O00045,C00028,CH0001,2026-05-20,Completed,2382.28,107.26,2275.02,2275.02,KRW
O00046,C00028,CH0001,2026-06-03,Completed,1444.46,74.02,1370.44,1370.44,KRW
O00047,C00028,CH0001,2026-05-17,Completed,4491.10,623.88,3867.22,3867.22,KRW
O00048,C00029,CH0002,2026-05-02,Completed,2427.86,117.50,2310.36,2310.36,KRW
O00049,C00030,CH0003,2026-05-18,Completed,3358.73,556.39,2802.34,2802.34,KRW
O00050,C00030,CH0001,2026-06-14,Completed,136.59,21.85,114.74,114.74,KRW
O00051,C00031,CH0001,2026-06-17,Completed,1174.30,54.72,1119.58,1119.58,KRW
O00052,C00031,CH0001,2026-05-02,Completed,1231.03,188.24,1042.79,1042.79,KRW
O00053,C00032,CH0002,2026-05-10,Completed,2578.94,649.74,1929.20,1929.20,KRW
O00054,C00033,CH0001,2026-05-16,Completed,1079.13,286.86,792.27,792.27,KRW
O00055,C00034,CH0003,2026-05-14,Completed,672.97,18.08,654.89,654.89,KRW
O00056,C00034,CH0002,2026-05-21,Completed,3037.43,747.59,2289.84,2289.84,KRW
O00057,C00035,CH0002,2026-06-26,Completed,1830.18,425.06,1405.12,1405.12,KRW
O00058,C00036,CH0003,2026-05-01,Completed,919.08,155.82,763.26,763.26,KRW
O00059,C00036,CH0001,2026-05-11,Completed,2853.71,327.41,2526.30,2526.30,KRW
O00060,C00037,CH0003,2026-06-10,Completed,2422.23,238.63,2183.60,2183.60,KRW
O00061,C00038,CH0002,2026-05-20,Completed,1205.53,302.62,902.91,902.91,KRW
O00062,C00039,CH0002,2026-05-19,Completed,2762.74,611.19,2151.55,2151.55,KRW
O00063,C00040,CH0002,2026-05-12,Completed,568.55,50.00,518.55,518.55,KRW
O00064,C00041,CH0004,2026-06-17,Completed,1056.22,53.93,1002.29,1002.29,KRW
O00065,C00042,CH0003,2026-05-26,Completed,3480.63,815.19,2665.44,2665.44,KRW
O00066,C00043,CH0004,2026-06-11,Completed,530.29,78.90,451.39,451.39,KRW
O00067,C00043,CH0001,2026-06-08,Completed,1384.11,201.71,1182.40,1182.40,KRW
O00068,C00044,CH0003,2026-05-17,Completed,590.67,80.64,510.03,510.03,KRW
O00069,C00044,CH0001,2026-05-05,Completed,915.03,24.92,890.11,890.11,KRW
O00070,C00044,CH0002,2026-06-15,Completed,1616.99,155.86,1461.13,1461.13,KRW
O00071,C00045,CH0003,2026-06-21,Cancelled,373.04,1.93,371.11,371.11,KRW
O00072,C00046,CH0001,2026-05-10,Completed,893.96,202.30,691.66,691.66,KRW
O00073,C00047,CH0004,2026-06-25,Completed,66.69,3.43,63.26,63.26,KRW
O00074,C00047,CH0004,2026-05-24,Completed,744.91,171.08,573.83,573.83,KRW
O00075,C00047,CH0002,2026-05-07,Completed,587.52,31.12,556.40,556.40,KRW
O00076,C00048,CH0003,2026-06-25,Completed,3281.95,158.86,3123.09,3123.09,KRW
O00077,C00048,CH0001,2026-06-04,Completed,2203.60,248.40,1955.20,1955.20,KRW
O00078,C00049,CH0001,2026-06-16,Completed,2019.68,172.61,1847.07,1847.07,KRW
O00079,C00050,CH0002,2026-06-01,Completed,299.16,26.88,272.28,272.28,KRW
O00080,C00050,CH0002,2026-05-22,Completed,1519.89,72.91,1446.98,1446.98,KRW
O00081,C00050,CH0003,2026-06-17,Completed,3409.72,342.49,3067.23,3067.23,KRW
O00082,C00051,CH0004,2026-06-11,Completed,3993.03,223.48,3769.55,3769.55,KRW
O00083,C00052,CH0004,2026-06-26,Completed,549.22,78.97,470.25,470.25,KRW
O00084,C00053,CH0003,2026-05-06,Completed,2445.35,626.15,1819.20,1819.20,KRW
O00085,C00054,CH0001,2026-06-18,Completed,2092.05,44.07,2047.98,2047.98,KRW
O00086,C00055,CH0004,2026-05-14,Completed,936.54,86.45,850.09,850.09,KRW
O00087,C00056,CH0002,2026-05-05,Completed,41.10,5.65,35.45,35.45,KRW
O00088,C00056,CH0004,2026-06-03,Completed,1214.43,126.15,1088.28,1088.28,KRW
O00089,C00057,CH0004,2026-06-02,Completed,2929.13,17.77,2911.36,2911.36,KRW
O00090,C00058,CH0001,2026-05-30,Completed,2173.77,49.42,2124.35,2124.35,KRW
O00091,C00058,CH0004,2026-06-02,Completed,958.87,110.09,848.78,848.78,KRW
O00092,C00058,CH0003,2026-05-21,Completed,1378.03,73.70,1304.33,1304.33,KRW
O00093,C00059,CH0002,2026-06-01,Completed,3495.17,356.42,3138.75,3138.75,KRW
O00094,C00059,CH0004,2026-05-20,Completed,117.26,11.98,105.28,105.28,KRW
O00095,C00059,CH0001,2026-05-18,Completed,5126.85,704.94,4421.91,4421.91,KRW
O00096,C00060,CH0001,2026-05-15,Completed,1749.28,171.52,1577.76,1577.76,KRW
O00097,C00060,CH0002,2026-05-20,Cancelled,881.77,47.78,833.99,833.99,KRW
O00098,C00060,CH0002,2026-06-20,Completed,939.64,20.56,919.08,919.08,KRW
O00099,C00061,CH0002,2026-05-16,Completed,1556.90,84.20,1472.70,1472.70,KRW
O00100,C00061,CH0003,2026-05-31,Completed,920.18,6.06,914.12,914.12,KRW
O00101,C00062,CH0002,2026-05-31,Completed,378.12,50.14,327.98,327.98,KRW
O00102,C00063,CH0003,2026-06-28,Completed,167.19,14.51,152.68,152.68,KRW
O00103,C00063,CH0002,2026-06-05,Completed,739.56,31.82,707.74,707.74,KRW
O00104,C00063,CH0002,2026-05-13,Completed,1736.06,75.41,1660.65,1660.65,KRW
O00105,C00064,CH0002,2026-06-17,Completed,2830.24,608.41,2221.83,2221.83,KRW
O00106,C00064,CH0003,2026-06-04,Completed,329.93,54.97,274.96,274.96,KRW
O00107,C00065,CH0002,2026-05-30,Completed,1805.60,167.14,1638.46,1638.46,KRW
O00108,C00066,CH0004,2026-05-20,Completed,4298.06,123.26,4174.80,4174.80,KRW
O00109,C00066,CH0001,2026-05-05,Completed,3299.92,739.31,2560.61,2560.61,KRW
O00110,C00067,CH0004,2026-05-27,Completed,845.66,198.51,647.15,647.15,KRW
O00111,C00068,CH0003,2026-06-13,Completed,278.20,67.39,210.81,210.81,KRW
O00112,C00068,CH0004,2026-06-02,Completed,3629.05,171.53,3457.52,3457.52,KRW
O00113,C00069,CH0004,2026-06-11,Completed,2973.38,814.78,2158.60,2158.60,KRW
O00114,C00070,CH0002,2026-05-16,Completed,2886.59,85.09,2801.50,2801.50,KRW
O00115,C00071,CH0003,2026-05-06,Completed,622.50,34.63,587.87,587.87,KRW
O00116,C00072,CH0003,2026-05-15,Completed,3001.50,676.36,2325.14,2325.14,KRW
O00117,C00073,CH0002,2026-06-24,Completed,683.67,68.19,615.48,615.48,KRW
O00118,C00074,CH0002,2026-05-16,Completed,3296.90,345.65,2951.25,2951.25,KRW
O00119,C00074,CH0001,2026-05-26,Completed,817.20,36.86,780.34,780.34,KRW
O00120,C00074,CH0002,2026-06-14,Completed,3891.80,408.41,3483.39,3483.39,KRW
O00121,C00075,CH0002,2026-06-17,Completed,3304.68,733.16,2571.52,2571.52,KRW
O00122,C00076,CH0004,2026-06-03,Completed,1586.46,362.42,1224.04,1224.04,KRW
O00123,C00077,CH0004,2026-06-25,Completed,1232.29,139.96,1092.33,1092.33,KRW
O00124,C00077,CH0002,2026-06-01,Completed,623.76,31.63,592.13,592.13,KRW
O00125,C00078,CH0003,2026-05-14,Completed,1210.48,113.53,1096.95,1096.95,KRW
O00126,C00079,CH0003,2026-06-12,Completed,320.54,28.04,292.50,292.50,KRW
O00127,C00080,CH0004,2026-05-22,Completed,2256.92,334.37,1922.55,1922.55,KRW
O00128,C00081,CH0003,2026-06-24,Completed,982.92,231.71,751.21,751.21,KRW
O00129,C00082,CH0002,2026-06-08,Completed,1193.77,162.70,1031.07,1031.07,KRW
O00130,C00082,CH0002,2026-05-05,Completed,2218.57,349.06,1869.51,1869.51,KRW
O00131,C00082,CH0004,2026-05-22,Completed,4253.96,479.19,3774.77,3774.77,KRW
O00132,C00083,CH0002,2026-05-21,Completed,1138.74,60.91,1077.83,1077.83,KRW
O00133,C00083,CH0004,2026-06-04,Completed,2900.37,293.71,2606.66,2606.66,KRW
O00134,C00083,CH0001,2026-05-29,Completed,1429.12,382.64,1046.48,1046.48,KRW
O00135,C00084,CH0003,2026-05-07,Completed,1461.72,154.39,1307.33,1307.33,KRW
O00136,C00084,CH0004,2026-05-12,Completed,880.58,121.88,758.70,758.70,KRW
O00137,C00084,CH0003,2026-06-25,Completed,478.96,23.20,455.76,455.76,KRW
O00138,C00085,CH0002,2026-06-27,Completed,3569.06,553.57,3015.49,3015.49,KRW
O00139,C00085,CH0003,2026-06-26,Completed,2665.18,70.82,2594.36,2594.36,KRW
O00140,C00086,CH0002,2026-05-19,Completed,336.43,50.86,285.57,285.57,KRW
O00141,C00086,CH0003,2026-06-19,Completed,1284.30,70.28,1214.02,1214.02,KRW
O00142,C00086,CH0001,2026-05-21,Completed,5360.91,2.78,5358.13,5358.13,KRW
O00143,C00087,CH0003,2026-05-04,Completed,1099.44,56.36,1043.08,1043.08,KRW
O00144,C00087,CH0004,2026-06-21,Completed,567.32,25.66,541.66,541.66,KRW
O00145,C00088,CH0004,2026-05-12,Completed,2046.03,2.99,2043.04,2043.04,KRW
O00146,C00089,CH0002,2026-06-14,Completed,2657.20,134.09,2523.11,2523.11,KRW
O00147,C00089,CH0003,2026-06-28,Completed,1961.26,499.96,1461.30,1461.30,KRW
O00148,C00090,CH0001,2026-05-02,Completed,1581.54,250.98,1330.56,1330.56,KRW
O00149,C00090,CH0004,2026-05-04,Completed,635.96,17.23,618.73,618.73,KRW
O00150,C00091,CH0004,2026-06-17,Completed,2821.99,1.96,2820.03,2820.03,KRW
O00151,C00091,CH0001,2026-06-01,Completed,3353.30,176.40,3176.90,3176.90,KRW
O00152,C00091,CH0001,2026-05-17,Completed,1840.77,392.42,1448.35,1448.35,KRW
O00153,C00092,CH0004,2026-05-01,Completed,2335.60,37.30,2298.30,2298.30,KRW
O00154,C00093,CH0004,2026-06-12,Completed,1981.32,17.87,1963.45,1963.45,KRW
O00155,C00093,CH0002,2026-06-28,Completed,1332.43,141.83,1190.60,1190.60,KRW
O00156,C00094,CH0002,2026-06-11,Completed,1347.54,124.50,1223.04,1223.04,KRW
O00157,C00094,CH0004,2026-05-28,Completed,4527.33,600.46,3926.87,3926.87,KRW
O00158,C00095,CH0001,2026-06-03,Completed,623.70,31.47,592.23,592.23,KRW
O00159,C00096,CH0002,2026-05-30,Cancelled,1915.95,85.75,1830.20,1830.20,KRW
O00160,C00096,CH0004,2026-06-04,Completed,2326.46,358.29,1968.17,1968.17,KRW
O00161,C00096,CH0001,2026-06-22,Completed,4221.87,241.04,3980.83,3980.83,KRW
O00162,C00097,CH0002,2026-05-20,Cancelled,1568.02,72.78,1495.24,1495.24,KRW
O00163,C00097,CH0004,2026-05-25,Cancelled,596.78,7.39,589.39,589.39,KRW
O00164,C00098,CH0003,2026-06-09,Completed,784.42,38.40,746.02,746.02,KRW
O00165,C00098,CH0001,2026-05-13,Cancelled,139.00,4.07,134.93,134.93,KRW
O00166,C00098,CH0003,2026-05-01,Completed,1210.18,116.83,1093.35,1093.35,KRW
O00167,C00099,CH0003,2026-05-14,Completed,177.58,8.63,168.95,168.95,KRW
O00168,C00100,CH0004,2026-05-30,Completed,1483.21,68.13,1415.08,1415.08,KRW
O00169,C00100,CH0004,2026-06-15,Completed,3059.80,275.38,2784.42,2784.42,KRW
O00170,C00101,CH0003,2026-05-23,Completed,2913.76,161.12,2752.64,2752.64,KRW
O00171,C00102,CH0004,2026-06-03,Completed,707.25,70.78,636.47,636.47,KRW
O00172,C00103,CH0004,2026-06-26,Completed,298.46,4.43,294.03,294.03,KRW
O00173,C00104,CH0004,2026-06-05,Completed,967.71,49.50,918.21,918.21,KRW
O00174,C00104,CH0003,2026-05-12,Completed,1909.73,88.61,1821.12,1821.12,KRW
O00175,C00105,CH0003,2026-06-06,Completed,5611.77,130.49,5481.28,5481.28,KRW
O00176,C00106,CH0001,2026-05-05,Completed,505.08,73.82,431.26,431.26,KRW
O00177,C00106,CH0004,2026-05-30,Completed,515.66,24.43,491.23,491.23,KRW
O00178,C00106,CH0002,2026-06-07,Completed,800.20,39.82,760.38,760.38,KRW
O00179,C00107,CH0004,2026-06-16,Completed,450.08,49.35,400.73,400.73,KRW
O00180,C00107,CH0001,2026-06-12,Completed,248.47,65.95,182.52,182.52,KRW
O00181,C00108,CH0004,2026-06-12,Completed,1807.47,266.42,1541.05,1541.05,KRW
O00182,C00109,CH0004,2026-05-31,Completed,1307.10,311.42,995.68,995.68,KRW
O00183,C00110,CH0001,2026-06-13,Completed,1054.09,138.69,915.40,915.40,KRW
O00184,C00110,CH0003,2026-05-20,Completed,561.36,31.78,529.58,529.58,KRW
O00185,C00111,CH0002,2026-05-20,Completed,2611.28,378.88,2232.40,2232.40,KRW
O00186,C00111,CH0004,2026-06-10,Completed,1557.92,70.80,1487.12,1487.12,KRW
O00187,C00112,CH0003,2026-05-05,Completed,2590.62,128.22,2462.40,2462.40,KRW
O00188,C00113,CH0004,2026-06-26,Completed,204.22,53.89,150.33,150.33,KRW
O00189,C00114,CH0004,2026-06-18,Completed,3056.82,428.30,2628.52,2628.52,KRW
O00190,C00114,CH0004,2026-05-01,Completed,878.25,19.00,859.25,859.25,KRW
O00191,C00115,CH0003,2026-05-04,Completed,1647.66,279.25,1368.41,1368.41,KRW
O00192,C00115,CH0004,2026-05-08,Completed,2134.54,347.64,1786.90,1786.90,KRW
O00193,C00115,CH0004,2026-06-24,Completed,1449.65,42.85,1406.80,1406.80,KRW
O00194,C00116,CH0001,2026-06-10,Completed,1788.09,231.47,1556.62,1556.62,KRW
O00195,C00116,CH0002,2026-05-18,Completed,1325.54,16.88,1308.66,1308.66,KRW
O00196,C00116,CH0002,2026-05-25,Completed,846.68,9.88,836.80,836.80,KRW
O00197,C00117,CH0002,2026-05-12,Completed,3432.34,760.27,2672.07,2672.07,KRW
O00198,C00118,CH0002,2026-05-22,Completed,1924.23,167.38,1756.85,1756.85,KRW
O00199,C00118,CH0003,2026-06-23,Completed,2387.85,21.65,2366.20,2366.20,KRW
O00200,C00118,CH0003,2026-05-13,Completed,2450.17,324.56,2125.61,2125.61,KRW
O00201,C00119,CH0001,2026-05-21,Completed,480.31,104.59,375.72,375.72,KRW
O00202,C00120,CH0002,2026-06-02,Completed,2175.56,102.15,2073.41,2073.41,KRW
O00203,C00120,CH0003,2026-06-05,Completed,1583.95,214.32,1369.63,1369.63,KRW
O00204,C00120,CH0003,2026-05-26,Completed,560.20,6.58,553.62,553.62,KRW
O00205,C00121,CH0003,2026-06-25,Completed,1716.44,440.33,1276.11,1276.11,KRW
O00206,C00122,CH0001,2026-05-28,Completed,2233.89,234.14,1999.75,1999.75,KRW
O00207,C00123,CH0001,2026-06-27,Completed,1174.20,50.60,1123.60,1123.60,KRW
O00208,C00123,CH0003,2026-05-22,Completed,1903.84,299.33,1604.51,1604.51,KRW
O00209,C00123,CH0003,2026-05-06,Completed,87.12,14.58,72.54,72.54,KRW
O00210,C00124,CH0003,2026-05-05,Completed,3289.22,308.61,2980.61,2980.61,KRW
O00211,C00124,CH0003,2026-05-17,Completed,747.32,22.08,725.24,725.24,KRW
O00212,C00124,CH0003,2026-06-11,Completed,2098.31,26.17,2072.14,2072.14,KRW
O00213,C00125,CH0003,2026-05-08,Completed,5144.54,1168.82,3975.72,3975.72,KRW
O00214,C00126,CH0004,2026-05-13,Completed,3025.77,63.98,2961.79,2961.79,KRW
O00215,C00126,CH0001,2026-05-07,Completed,1790.57,90.77,1699.80,1699.80,KRW
O00216,C00127,CH0001,2026-06-23,Completed,2095.00,483.03,1611.97,1611.97,KRW
O00217,C00128,CH0002,2026-05-30,Completed,2384.73,130.64,2254.09,2254.09,KRW
O00218,C00129,CH0001,2026-06-27,Completed,1920.44,271.88,1648.56,1648.56,KRW
O00219,C00130,CH0004,2026-06-23,Completed,2032.83,479.51,1553.32,1553.32,KRW
O00220,C00131,CH0002,2026-05-08,Completed,1174.26,126.61,1047.65,1047.65,KRW
O00221,C00132,CH0002,2026-05-12,Cancelled,3334.20,723.36,2610.84,2610.84,KRW
O00222,C00133,CH0003,2026-05-05,Completed,701.14,37.71,663.43,663.43,KRW
O00223,C00133,CH0004,2026-06-27,Completed,274.18,2.82,271.36,271.36,KRW
O00224,C00133,CH0001,2026-05-07,Completed,1876.78,106.56,1770.22,1770.22,KRW
O00225,C00134,CH0002,2026-06-17,Completed,247.49,13.78,233.71,233.71,KRW
O00226,C00134,CH0002,2026-05-20,Completed,2845.77,126.76,2719.01,2719.01,KRW
O00227,C00135,CH0002,2026-06-04,Completed,1840.58,505.56,1335.02,1335.02,KRW
O00228,C00136,CH0002,2026-06-08,Completed,841.50,241.44,600.06,600.06,KRW
O00229,C00137,CH0004,2026-05-18,Completed,2781.27,22.16,2759.11,2759.11,KRW
O00230,C00138,CH0003,2026-06-14,Completed,2353.39,617.88,1735.51,1735.51,KRW
O00231,C00139,CH0001,2026-06-25,Completed,716.05,31.94,684.11,684.11,KRW
O00232,C00139,CH0001,2026-05-02,Completed,1489.37,160.09,1329.28,1329.28,KRW
O00233,C00140,CH0003,2026-06-15,Completed,4452.96,695.52,3757.44,3757.44,KRW
O00234,C00140,CH0002,2026-06-18,Completed,4088.40,650.20,3438.20,3438.20,KRW
O00235,C00140,CH0001,2026-05-22,Completed,3141.69,160.55,2981.14,2981.14,KRW
O00236,C00141,CH0003,2026-06-17,Completed,1077.70,292.85,784.85,784.85,KRW
O00237,C00142,CH0004,2026-05-14,Completed,2592.75,267.50,2325.25,2325.25,KRW
O00238,C00142,CH0001,2026-06-21,Completed,136.59,0.76,135.83,135.83,KRW
O00239,C00143,CH0004,2026-06-28,Completed,1910.52,454.42,1456.10,1456.10,KRW
O00240,C00143,CH0002,2026-05-08,Completed,2485.28,699.35,1785.93,1785.93,KRW
O00241,C00144,CH0003,2026-06-04,Completed,2656.75,763.65,1893.10,1893.10,KRW
O00242,C00145,CH0003,2026-06-02,Completed,444.26,126.14,318.12,318.12,KRW
O00243,C00146,CH0001,2026-06-14,Completed,2320.10,310.27,2009.83,2009.83,KRW
O00244,C00147,CH0001,2026-06-12,Completed,2968.22,385.58,2582.64,2582.64,KRW
O00245,C00148,CH0003,2026-05-31,Completed,4962.99,755.36,4207.63,4207.63,KRW
O00246,C00148,CH0004,2026-05-22,Completed,1518.31,222.78,1295.53,1295.53,KRW
O00247,C00149,CH0002,2026-06-06,Completed,1741.92,177.18,1564.74,1564.74,KRW
O00248,C00149,CH0001,2026-05-04,Completed,2806.41,26.63,2779.78,2779.78,KRW
O00249,C00150,CH0003,2026-06-24,Completed,453.51,50.07,403.44,403.44,KRW
O00250,C00150,CH0004,2026-05-24,Completed,960.99,150.18,810.81,810.81,KRW
O00251,C00150,CH0001,2026-05-13,Completed,1280.43,114.48,1165.95,1165.95,KRW
O00252,C00151,CH0002,2026-06-22,Completed,2158.56,51.18,2107.38,2107.38,KRW
O00253,C00151,CH0002,2026-05-24,Completed,1404.03,68.69,1335.34,1335.34,KRW
O00254,C00152,CH0004,2026-06-25,Completed,133.38,19.65,113.73,113.73,KRW
O00255,C00152,CH0004,2026-05-28,Completed,3197.60,15.49,3182.11,3182.11,KRW
O00256,C00153,CH0002,2026-05-04,Completed,5078.93,85.49,4993.44,4993.44,KRW
O00257,C00154,CH0003,2026-06-18,Completed,4028.13,24.09,4004.04,4004.04,KRW
O00258,C00155,CH0001,2026-05-21,Completed,653.10,61.59,591.51,591.51,KRW
O00259,C00155,CH0004,2026-05-15,Completed,746.72,120.98,625.74,625.74,KRW
O00260,C00156,CH0003,2026-05-27,Completed,1224.40,134.70,1089.70,1089.70,KRW
O00261,C00156,CH0002,2026-05-07,Completed,2028.08,88.03,1940.05,1940.05,KRW
O00262,C00157,CH0002,2026-06-21,Completed,846.03,215.81,630.22,630.22,KRW
O00263,C00158,CH0004,2026-05-14,Completed,4447.46,1156.49,3290.97,3290.97,KRW
O00264,C00159,CH0003,2026-06-26,Completed,3393.84,382.95,3010.89,3010.89,KRW
O00265,C00160,CH0004,2026-05-07,Cancelled,3544.68,197.71,3346.97,3346.97,KRW
O00266,C00160,CH0001,2026-06-13,Cancelled,4426.94,475.75,3951.19,3951.19,KRW
O00267,C00160,CH0002,2026-06-25,Completed,67.01,0.74,66.27,66.27,KRW
O00268,C00161,CH0002,2026-05-18,Completed,498.29,26.03,472.26,472.26,KRW
O00269,C00161,CH0003,2026-05-20,Completed,2953.40,743.17,2210.23,2210.23,KRW
O00270,C00162,CH0003,2026-05-24,Completed,960.72,227.19,733.53,733.53,KRW
O00271,C00163,CH0001,2026-05-19,Completed,1147.88,6.46,1141.42,1141.42,KRW
O00272,C00164,CH0002,2026-06-17,Completed,1707.79,43.32,1664.47,1664.47,KRW
O00273,C00164,CH0004,2026-06-07,Completed,2379.84,216.68,2163.16,2163.16,KRW
O00274,C00164,CH0002,2026-06-25,Completed,1656.26,8.52,1647.74,1647.74,KRW
O00275,C00165,CH0002,2026-05-23,Completed,729.11,171.41,557.70,557.70,KRW
O00276,C00166,CH0003,2026-06-14,Completed,181.04,8.84,172.20,172.20,KRW
O00277,C00166,CH0002,2026-05-30,Completed,613.94,83.70,530.24,530.24,KRW
O00278,C00167,CH0004,2026-05-25,Completed,3205.84,455.26,2750.58,2750.58,KRW
O00279,C00168,CH0004,2026-05-19,Completed,3275.20,55.94,3219.26,3219.26,KRW
O00280,C00168,CH0004,2026-06-14,Completed,1752.90,263.65,1489.25,1489.25,KRW
O00281,C00169,CH0002,2026-05-06,Completed,837.51,91.34,746.17,746.17,KRW
O00282,C00169,CH0003,2026-05-14,Completed,3179.28,157.88,3021.40,3021.40,KRW
O00283,C00169,CH0001,2026-05-02,Completed,686.78,36.77,650.01,650.01,KRW
O00284,C00170,CH0001,2026-06-26,Completed,3008.04,315.71,2692.33,2692.33,KRW
O00285,C00170,CH0001,2026-05-23,Completed,796.58,73.79,722.79,722.79,KRW
O00286,C00171,CH0001,2026-06-08,Completed,3633.39,11.24,3622.15,3622.15,KRW
O00287,C00172,CH0001,2026-05-16,Completed,495.68,26.47,469.21,469.21,KRW
O00288,C00172,CH0002,2026-05-15,Completed,1304.57,70.60,1233.97,1233.97,KRW
O00289,C00172,CH0003,2026-05-03,Completed,1120.40,13.38,1107.02,1107.02,KRW
O00290,C00173,CH0004,2026-05-30,Completed,2266.05,566.36,1699.69,1699.69,KRW
O00291,C00174,CH0001,2026-05-09,Cancelled,2470.98,675.57,1795.41,1795.41,KRW
O00292,C00175,CH0003,2026-06-11,Completed,2468.10,268.72,2199.38,2199.38,KRW
O00293,C00175,CH0001,2026-06-16,Completed,2810.07,137.27,2672.80,2672.80,KRW
O00294,C00176,CH0003,2026-06-16,Completed,4674.13,677.62,3996.51,3996.51,KRW
O00295,C00176,CH0004,2026-06-13,Completed,3393.45,163.40,3230.05,3230.05,KRW
O00296,C00177,CH0004,2026-05-20,Completed,1339.42,18.00,1321.42,1321.42,KRW
O00297,C00178,CH0001,2026-06-16,Completed,28.50,2.68,25.82,25.82,KRW
O00298,C00179,CH0003,2026-05-03,Completed,142.77,7.18,135.59,135.59,KRW
O00299,C00179,CH0003,2026-06-17,Completed,2388.39,246.89,2141.50,2141.50,KRW
O00300,C00179,CH0002,2026-06-19,Completed,2183.73,314.99,1868.74,1868.74,KRW
O00301,C00180,CH0003,2026-06-11,Completed,2412.41,525.26,1887.15,1887.15,KRW
O00302,C00181,CH0004,2026-05-10,Completed,2045.52,200.51,1845.01,1845.01,KRW
