order_id,promotion_id
O00306,PR00572
O00307,PR00551
O00308,PR00866
O00310,PR00231
O00311,PR00976
O00312,PR00702
O00313,PR00841
O00314,PR00306
O00315,PR00732
O00316,PR00901
O00317,PR00157
O00319,PR00225
O00320,PR00092
O00322,PR00677
O00323,PR00202
O00324,PR00551
O00325,PR00776
O00325,PR00340
O00327,PR00695
O00328,PR00859
O00329,PR00652
O00330,PR00184
O00331,PR00018
O00332,PR00937
O00334,PR00635
O00334,PR00059
O00335,PR00663
O00336,PR00167
O00337,PR00956
O00338,PR00633
O00339,PR00860
O00340,PR00661
O00342,PR00430
O00344,PR00867
O00345,PR00820
O00346,PR00067
O00347,PR00148
O00349,PR00685
O00350,PR00267
O00350,PR00531
O00352,PR00100
O00353,PR00338
O00354,PR00017
O00355,PR00208
O00356,PR00110
O00356,PR00486
O00357,PR00634
O00358,PR00684
O00360,PR00380
O00360,PR00172
O00361,PR00610
O00362,PR00728
O00363,PR00945
O00364,PR00608
O00366,PR00955
O00367,PR00994
O00367,PR00574
O00368,PR00235
O00369,PR00120
O00370,PR00717
O00371,PR00122
O00372,PR00453
O00373,PR00704
O00374,PR00764
O00375,PR00754
O00376,PR00327
O00376,PR00271
O00377,PR00711
O00378,PR00638
O00379,PR00673
O00380,PR00641
O00381,PR00407
O00382,PR00203
O00384,PR00123
O00384,PR00199
O00385,PR00579
O00386,PR00500
O00387,PR00288
O00388,PR00886
O00389,PR00652
O00390,PR00404
O00391,PR00813
O00392,PR00280
O00392,PR00296
O00393,PR00324
O00394,PR00874
O00395,PR00845
O00395,PR00757
O00397,PR00433
O00398,PR00689
O00399,PR00974
O00400,PR00325
O00402,PR00591
O00403,PR00909
O00404,PR00180
O00405,PR00649
O00406,PR00991
O00407,PR00035
O00407,PR00919
O00408,PR00431
O00409,PR00156
O00410,PR00400
O00411,PR00222
O00412,PR00807
O00413,PR00513
O00415,PR00036
O00416,PR00684
O00417,PR00482
O00418,PR00861
O00419,PR00115
O00420,PR00160
O00420,PR00892
O00421,PR00761
O00421,PR00749
O00422,PR00463
O00423,PR00155
O00424,PR00170
O00425,PR00620
O00426,PR00492
O00427,PR00663
O00427,PR00371
O00428,PR00817
O00429,PR00246
O00429,PR00722
O00432,PR00706
O00434,PR00682
O00435,PR00058
O00436,PR00268
O00437,PR00729
O00439,PR00838
O00440,PR00963
O00441,PR00646
O00442,PR00006
O00443,PR00583
O00443,PR00531
O00444,PR00970
O00445,PR00379
O00446,PR00160
O00446,PR00460
O00447,PR00183
O00449,PR00584
O00450,PR00905
O00452,PR00587
O00453,PR00719
O00454,PR00551
O00455,PR00258
O00456,PR00291
O00457,PR00838
O00460,PR00694
O00461,PR00059
O00462,PR00107
O00463,PR00754
O00463,PR00610
O00465,PR00951
O00467,PR00196
O00468,PR00851
O00469,PR00531
O00470,PR00659
O00471,PR00183
O00471,PR00883
O00472,PR00389
O00474,PR00687
O00475,PR00795
O00475,PR00255
O00476,PR00796
O00476,PR00904
O00477,PR00008
O00478,PR00305
O00478,PR00537
O00479,PR00857
O00480,PR00574
O00481,PR00643
O00482,PR00796
O00483,PR00919
O00484,PR00363
O00485,PR00758
O00486,PR00414
O00487,PR00540
O00488,PR00745
O00490,PR00386
O00491,PR00258
O00492,PR00090
O00492,PR00138
O00493,PR00346
O00494,PR00631
O00494,PR00003
O00496,PR00071
O00498,PR00587
O00499,PR00247
O00500,PR00994
O00501,PR00366
O00503,PR00718
O00506,PR00205
O00507,PR00215
O00508,PR00114
O00509,PR00085
O00509,PR00149
O00511,PR00011
O00512,PR00481
O00513,PR00433
O00514,PR00070
O00515,PR00389
O00516,PR00213
O00517,PR00507
O00518,PR00081
O00519,PR00523
O00520,PR00283
O00522,PR00316
O00523,PR00199
O00524,PR00378
O00525,PR00496
O00527,PR00185
O00528,PR00357
O00529,PR00805
O00529,PR00649
O00532,PR00394
O00532,PR00382
O00533,PR00818
O00534,PR00250
O00535,PR00557
O00536,PR00220
O00537,PR00152
O00538,PR00038
O00541,PR00910
O00541,PR00374
O00542,PR00537
O00543,PR00593
O00544,PR00430
O00545,PR00698
O00546,PR00882
O00548,PR00819
O00549,PR00106
O00552,PR00969
O00552,PR00257
O00555,PR00150
O00556,PR00114
O00556,PR00658
O00557,PR00053
O00558,PR00824
O00558,PR00740
O00559,PR00359
O00560,PR00963
O00561,PR00218
O00561,PR00046
O00562,PR00512
O00563,PR00437
O00564,PR00097
O00565,PR00976
O00566,PR00250
O00567,PR00166
O00567,PR00002
O00569,PR00870
O00569,PR00270
O00570,PR00206
O00571,PR00749
O00572,PR00531
O00573,PR00333
O00574,PR00100
O00575,PR00387
O00576,PR00923
O00576,PR00103
O00577,PR00445
O00578,PR00472
O00579,PR00389
O00580,PR00253
O00581,PR00241
O00582,PR00188
O00583,PR00100
O00584,PR00106
O00585,PR00432
O00586,PR00262
O00587,PR00599
O00588,PR00570
O00589,PR00483
O00589,PR00739
O00590,PR00142
O00592,PR00671
O00593,PR00637
O00594,PR00871
O00594,PR00471
O00595,PR00613
O00596,PR00140
O00597,PR00003
O00598,PR00910
O00598,PR00962
O00599,PR00799
O00600,PR00088
O00601,PR00847
O00602,PR00826
O00603,PR00197
O00604,PR00594
O00605,PR00393
O00606,PR00362
O00607,PR00034
O00608,PR00946
O00609,PR00649
O00610,PR00063
O00611,PR00490
O00612,PR00205
O00613,PR00363
O00614,PR00623
O00615,PR00374
O00616,PR00521
O00617,PR00678
O00617,PR00206
O00618,PR00086
O00619,PR00137
O00621,PR00085
O00622,PR00602
O00623,PR00301
O00625,PR00074
O00626,PR00615
O00627,PR00957
O00628,PR00917
O00629,PR00704
O00630,PR00411
O00631,PR00098
O00632,PR00890
O00633,PR00505
O00634,PR00458
O00635,PR00678
O00635,PR00222
O00636,PR00326
O00637,PR00551
O00638,PR00940
O00639,PR00749
O00640,PR00177
O00641,PR00983
O00643,PR00447
O00644,PR00048
O00645,PR00212
O00647,PR00858
O00648,PR00016
O00651,PR00855
O00651,PR00167
O00652,PR00190
O00653,PR00484
O00653,PR00800
O00654,PR00311
O00655,PR00272
O00656,PR00277
O00657,PR00666
O00658,PR00382
O00660,PR00919
O00661,PR00635
O00662,PR00010
O00662,PR00978
O00663,PR00666
O00664,PR00098
O00664,PR00498
O00665,PR00882
O00667,PR00557
O00667,PR00489
O00669,PR00559
O00670,PR00437
O00670,PR00009
O00671,PR00171
O00672,PR00772
O00673,PR00199
O00675,PR00403
O00677,PR00572
O00678,PR00132
O00679,PR00842
O00679,PR00266
O00680,PR00823
O00681,PR00348
O00682,PR00134
O00683,PR00802
O00684,PR00699
O00685,PR00708
O00686,PR00806
O00686,PR00050
O00689,PR00709
O00690,PR00789
O00691,PR00403
O00692,PR00552
O00693,PR00950
O00695,PR00904
O00696,PR00505
O00697,PR00812
O00698,PR00311
O00700,PR00846
O00701,PR00063
O00702,PR00514
O00703,PR00281
O00704,PR00793
O00704,PR00537
O00705,PR00284
O00706,PR00279
O00707,PR00895
O00708,PR00206
O00709,PR00837
O00709,PR00705
O00710,PR00937
O00712,PR00558
O00713,PR00526
O00713,PR00726
O00714,PR00841
O00717,PR00425
O00718,PR00811
O00719,PR00996
O00720,PR00031
O00721,PR00883
O00722,PR00058
O00722,PR00178
O00723,PR00785
O00724,PR00350
O00725,PR00118
O00729,PR00308
O00731,PR00309
O00733,PR00818
O00734,PR00662
O00734,PR00426
O00735,PR00071
O00736,PR00171
O00737,PR00536
O00738,PR00346
O00740,PR00795
O00741,PR00923
O00742,PR00616
O00744,PR00187
O00745,PR00401
O00747,PR00136
O00748,PR00102
O00750,PR00067
O00752,PR00818
O00753,PR00903
O00753,PR00235
O00754,PR00986
O00755,PR00226
O00756,PR00890
O00757,PR00471
O00758,PR00854
O00759,PR00069
O00759,PR00885
O00760,PR00111
O00761,PR00089
O00762,PR00270
O00763,PR00543
O00765,PR00993
O00769,PR00414
O00770,PR00395
O00771,PR00510
O00772,PR00310
O00773,PR00265
O00774,PR00280
O00775,PR00991
O00775,PR00715
O00776,PR00141
O00777,PR00531
O00778,PR00555
O00780,PR00397
O00780,PR00925
O00781,PR00170
O00782,PR00251
O00782,PR00043
O00783,PR00548
O00783,PR00008
O00784,PR00912
O00785,PR00168
O00786,PR00691
O00787,PR00435
O00787,PR00251
O00788,PR00793
O00789,PR00410
O00790,PR00339
O00791,PR00572
O00791,PR00728
O00792,PR00103
O00793,PR00438
O00794,PR00625
O00795,PR00035
O00796,PR00322
O00797,PR00774
O00798,PR00882
O00799,PR00816
O00800,PR00232
O00801,PR00936
O00801,PR00040
O00802,PR00603
O00803,PR00258
O00804,PR00190
O00805,PR00953
O00806,PR00731
O00806,PR00939
O00808,PR00699
O00809,PR00951
O00812,PR00857
O00813,PR00710
O00815,PR00382
O00816,PR00939
O00817,PR00309
O00818,PR00500
O00819,PR00087
O00821,PR00599
O00822,PR00633
O00823,PR00104
O00824,PR00230
O00826,PR00598
O00827,PR00075
O00828,PR00575
O00829,PR00505
O00829,PR00337
O00830,PR00748
O00831,PR00381
O00832,PR00567
O00833,PR00364
O00834,PR00312
O00834,PR00896
O00835,PR00388
O00836,PR00532
O00837,PR00944
O00838,PR00024
O00839,PR00788
O00840,PR00564
O00841,PR00173
O00841,PR00849
O00842,PR00125
O00843,PR00942
O00844,PR00322
O00845,PR00275
O00845,PR00583
O00846,PR00327
O00846,PR00711
O00847,PR00684
O00848,PR00090
O00850,PR00689
O00852,PR00959
O00853,PR00785
O00854,PR00625
O00855,PR00474
O00856,PR00720
O00856,PR00036
O00857,PR00419
O00858,PR00198
O00860,PR00350
O00860,PR00450
O00861,PR00274
O00862,PR00965
O00863,PR00866
O00864,PR00970
O00864,PR00190
O00865,PR00082
O00866,PR00541
O00868,PR00345
O00870,PR00446
O00871,PR00440
O00872,PR00645
O00874,PR00664
O00874,PR00568
O00875,PR00393
O00875,PR00705
O00876,PR00328
O00877,PR00944
O00878,PR00619
O00879,PR00274
O00880,PR00059
O00881,PR00789
O00881,PR00937
O00882,PR00259
O00884,PR00146
O00885,PR00365
O00885,PR00565
O00886,PR00601
O00887,PR00083
O00888,PR00394
O00889,PR00722
O00890,PR00211
O00892,PR00372
O00893,PR00815
O00893,PR00015
O00894,PR00390
O00895,PR00575
O00896,PR00312
O00897,PR00573
O00898,PR00126
O00899,PR00010
O00902,PR00565
O00904,PR00308
O00905,PR00234
O00906,PR00559
O00906,PR00251
O00907,PR00134
O00908,PR00596
O00909,PR00570
O00910,PR00746
O00913,PR00644
O00917,PR00667
O00918,PR00771
O00920,PR00050
O00921,PR00670
O00921,PR00122
O00922,PR00339
O00923,PR00652
O00924,PR00572
O00925,PR00316
O00925,PR00744
O00926,PR00128
O00927,PR00516
O00927,PR00244
O00928,PR00394
O00930,PR00021
O00931,PR00486
O00932,PR00398
O00933,PR00885
O00935,PR00279
O00936,PR00439
O00937,PR00448
O00937,PR00744
O00938,PR00924
O00939,PR00242
O00939,PR00694
O00940,PR00435
O00942,PR00917
O00943,PR00500
O00946,PR00975
O00947,PR00414
O00948,PR00946
O00949,PR00673
O00950,PR00108
O00951,PR00950
O00952,PR00066
O00953,PR00036
O00954,PR00464
O00955,PR00637
O00956,PR00718
O00958,PR00390
O00958,PR00674
O00959,PR00826
O00961,PR00239
O00962,PR00770
O00963,PR00864
O00965,PR00811
O00966,PR00765
O00968,PR00926
O00969,PR00230
O00971,PR00819
O00973,PR00360
O00974,PR00908
O00975,PR00847
O00976,PR00588
O00977,PR00650
O00977,PR00566
O00978,PR00251
O00979,PR00379
O00980,PR00026
O00981,PR00823
O00981,PR00795
O00982,PR00576
O00983,PR00195
O00984,PR00363
O00985,PR00382
O00987,PR00655
O00988,PR00253
O00990,PR00713
O00991,PR00112
O00993,PR00628
O00993,PR00940
O00995,PR00538
O00996,PR00108
O00996,PR00884
O00997,PR00527
O00999,PR00702
O01000,PR00883
O01003,PR00662
O01004,PR00167
O01005,PR00411
O01006,PR00867
O01007,PR00983
O01009,PR00441
O01009,PR00437
O01010,PR00456
O01010,PR00404
O01012,PR00020
O01014,PR00919
O01015,PR00493
O01017,PR00916
O01018,PR00756
O01019,PR00412
O01021,PR00327
O01022,PR00541
O01023,PR00808
O01024,PR00173
O01025,PR00835
O01025,PR00155
O01026,PR00269
O01027,PR00550
O01028,PR00506
O01029,PR00371
O01031,PR00957
O01032,PR00845
O01033,PR00188
O01034,PR00906
O01036,PR00342
O01037,PR00875
O01038,PR00165
O01039,PR00437
O01040,PR00579
O01041,PR00794
O01042,PR00427
O01043,PR00709
O01045,PR00953
O01046,PR00574
O01047,PR00565
O01048,PR00150
O01048,PR00966
O01049,PR00906
O01051,PR00240
O01051,PR00804
O01052,PR00108
O01053,PR00792
O01053,PR00380
O01054,PR00850
O01056,PR00884
O01058,PR00702
O01059,PR00546
O01060,PR00837
O01062,PR00450
O01063,PR00595
O01064,PR00872
O01065,PR00468
O01065,PR00600
O01066,PR00302
O01067,PR00844
O01068,PR00746
O01069,PR00026
O01069,PR00350
O01070,PR00300
O01071,PR00772
O01072,PR00074
O01073,PR00925
O01074,PR00574
O01075,PR00342
O01076,PR00040
O01077,PR00208
O01078,PR00589
O01079,PR00709
O01080,PR00464
O01081,PR00635
O01082,PR00252
O01082,PR00916
O01083,PR00274
O01083,PR00758
O01084,PR00034
O01084,PR00618
O01085,PR00754
O01087,PR00296
O01090,PR00516
O01091,PR00180
O01091,PR00748
O01092,PR00890
O01095,PR00812
O01095,PR00340
O01096,PR00211
O01097,PR00474
O01098,PR00481
O01099,PR00336
O01100,PR00764
O01101,PR00454
O01101,PR00326
O01103,PR00557
O01104,PR00307
O01104,PR00559
O01105,PR00078
O01107,PR00522
O01108,PR00663
O01108,PR00135
O01110,PR00582
O01111,PR00733
O01112,PR00340
O01113,PR00527
O01115,PR00395
O01116,PR00265
O01117,PR00213
O01118,PR00774
O01120,PR00330
O01121,PR00607
O01122,PR00230
O01123,PR00500
O01124,PR00561
O01124,PR00969
O01125,PR00199
O01126,PR00175
O01127,PR00242
O01129,PR00873
O01130,PR00338
O01132,PR00309
O01133,PR00570
O01134,PR00470
O01135,PR00313
O01137,PR00358
O01138,PR00417
O01139,PR00803
O01140,PR00672
O01140,PR00708
O01141,PR00038
O01141,PR00994
O01143,PR00402
O01144,PR00356
O01145,PR00418
O01145,PR00174
O01146,PR00630
O01147,PR00072
O01148,PR00369
O01148,PR00049
O01149,PR00427
O01150,PR00158
O01150,PR00850
O01151,PR00775
O01152,PR00256
O01153,PR00223
O01153,PR00151
O01154,PR00678
O01155,PR00538
O01155,PR00146
O01156,PR00795
O01157,PR00448
O01157,PR00644
O01158,PR00260
O01159,PR00143
O01160,PR00827
O01162,PR00577
O01163,PR00544
O01164,PR00594
O01165,PR00924
O01165,PR00704
O01166,PR00844
O01167,PR00527
O01168,PR00817
O01169,PR00539
O01170,PR00794
O01171,PR00310
O01172,PR00887
O01173,PR00121
O01173,PR00353
O01174,PR00316
O01174,PR00896
O01175,PR00565
O01176,PR00920
O01177,PR00797
O01178,PR00017
O01179,PR00981
O01180,PR00509
O01181,PR00693
O01182,PR00289
O01183,PR00443
O01184,PR00316
O01184,PR00720
O01185,PR00958
O01186,PR00439
O01187,PR00465
O01187,PR00545
O01188,PR00581
O01189,PR00591
O01190,PR00734
O01191,PR00284
O01192,PR00503
O01192,PR00707
O01193,PR00805
O01194,PR00640
O01194,PR00228
O01195,PR00945
O01196,PR00251
O01197,PR00913
O01198,PR00454
O01198,PR00390
O01199,PR00993
O01201,PR00533
O01203,PR00615
O01204,PR00980
O01205,PR00620
O01206,PR00601
O01206,PR00185
O01207,PR00326
O01208,PR00854
O01209,PR00292
O01210,PR00564
O01211,PR00798
O01212,PR00971
O01212,PR00939
O01213,PR00033
O01214,PR00692
O01216,PR00537
O01217,PR00827
O01218,PR00462
O01219,PR00947
O01220,PR00162
O01221,PR00976
O01223,PR00251
O01224,PR00744
O01225,PR00715
O01226,PR00838
O01227,PR00351
O01228,PR00222
O01230,PR00273
O01231,PR00598
O01233,PR00080
O01234,PR00084
O01235,PR00387
O01236,PR00437
O01237,PR00691
O01237,PR00999
O01238,PR00692
O01239,PR00669
O01240,PR00471
O01241,PR00890
O01241,PR00682
O01242,PR00767
O01245,PR00133
O01245,PR00545
O01246,PR00889
O01247,PR00660
O01248,PR00720
O01249,PR00822
O01250,PR00687
O01251,PR00414
O01251,PR00050
O01252,PR00816
O01252,PR00460
O01253,PR00537
O01254,PR00756
O01255,PR00946
O01256,PR00494
O01259,PR00288
O01260,PR00306
O01261,PR00147
O01262,PR00489
O01263,PR00360
O01264,PR00453
O01265,PR00928
O01266,PR00716
O01267,PR00375
O01268,PR00205
O01269,PR00209
O01270,PR00328
O01271,PR00695
O01272,PR00554
O01274,PR00717
O01275,PR00301
O01277,PR00790
O01279,PR00019
O01279,PR00731
O01281,PR00054
O01282,PR00277
O01283,PR00324
O01284,PR00344
O01285,PR00024
O01286,PR00142
O01287,PR00812
O01288,PR00517
O01288,PR00453
O01289,PR00632
O01290,PR00145
O01291,PR00438
O01292,PR00747
O01294,PR00456
O01295,PR00129
O01296,PR00810
O01297,PR00419
O01298,PR00867
O01301,PR00276
O01302,PR00939
O01304,PR00522
O01305,PR00364
O01306,PR00217
O01307,PR00615
O01307,PR00759
O01309,PR00267
O01309,PR00951
O01310,PR00894
O01311,PR00980
O01312,PR00504
O01315,PR00147
O01316,PR00615
O01317,PR00147
O01318,PR00155
O01319,PR00359
O01321,PR00798
O01323,PR00430
O01324,PR00053
O01325,PR00449
O01326,PR00114
O01327,PR00943
O01328,PR00999
O01328,PR00859
O01329,PR00813
O01330,PR00509
O01331,PR00595
O01332,PR00030
O01332,PR00218
O01333,PR00523
O01334,PR00570
O01335,PR00838
O01336,PR00839
O01337,PR00220
O01338,PR00541
O01339,PR00015
O01340,PR00663
O01341,PR00405
O01342,PR00020
O01343,PR00251
O01344,PR00710
O01345,PR00279
O01346,PR00148
O01347,PR00177
O01348,PR00539
O01348,PR00775
O01349,PR00349
O01350,PR00357
O01350,PR00585
O01351,PR00673
O01352,PR00654
O01353,PR00597
O01355,PR00653
O01356,PR00454
O01357,PR00191
O01360,PR00203
O01362,PR00350
O01365,PR00675
O01366,PR00509
O01367,PR00932
O01368,PR00098
O01368,PR00090
O01369,PR00922
O01370,PR00222
O01371,PR00114
O01372,PR00612
O01373,PR00130
O01375,PR00166
O01376,PR00682
O01376,PR00254
O01377,PR00686
O01378,PR00698
O01379,PR00723
O01380,PR00801
O01381,PR00256
O01381,PR00872
O01382,PR00444
O01384,PR00289
O01386,PR00535
O01387,PR00223
O01388,PR00730
O01390,PR00987
O01391,PR00483
O01392,PR00465
O01393,PR00637
O01395,PR00932
O01396,PR00948
O01397,PR00601
O01398,PR00528
O01399,PR00861
O01401,PR00442
O01402,PR00332
O01403,PR00194
O01404,PR00798
O01405,PR00172
O01406,PR00674
O01407,PR00611
O01409,PR00837
O01410,PR00388
O01411,PR00215
O01412,PR00441
O01413,PR00388
O01418,PR00224
O01419,PR00604
O01420,PR00619
O01421,PR00114
O01421,PR00894
O01423,PR00600
O01424,PR00413
O01424,PR00033
O01425,PR00118
O01426,PR00662
O01428,PR00512
O01430,PR00675
O01431,PR00406
O01434,PR00085
O01435,PR00247
O01437,PR00431
O01438,PR00322
O01438,PR00898
O01439,PR00060
O01439,PR00444
O01441,PR00787
O01442,PR00127
O01443,PR00089
O01444,PR00634
O01446,PR00532
O01447,PR00399
O01448,PR00088
O01449,PR00720
O01450,PR00208
O01452,PR00494
O01453,PR00186
O01454,PR00642
O01455,PR00682
O01456,PR00233
O01457,PR00608
O01457,PR00544
O01458,PR00932
O01459,PR00205
O01460,PR00086
O01461,PR00695
O01462,PR00630
O01463,PR00859
O01464,PR00120
O01465,PR00724
O01467,PR00322
O01468,PR00318
O01469,PR00864
O01470,PR00832
O01471,PR00106
O01472,PR00959
O01474,PR00652
O01475,PR00492
O01476,PR00496
O01477,PR00819
O01477,PR00083
O01479,PR00397
O01480,PR00358
O01480,PR00002
O01481,PR00763
O01482,PR00537
O01483,PR00857
O01485,PR00899
O01485,PR00599
O01486,PR00512
O01487,PR00855
O01488,PR00043
O01489,PR00343
O01490,PR00049
O01492,PR00931
O01493,PR00183
O01493,PR00123
O01494,PR00079
O01495,PR00226
O01496,PR00819
O01497,PR00998
O01498,PR00855
O01499,PR00831
O01501,PR00606
O01503,PR00471
O01505,PR00749
O01506,PR00007
O01507,PR00565
O01508,PR00133
O01509,PR00542
O01510,PR00495
O01511,PR00789
O01512,PR00298
O01513,PR00849
O01514,PR00188
O01515,PR00071
O01516,PR00400
O01517,PR00503
O01518,PR00600
O01519,PR00761
O01520,PR00385
O01521,PR00157
O01521,PR00049
O01523,PR00118
O01524,PR00758
O01525,PR00814
O01527,PR00443
O01528,PR00145
O01529,PR00782
O01529,PR00626
O01530,PR00037
O01530,PR00301
O01531,PR00627
O01533,PR00569
O01533,PR00921
O01534,PR00627
O01535,PR00839
O01537,PR00588
O01538,PR00602
O01540,PR00835
O01541,PR00824
O01542,PR00475
O01543,PR00061
O01544,PR00054
O01545,PR00713
O01546,PR00559
O01547,PR00841
O01548,PR00066
O01549,PR00206
O01550,PR00172
O01551,PR00707
O01551,PR00047
O01552,PR00460
O01553,PR00876
O01554,PR00059
O01555,PR00662
O01556,PR00742
O01557,PR00430
O01558,PR00558
O01559,PR00839
O01559,PR00215
O01560,PR00142
O01560,PR00274
O01561,PR00372
O01562,PR00355
O01563,PR00759
O01564,PR00116
O01565,PR00179
O01566,PR00476
O01567,PR00973
O01568,PR00539
O01569,PR00656
O01570,PR00282
O01571,PR00176
O01571,PR00668
O01572,PR00531
O01574,PR00435
O01574,PR00911
O01575,PR00154
O01576,PR00946
O01577,PR00296
O01578,PR00184
O01578,PR00424
O01579,PR00491
O01580,PR00389
O01580,PR00437
O01581,PR00362
O01581,PR00226
O01582,PR00545
O01582,PR00729
O01583,PR00021
O01584,PR00109
O01586,PR00803
O01587,PR00103
O01589,PR00932
O01590,PR00699
O01591,PR00309
O01591,PR00581
O01592,PR00341
O01592,PR00633
O01593,PR00482
O01594,PR00351
O01595,PR00277
O01597,PR00123
O01599,PR00448
O01600,PR00919
O01601,PR00402
O01603,PR00836
O01603,PR00268
O01604,PR00983
O01604,PR00731
O01605,PR00297
O01606,PR00438
O01607,PR00570
O01608,PR00323
O01609,PR00354
O01609,PR00942
O01610,PR00615
O01611,PR00895
O01611,PR00159
O01612,PR00199
O01614,PR00498
O01615,PR00066
O01617,PR00343
