snapshot_id,product_id,snapshot_date,on_hand_qty,reserved_qty
S00066,P00066,2026-05-05,218,57
S00067,P00067,2026-05-06,221,59
S00068,P00068,2026-05-07,224,61
S00069,P00069,2026-05-08,227,63
S00070,P00070,2026-05-09,230,65
S00071,P00071,2026-05-10,233,67
S00072,P00072,2026-05-11,236,69
S00073,P00073,2026-05-12,239,71
S00074,P00074,2026-05-13,242,73
S00075,P00075,2026-05-14,245,75
S00076,P00076,2026-05-15,248,77
S00077,P00077,2026-05-16,251,79
S00078,P00078,2026-05-17,254,81
S00079,P00079,2026-05-18,257,83
S00080,P00080,2026-05-19,260,5
S00081,P00081,2026-05-20,263,7
S00082,P00082,2026-05-21,266,9
S00083,P00083,2026-05-22,269,11
S00084,P00084,2026-05-23,272,13
S00085,P00085,2026-05-24,275,15
S00086,P00086,2026-05-25,278,17
S00087,P00087,2026-05-26,281,19
S00088,P00088,2026-05-27,284,21
S00089,P00089,2026-05-28,287,23
S00090,P00090,2026-05-29,290,25
S00091,P00091,2026-05-30,293,27
S00092,P00092,2026-05-31,296,29
S00093,P00093,2026-05-01,299,31
S00094,P00094,2026-05-02,302,33
S00095,P00095,2026-05-03,305,35
S00096,P00096,2026-05-04,308,37
S00097,P00097,2026-05-05,311,39
S00098,P00098,2026-05-06,314,41
S00099,P00099,2026-05-07,317,43
S00100,P00100,2026-05-08,320,45
S00101,P00101,2026-05-09,323,47
S00102,P00102,2026-05-10,326,49
S00103,P00103,2026-05-11,329,51
S00104,P00104,2026-05-12,332,53
S00105,P00105,2026-05-13,335,55
S00106,P00106,2026-05-14,338,57
S00107,P00107,2026-05-15,341,59
S00108,P00108,2026-05-16,344,61
S00109,P00109,2026-05-17,347,63
S00110,P00110,2026-05-18,350,65
S00111,P00111,2026-05-19,353,67
S00112,P00112,2026-05-20,356,69
S00113,P00113,2026-05-21,359,71
S00114,P00114,2026-05-22,362,73
S00115,P00115,2026-05-23,365,75
S00116,P00116,2026-05-24,368,77
S00117,P00117,2026-05-25,371,79
S00118,P00118,2026-05-26,374,81
S00119,P00119,2026-05-27,377,83
S00120,P00120,2026-05-28,380,5
S00121,P00121,2026-05-29,383,7
S00122,P00122,2026-05-30,386,9
S00123,P00123,2026-05-31,389,11
S00124,P00124,2026-05-01,392,13
S00125,P00125,2026-05-02,395,15
S00126,P00126,2026-05-03,398,17
S00127,P00127,2026-05-04,401,19
S00128,P00128,2026-05-05,404,21
S00129,P00129,2026-05-06,407,23
S00130,P00130,2026-05-07,410,25
S00131,P00131,2026-05-08,413,27
S00132,P00132,2026-05-09,416,29
S00133,P00133,2026-05-10,419,31
S00134,P00134,2026-05-11,422,33
S00135,P00135,2026-05-12,425,35
S00136,P00136,2026-05-13,428,37
S00137,P00137,2026-05-14,431,39
S00138,P00138,2026-05-15,434,41
S00139,P00139,2026-05-16,437,43
S00140,P00140,2026-05-17,440,45
S00141,P00141,2026-05-18,443,47
S00142,P00142,2026-05-19,446,49
S00143,P00143,2026-05-20,449,51
S00144,P00144,2026-05-21,452,53
S00145,P00145,2026-05-22,455,55
S00146,P00146,2026-05-23,458,57
S00147,P00147,2026-05-24,461,59
S00148,P00148,2026-05-25,464,61
S00149,P00149,2026-05-26,467,63
S00150,P00150,2026-05-27,470,65
S00151,P00151,2026-05-28,473,67
S00152,P00152,2026-05-29,476,69
S00153,P00153,2026-05-30,479,71
S00154,P00154,2026-05-31,482,73
S00155,P00155,2026-05-01,485,75
S00156,P00156,2026-05-02,488,77
S00157,P00157,2026-05-03,491,79
S00158,P00158,2026-05-04,494,81
S00159,P00159,2026-05-05,497,83
S00160,P00160,2026-05-06,500,5
S00161,P00161,2026-05-07,503,7
S00162,P00162,2026-05-08,506,9
S00163,P00163,2026-05-09,509,11
S00164,P00164,2026-05-10,512,13
S00165,P00165,2026-05-11,515,15
S00166,P00166,2026-05-12,518,17
S00167,P00167,2026-05-13,21,19
S00168,P00168,2026-05-14,24,21
S00169,P00169,2026-05-15,27,23
S00170,P00170,2026-05-16,30,25
S00171,P00171,2026-05-17,33,27
S00172,P00172,2026-05-18,36,29
S00173,P00173,2026-05-19,39,31
S00174,P00174,2026-05-20,42,33
S00175,P00175,2026-05-21,45,35
S00176,P00176,2026-05-22,48,37
S00177,P00177,2026-05-23,51,39
S00178,P00178,2026-05-24,54,41
S00179,P00179,2026-05-25,57,43
S00180,P00180,2026-05-26,60,45
S00181,P00181,2026-05-27,63,47
S00182,P00182,2026-05-28,66,49
S00183,P00183,2026-05-29,69,51
S00184,P00184,2026-05-30,72,53
S00185,P00185,2026-05-31,75,55
S00186,P00186,2026-05-01,78,57
S00187,P00187,2026-05-02,81,59
S00188,P00188,2026-05-03,84,61
S00189,P00189,2026-05-04,87,63
S00190,P00190,2026-05-05,90,65
S00191,P00191,2026-05-06,93,67
S00192,P00192,2026-05-07,96,69
S00193,P00193,2026-05-08,99,71
S00194,P00194,2026-05-09,102,73
S00195,P00195,2026-05-10,105,75
S00196,P00196,2026-05-11,108,77
S00197,P00197,2026-05-12,111,79
S00198,P00198,2026-05-13,114,81
S00199,P00199,2026-05-14,117,83
S00200,P00200,2026-05-15,120,5
S00201,P00201,2026-05-16,123,7
S00202,P00202,2026-05-17,126,9
S00203,P00203,2026-05-18,129,11
S00204,P00204,2026-05-19,132,13
S00205,P00205,2026-05-20,135,15
S00206,P00206,2026-05-21,138,17
S00207,P00207,2026-05-22,141,19
S00208,P00208,2026-05-23,144,21
S00209,P00209,2026-05-24,147,23
S00210,P00210,2026-05-25,150,25
S00211,P00211,2026-05-26,153,27
S00212,P00212,2026-05-27,156,29
S00213,P00213,2026-05-28,159,31
S00214,P00214,2026-05-29,162,33
S00215,P00215,2026-05-30,165,35
S00216,P00216,2026-05-31,168,37
S00217,P00217,2026-05-01,171,39
S00218,P00218,2026-05-02,174,41
S00219,P00219,2026-05-03,177,43
S00220,P00220,2026-05-04,180,45
S00221,P00221,2026-05-05,183,47
S00222,P00222,2026-05-06,186,49
S00223,P00223,2026-05-07,189,51
S00224,P00224,2026-05-08,192,53
S00225,P00225,2026-05-09,195,55
S00226,P00226,2026-05-10,198,57
S00227,P00227,2026-05-11,201,59
S00228,P00228,2026-05-12,204,61
S00229,P00229,2026-05-13,207,63
S00230,P00230,2026-05-14,210,65
S00231,P00231,2026-05-15,213,67
S00232,P00232,2026-05-16,216,69
S00233,P00233,2026-05-17,219,71
S00234,P00234,2026-05-18,222,73
S00235,P00235,2026-05-19,225,75
S00236,P00236,2026-05-20,228,77
S00237,P00237,2026-05-21,231,79
S00238,P00238,2026-05-22,234,81
S00239,P00239,2026-05-23,237,83
S00240,P00240,2026-05-24,240,5
S00241,P00241,2026-05-25,243,7
S00242,P00242,2026-05-26,246,9
S00243,P00243,2026-05-27,249,11
S00244,P00244,2026-05-28,252,13
S00245,P00245,2026-05-29,255,15
S00246,P00246,2026-05-30,258,17
S00247,P00247,2026-05-31,261,19
S00248,P00248,2026-05-01,264,21
S00249,P00249,2026-05-02,267,23
S00250,P00250,2026-05-03,270,25
S00251,P00251,2026-05-04,273,27
S00252,P00252,2026-05-05,276,29
S00253,P00253,2026-05-06,279,31
S00254,P00254,2026-05-07,282,33
S00255,P00255,2026-05-08,285,35
S00256,P00256,2026-05-09,288,37
S00257,P00257,2026-05-10,291,39
S00258,P00258,2026-05-11,294,41
S00259,P00259,2026-05-12,297,43
S00260,P00260,2026-05-13,300,45
S00261,P00261,2026-05-14,303,47
S00262,P00262,2026-05-15,306,49
S00263,P00263,2026-05-16,309,51
S00264,P00264,2026-05-17,312,53
S00265,P00265,2026-05-18,315,55
S00266,P00266,2026-05-19,318,57
S00267,P00267,2026-05-20,321,59
S00268,P00268,2026-05-21,324,61
S00269,P00269,2026-05-22,327,63
S00270,P00270,2026-05-23,330,65
S00271,P00271,2026-05-24,333,67
S00272,P00272,2026-05-25,336,69
S00273,P00273,2026-05-26,339,71
S00274,P00274,2026-05-27,342,73
S00275,P00275,2026-05-28,345,75
S00276,P00276,2026-05-29,348,77
S00277,P00277,2026-05-30,351,79
S00278,P00278,2026-05-31,354,81
S00279,P00279,2026-05-01,357,83
S00280,P00280,2026-05-02,360,5
S00281,P00281,2026-05-03,363,7
S00282,P00282,2026-05-04,366,9
S00283,P00283,2026-05-05,369,11
S00284,P00284,2026-05-06,372,13
S00285,P00285,2026-05-07,375,15
S00286,P00286,2026-05-08,378,17
S00287,P00287,2026-05-09,381,19
S00288,P00288,2026-05-10,384,21
S00289,P00289,2026-05-11,387,23
S00290,P00290,2026-05-12,390,25
S00291,P00291,2026-05-13,393,27
S00292,P00292,2026-05-14,396,29
S00293,P00293,2026-05-15,399,31
S00294,P00294,2026-05-16,402,33
S00295,P00295,2026-05-17,405,35
S00296,P00296,2026-05-18,408,37
S00297,P00297,2026-05-19,411,39
S00298,P00298,2026-05-20,414,41
S00299,P00299,2026-05-21,417,43
S00300,P00300,2026-05-22,420,45
S00301,P00301,2026-05-23,423,47
S00302,P00302,2026-05-24,426,49
S00303,P00303,2026-05-25,429,51
S00304,P00304,2026-05-26,432,53
S00305,P00305,2026-05-27,435,55
S00306,P00306,2026-05-28,438,57
S00307,P00307,2026-05-29,441,59
S00308,P00308,2026-05-30,444,61
S00309,P00309,2026-05-31,447,63
S00310,P00310,2026-05-01,450,65
S00311,P00311,2026-05-02,453,67
S00312,P00312,2026-05-03,456,69
S00313,P00313,2026-05-04,459,71
S00314,P00314,2026-05-05,462,73
S00315,P00315,2026-05-06,465,75
S00316,P00316,2026-05-07,468,77
S00317,P00317,2026-05-08,471,79
S00318,P00318,2026-05-09,474,81
S00319,P00319,2026-05-10,477,83
S00320,P00320,2026-05-11,480,5
S00321,P00321,2026-05-12,483,7
S00322,P00322,2026-05-13,486,9
S00323,P00323,2026-05-14,489,11
S00324,P00324,2026-05-15,492,13
S00325,P00325,2026-05-16,495,15
S00326,P00326,2026-05-17,498,17
S00327,P00327,2026-05-18,501,19
S00328,P00328,2026-05-19,504,21
S00329,P00329,2026-05-20,507,23
S00330,P00330,2026-05-21,510,25
S00331,P00331,2026-05-22,513,27
S00332,P00332,2026-05-23,516,29
S00333,P00333,2026-05-24,519,31
S00334,P00334,2026-05-25,22,33
S00335,P00335,2026-05-26,25,35
S00336,P00336,2026-05-27,28,37
S00337,P00337,2026-05-28,31,39
S00338,P00338,2026-05-29,34,41
S00339,P00339,2026-05-30,37,43
S00340,P00340,2026-05-31,40,45
S00341,P00341,2026-05-01,43,47
S00342,P00342,2026-05-02,46,49
S00343,P00343,2026-05-03,49,51
S00344,P00344,2026-05-04,52,53
S00345,P00345,2026-05-05,55,55
S00346,P00346,2026-05-06,58,57
S00347,P00347,2026-05-07,61,59
S00348,P00348,2026-05-08,64,61
S00349,P00349,2026-05-09,67,63
S00350,P00350,2026-05-10,70,65
S00351,P00351,2026-05-11,73,67
S00352,P00352,2026-05-12,76,69
S00353,P00353,2026-05-13,79,71
S00354,P00354,2026-05-14,82,73
S00355,P00355,2026-05-15,85,75
S00356,P00356,2026-05-16,88,77
S00357,P00357,2026-05-17,91,79
S00358,P00358,2026-05-18,94,81
S00359,P00359,2026-05-19,97,83
S00360,P00360,2026-05-20,100,5
S00361,P00361,2026-05-21,103,7
S00362,P00362,2026-05-22,106,9
S00363,P00363,2026-05-23,109,11
S00364,P00364,2026-05-24,112,13
S00365,P00365,2026-05-25,115,15
S00366,P00366,2026-05-26,118,17
S00367,P00367,2026-05-27,121,19
S00368,P00368,2026-05-28,124,21
S00369,P00369,2026-05-29,127,23
S00370,P00370,2026-05-30,130,25
S00371,P00371,2026-05-31,133,27
S00372,P00372,2026-05-01,136,29
S00373,P00373,2026-05-02,139,31
S00374,P00374,2026-05-03,142,33
S00375,P00375,2026-05-04,145,35
S00376,P00376,2026-05-05,148,37
S00377,P00377,2026-05-06,151,39
S00378,P00378,2026-05-07,154,41
S00379,P00379,2026-05-08,157,43
S00380,P00380,2026-05-09,160,45
S00381,P00381,2026-05-10,163,47
S00382,P00382,2026-05-11,166,49
S00383,P00383,2026-05-12,169,51
S00384,P00384,2026-05-13,172,53
S00385,P00385,2026-05-14,175,55
S00386,P00386,2026-05-15,178,57
S00387,P00387,2026-05-16,181,59
S00388,P00388,2026-05-17,184,61
S00389,P00389,2026-05-18,187,63
S00390,P00390,2026-05-19,190,65
S00391,P00391,2026-05-20,193,67
S00392,P00392,2026-05-21,196,69
S00393,P00393,2026-05-22,199,71
S00394,P00394,2026-05-23,202,73
S00395,P00395,2026-05-24,205,75
S00396,P00396,2026-05-25,208,77
S00397,P00397,2026-05-26,211,79
S00398,P00398,2026-05-27,214,81
S00399,P00399,2026-05-28,217,83
S00400,P00400,2026-05-29,220,5
S00401,P00401,2026-05-30,223,7
S00402,P00402,2026-05-31,226,9
S00403,P00403,2026-05-01,229,11
S00404,P00404,2026-05-02,232,13
S00405,P00405,2026-05-03,235,15
S00406,P00406,2026-05-04,238,17
S00407,P00407,2026-05-05,241,19
S00408,P00408,2026-05-06,244,21
S00409,P00409,2026-05-07,247,23
S00410,P00410,2026-05-08,250,25
S00411,P00411,2026-05-09,253,27
S00412,P00412,2026-05-10,256,29
S00413,P00413,2026-05-11,259,31
S00414,P00414,2026-05-12,262,33
S00415,P00415,2026-05-13,265,35
S00416,P00416,2026-05-14,268,37
S00417,P00417,2026-05-15,271,39
S00418,P00418,2026-05-16,274,41
S00419,P00419,2026-05-17,277,43
S00420,P00420,2026-05-18,280,45
S00421,P00421,2026-05-19,283,47
S00422,P00422,2026-05-20,286,49
S00423,P00423,2026-05-21,289,51
S00424,P00424,2026-05-22,292,53
S00425,P00425,2026-05-23,295,55
S00426,P00426,2026-05-24,298,57
S00427,P00427,2026-05-25,301,59
S00428,P00428,2026-05-26,304,61
S00429,P00429,2026-05-27,307,63
S00430,P00430,2026-05-28,310,65
S00431,P00431,2026-05-29,313,67
S00432,P00432,2026-05-30,316,69
S00433,P00433,2026-05-31,319,71
S00434,P00434,2026-05-01,322,73
S00435,P00435,2026-05-02,325,75
S00436,P00436,2026-05-03,328,77
S00437,P00437,2026-05-04,331,79
S00438,P00438,2026-05-05,334,81
S00439,P00439,2026-05-06,337,83
S00440,P00440,2026-05-07,340,5
S00441,P00441,2026-05-08,343,7
S00442,P00442,2026-05-09,346,9
S00443,P00443,2026-05-10,349,11
S00444,P00444,2026-05-11,352,13
S00445,P00445,2026-05-12,355,15
S00446,P00446,2026-05-13,358,17
S00447,P00447,2026-05-14,361,19
S00448,P00448,2026-05-15,364,21
S00449,P00449,2026-05-16,367,23
S00450,P00450,2026-05-17,370,25
S00451,P00451,2026-05-18,373,27
S00452,P00452,2026-05-19,376,29
S00453,P00453,2026-05-20,379,31
S00454,P00454,2026-05-21,382,33
S00455,P00455,2026-05-22,385,35
S00456,P00456,2026-05-23,388,37
S00457,P00457,2026-05-24,391,39
S00458,P00458,2026-05-25,394,41
S00459,P00459,2026-05-26,397,43
S00460,P00460,2026-05-27,400,45
S00461,P00461,2026-05-28,403,47
S00462,P00462,2026-05-29,406,49
S00463,P00463,2026-05-30,409,51
S00464,P00464,2026-05-31,412,53
S00465,P00465,2026-05-01,415,55
S00466,P00466,2026-05-02,418,57
S00467,P00467,2026-05-03,421,59
S00468,P00468,2026-05-04,424,61
S00469,P00469,2026-05-05,427,63
S00470,P00470,2026-05-06,430,65
S00471,P00471,2026-05-07,433,67
S00472,P00472,2026-05-08,436,69
S00473,P00473,2026-05-09,439,71
S00474,P00474,2026-05-10,442,73
S00475,P00475,2026-05-11,445,75
S00476,P00476,2026-05-12,448,77
S00477,P00477,2026-05-13,451,79
S00478,P00478,2026-05-14,454,81
S00479,P00479,2026-05-15,457,83
S00480,P00480,2026-05-16,460,5
S00481,P00481,2026-05-17,463,7
S00482,P00482,2026-05-18,466,9
S00483,P00483,2026-05-19,469,11
S00484,P00484,2026-05-20,472,13
S00485,P00485,2026-05-21,475,15
S00486,P00486,2026-05-22,478,17
S00487,P00487,2026-05-23,481,19
S00488,P00488,2026-05-24,484,21
S00489,P00489,2026-05-25,487,23
S00490,P00490,2026-05-26,490,25
S00491,P00491,2026-05-27,493,27
S00492,P00492,2026-05-28,496,29
S00493,P00493,2026-05-29,499,31
S00494,P00494,2026-05-30,502,33
S00495,P00495,2026-05-31,505,35
S00496,P00496,2026-05-01,508,37
S00497,P00497,2026-05-02,511,39
S00498,P00498,2026-05-03,514,41
S00499,P00499,2026-05-04,517,43
S00500,P00500,2026-05-05,20,45
S00501,P00501,2026-05-06,23,47
S00502,P00502,2026-05-07,26,49
S00503,P00503,2026-05-08,29,51
S00504,P00504,2026-05-09,32,53
S00505,P00505,2026-05-10,35,55
S00506,P00506,2026-05-11,38,57
S00507,P00507,2026-05-12,41,59
S00508,P00508,2026-05-13,44,61
S00509,P00509,2026-05-14,47,63
S00510,P00510,2026-05-15,50,65
S00511,P00511,2026-05-16,53,67
S00512,P00512,2026-05-17,56,69
S00513,P00513,2026-05-18,59,71
S00514,P00514,2026-05-19,62,73
S00515,P00515,2026-05-20,65,75
S00516,P00516,2026-05-21,68,77
S00517,P00517,2026-05-22,71,79
S00518,P00518,2026-05-23,74,81
S00519,P00519,2026-05-24,77,83
S00520,P00520,2026-05-25,80,5
S00521,P00521,2026-05-26,83,7
S00522,P00522,2026-05-27,86,9
S00523,P00523,2026-05-28,89,11
S00524,P00524,2026-05-29,92,13
S00525,P00525,2026-05-30,95,15
S00526,P00526,2026-05-31,98,17
S00527,P00527,2026-05-01,101,19
S00528,P00528,2026-05-02,104,21
S00529,P00529,2026-05-03,107,23
S00530,P00530,2026-05-04,110,25
S00531,P00531,2026-05-05,113,27
S00532,P00532,2026-05-06,116,29
S00533,P00533,2026-05-07,119,31
S00534,P00534,2026-05-08,122,33
S00535,P00535,2026-05-09,125,35
S00536,P00536,2026-05-10,128,37
S00537,P00537,2026-05-11,131,39
S00538,P00538,2026-05-12,134,41
S00539,P00539,2026-05-13,137,43
S00540,P00540,2026-05-14,140,45
S00541,P00541,2026-05-15,143,47
S00542,P00542,2026-05-16,146,49
S00543,P00543,2026-05-17,149,51
S00544,P00544,2026-05-18,152,53
S00545,P00545,2026-05-19,155,55
S00546,P00546,2026-05-20,158,57
S00547,P00547,2026-05-21,161,59
S00548,P00548,2026-05-22,164,61
S00549,P00549,2026-05-23,167,63
S00550,P00550,2026-05-24,170,65
S00551,P00551,2026-05-25,173,67
S00552,P00552,2026-05-26,176,69
S00553,P00553,2026-05-27,179,71
S00554,P00554,2026-05-28,182,73
S00555,P00555,2026-05-29,185,75
S00556,P00556,2026-05-30,188,77
S00557,P00557,2026-05-31,191,79
S00558,P00558,2026-05-01,194,81
S00559,P00559,2026-05-02,197,83
S00560,P00560,2026-05-03,200,5
S00561,P00561,2026-05-04,203,7
S00562,P00562,2026-05-05,206,9
S00563,P00563,2026-05-06,209,11
S00564,P00564,2026-05-07,212,13
S00565,P00565,2026-05-08,215,15
S00566,P00566,2026-05-09,218,17
S00567,P00567,2026-05-10,221,19
S00568,P00568,2026-05-11,224,21
S00569,P00569,2026-05-12,227,23
S00570,P00570,2026-05-13,230,25
S00571,P00571,2026-05-14,233,27
S00572,P00572,2026-05-15,236,29
S00573,P00573,2026-05-16,239,31
S00574,P00574,2026-05-17,242,33
S00575,P00575,2026-05-18,245,35
S00576,P00576,2026-05-19,248,37
S00577,P00577,2026-05-20,251,39
S00578,P00578,2026-05-21,254,41
S00579,P00579,2026-05-22,257,43
S00580,P00580,2026-05-23,260,45
S00581,P00581,2026-05-24,263,47
S00582,P00582,2026-05-25,266,49
S00583,P00583,2026-05-26,269,51
S00584,P00584,2026-05-27,272,53
S00585,P00585,2026-05-28,275,55
S00586,P00586,2026-05-29,278,57
S00587,P00587,2026-05-30,281,59
S00588,P00588,2026-05-31,284,61
S00589,P00589,2026-05-01,287,63
S00590,P00590,2026-05-02,290,65
S00591,P00591,2026-05-03,293,67
S00592,P00592,2026-05-04,296,69
S00593,P00593,2026-05-05,299,71
S00594,P00594,2026-05-06,302,73
S00595,P00595,2026-05-07,305,75
S00596,P00596,2026-05-08,308,77
S00597,P00597,2026-05-09,311,79
S00598,P00598,2026-05-10,314,81
S00599,P00599,2026-05-11,317,83
S00600,P00600,2026-05-12,320,5
S00601,P00601,2026-05-13,323,7
S00602,P00602,2026-05-14,326,9
S00603,P00603,2026-05-15,329,11
S00604,P00604,2026-05-16,332,13
S00605,P00605,2026-05-17,335,15
S00606,P00606,2026-05-18,338,17
S00607,P00607,2026-05-19,341,19
S00608,P00608,2026-05-20,344,21
S00609,P00609,2026-05-21,347,23
S00610,P00610,2026-05-22,350,25
S00611,P00611,2026-05-23,353,27
S00612,P00612,2026-05-24,356,29
S00613,P00613,2026-05-25,359,31
S00614,P00614,2026-05-26,362,33
S00615,P00615,2026-05-27,365,35
S00616,P00616,2026-05-28,368,37
S00617,P00617,2026-05-29,371,39
S00618,P00618,2026-05-30,374,41
S00619,P00619,2026-05-31,377,43
S00620,P00620,2026-05-01,380,45
S00621,P00621,2026-05-02,383,47
S00622,P00622,2026-05-03,386,49
S00623,P00623,2026-05-04,389,51
S00624,P00624,2026-05-05,392,53
S00625,P00625,2026-05-06,395,55
S00626,P00626,2026-05-07,398,57
S00627,P00627,2026-05-08,401,59
S00628,P00628,2026-05-09,404,61
S00629,P00629,2026-05-10,407,63
S00630,P00630,2026-05-11,410,65
S00631,P00631,2026-05-12,413,67
S00632,P00632,2026-05-13,416,69
S00633,P00633,2026-05-14,419,71
S00634,P00634,2026-05-15,422,73
S00635,P00635,2026-05-16,425,75
S00636,P00636,2026-05-17,428,77
S00637,P00637,2026-05-18,431,79
S00638,P00638,2026-05-19,434,81
S00639,P00639,2026-05-20,437,83
S00640,P00640,2026-05-21,440,5
S00641,P00641,2026-05-22,443,7
S00642,P00642,2026-05-23,446,9
S00643,P00643,2026-05-24,449,11
S00644,P00644,2026-05-25,452,13
S00645,P00645,2026-05-26,455,15
S00646,P00646,2026-05-27,458,17
S00647,P00647,2026-05-28,461,19
S00648,P00648,2026-05-29,464,21
S00649,P00649,2026-05-30,467,23
S00650,P00650,2026-05-31,470,25
S00651,P00651,2026-05-01,473,27
S00652,P00652,2026-05-02,476,29
S00653,P00653,2026-05-03,479,31
S00654,P00654,2026-05-04,482,33
S00655,P00655,2026-05-05,485,35
S00656,P00656,2026-05-06,488,37
S00657,P00657,2026-05-07,491,39
S00658,P00658,2026-05-08,494,41
S00659,P00659,2026-05-09,497,43
S00660,P00660,2026-05-10,500,45
S00661,P00661,2026-05-11,503,47
S00662,P00662,2026-05-12,506,49
S00663,P00663,2026-05-13,509,51
S00664,P00664,2026-05-14,512,53
S00665,P00665,2026-05-15,515,55
S00666,P00666,2026-05-16,518,57
S00667,P00667,2026-05-17,21,59
S00668,P00668,2026-05-18,24,61
S00669,P00669,2026-05-19,27,63
S00670,P00670,2026-05-20,30,65
S00671,P00671,2026-05-21,33,67
S00672,P00672,2026-05-22,36,69
S00673,P00673,2026-05-23,39,71
S00674,P00674,2026-05-24,42,73
S00675,P00675,2026-05-25,45,75
S00676,P00676,2026-05-26,48,77
S00677,P00677,2026-05-27,51,79
S00678,P00678,2026-05-28,54,81
S00679,P00679,2026-05-29,57,83
S00680,P00680,2026-05-30,60,5
S00681,P00681,2026-05-31,63,7
S00682,P00682,2026-05-01,66,9
S00683,P00683,2026-05-02,69,11
S00684,P00684,2026-05-03,72,13
S00685,P00685,2026-05-04,75,15
S00686,P00686,2026-05-05,78,17
S00687,P00687,2026-05-06,81,19
S00688,P00688,2026-05-07,84,21
S00689,P00689,2026-05-08,87,23
S00690,P00690,2026-05-09,90,25
S00691,P00691,2026-05-10,93,27
S00692,P00692,2026-05-11,96,29
S00693,P00693,2026-05-12,99,31
S00694,P00694,2026-05-13,102,33
S00695,P00695,2026-05-14,105,35
S00696,P00696,2026-05-15,108,37
S00697,P00697,2026-05-16,111,39
S00698,P00698,2026-05-17,114,41
S00699,P00699,2026-05-18,117,43
S00700,P00700,2026-05-19,120,45
S00701,P00701,2026-05-20,123,47
S00702,P00702,2026-05-21,126,49
S00703,P00703,2026-05-22,129,51
S00704,P00704,2026-05-23,132,53
S00705,P00705,2026-05-24,135,55
S00706,P00706,2026-05-25,138,57
S00707,P00707,2026-05-26,141,59
S00708,P00708,2026-05-27,144,61
S00709,P00709,2026-05-28,147,63
S00710,P00710,2026-05-29,150,65
S00711,P00711,2026-05-30,153,67
S00712,P00712,2026-05-31,156,69
S00713,P00713,2026-05-01,159,71
S00714,P00714,2026-05-02,162,73
S00715,P00715,2026-05-03,165,75
S00716,P00716,2026-05-04,168,77
S00717,P00717,2026-05-05,171,79
S00718,P00718,2026-05-06,174,81
S00719,P00719,2026-05-07,177,83
S00720,P00720,2026-05-08,180,5
S00721,P00721,2026-05-09,183,7
S00722,P00722,2026-05-10,186,9
S00723,P00723,2026-05-11,189,11
S00724,P00724,2026-05-12,192,13
S00725,P00725,2026-05-13,195,15
S00726,P00726,2026-05-14,198,17
S00727,P00727,2026-05-15,201,19
S00728,P00728,2026-05-16,204,21
S00729,P00729,2026-05-17,207,23
S00730,P00730,2026-05-18,210,25
S00731,P00731,2026-05-19,213,27
S00732,P00732,2026-05-20,216,29
S00733,P00733,2026-05-21,219,31
