campaign_id,order_id,customer_id,attribution_model,attributed_revenue
CA00018,O00048,C00029,LastTouch,2310.36
CA00028,O00049,C00030,LastTouch,2802.34
CA00058,O00050,C00030,LastTouch,114.74
CA00001,O00051,C00031,LastTouch,1119.58
CA00058,O00052,C00031,LastTouch,1042.79
CA00043,O00053,C00032,LastTouch,1929.20
CA00035,O00054,C00033,LastTouch,792.27
CA00056,O00055,C00034,LastTouch,654.89
CA00005,O00056,C00034,LastTouch,2289.84
CA00044,O00057,C00035,LastTouch,1405.12
CA00035,O00058,C00036,LastTouch,763.26
CA00025,O00059,C00036,LastTouch,2526.30
CA00009,O00060,C00037,LastTouch,2183.60
CA00037,O00061,C00038,LastTouch,902.91
CA00038,O00062,C00039,LastTouch,2151.55
CA00013,O00063,C00040,LastTouch,518.55
CA00006,O00064,C00041,LastTouch,1002.29
CA00045,O00065,C00042,LastTouch,2665.44
CA00047,O00066,C00043,LastTouch,451.39
CA00010,O00067,C00043,LastTouch,1182.40
CA00033,O00068,C00044,LastTouch,510.03
CA00034,O00069,C00044,LastTouch,890.11
CA00050,O00070,C00044,LastTouch,1461.13
CA00028,O00071,C00045,LastTouch,371.11
CA00019,O00072,C00046,LastTouch,691.66
CA00007,O00073,C00047,LastTouch,63.26
CA00023,O00074,C00047,LastTouch,573.83
CA00006,O00075,C00047,LastTouch,556.40
CA00053,O00076,C00048,LastTouch,3123.09
CA00011,O00077,C00048,LastTouch,1955.20
CA00052,O00078,C00049,LastTouch,1847.07
CA00056,O00079,C00050,LastTouch,272.28
CA00030,O00080,C00050,LastTouch,1446.98
CA00058,O00081,C00050,LastTouch,3067.23
CA00022,O00082,C00051,LastTouch,3769.55
CA00043,O00083,C00052,LastTouch,470.25
CA00026,O00084,C00053,LastTouch,1819.20
CA00042,O00085,C00054,LastTouch,2047.98
CA00048,O00086,C00055,LastTouch,850.09
CA00041,O00087,C00056,LastTouch,35.45
CA00049,O00088,C00056,LastTouch,1088.28
CA00032,O00089,C00057,LastTouch,2911.36
CA00031,O00090,C00058,LastTouch,2124.35
CA00007,O00091,C00058,LastTouch,848.78
CA00010,O00092,C00058,LastTouch,1304.33
CA00037,O00093,C00059,LastTouch,3138.75
CA00046,O00094,C00059,LastTouch,105.28
CA00001,O00095,C00059,LastTouch,4421.91
CA00019,O00096,C00060,LastTouch,1577.76
CA00022,O00097,C00060,LastTouch,833.99
CA00013,O00098,C00060,LastTouch,919.08
CA00016,O00099,C00061,LastTouch,1472.70
CA00024,O00100,C00061,LastTouch,914.12
CA00010,O00101,C00062,LastTouch,327.98
CA00011,O00102,C00063,LastTouch,152.68
CA00057,O00103,C00063,LastTouch,707.74
CA00027,O00104,C00063,LastTouch,1660.65
CA00035,O00105,C00064,LastTouch,2221.83
CA00020,O00106,C00064,LastTouch,274.96
CA00039,O00107,C00065,LastTouch,1638.46
CA00027,O00108,C00066,LastTouch,4174.80
CA00047,O00109,C00066,LastTouch,2560.61
CA00008,O00110,C00067,LastTouch,647.15
CA00013,O00111,C00068,LastTouch,210.81
CA00007,O00112,C00068,LastTouch,3457.52
CA00017,O00113,C00069,LastTouch,2158.60
CA00006,O00114,C00070,LastTouch,2801.50
CA00052,O00115,C00071,LastTouch,587.87
CA00057,O00116,C00072,LastTouch,2325.14
CA00037,O00117,C00073,LastTouch,615.48
CA00027,O00118,C00074,LastTouch,2951.25
CA00011,O00119,C00074,LastTouch,780.34
CA00044,O00120,C00074,LastTouch,3483.39
CA00032,O00121,C00075,LastTouch,2571.52
CA00045,O00122,C00076,LastTouch,1224.04
CA00015,O00123,C00077,LastTouch,1092.33
CA00006,O00124,C00077,LastTouch,592.13
CA00016,O00125,C00078,LastTouch,1096.95
CA00026,O00126,C00079,LastTouch,292.50
CA00004,O00127,C00080,LastTouch,1922.55
CA00039,O00128,C00081,LastTouch,751.21
CA00005,O00129,C00082,LastTouch,1031.07
CA00008,O00130,C00082,LastTouch,1869.51
CA00015,O00131,C00082,LastTouch,3774.77
CA00014,O00132,C00083,LastTouch,1077.83
CA00056,O00133,C00083,LastTouch,2606.66
CA00006,O00134,C00083,LastTouch,1046.48
CA00054,O00135,C00084,LastTouch,1307.33
CA00044,O00136,C00084,LastTouch,758.70
CA00033,O00137,C00084,LastTouch,455.76
CA00009,O00138,C00085,LastTouch,3015.49
CA00054,O00139,C00085,LastTouch,2594.36
CA00001,O00140,C00086,LastTouch,285.57
CA00026,O00141,C00086,LastTouch,1214.02
CA00034,O00142,C00086,LastTouch,5358.13
CA00015,O00143,C00087,LastTouch,1043.08
CA00005,O00144,C00087,LastTouch,541.66
CA00015,O00145,C00088,LastTouch,2043.04
CA00052,O00146,C00089,LastTouch,2523.11
CA00041,O00147,C00089,LastTouch,1461.30
CA00044,O00148,C00090,LastTouch,1330.56
CA00017,O00149,C00090,LastTouch,618.73
CA00015,O00150,C00091,LastTouch,2820.03
CA00048,O00151,C00091,LastTouch,3176.90
CA00031,O00152,C00091,LastTouch,1448.35
CA00010,O00153,C00092,LastTouch,2298.30
CA00032,O00154,C00093,LastTouch,1963.45
CA00015,O00155,C00093,LastTouch,1190.60
CA00060,O00156,C00094,LastTouch,1223.04
CA00003,O00157,C00094,LastTouch,3926.87
CA00055,O00158,C00095,LastTouch,592.23
CA00008,O00159,C00096,LastTouch,1830.20
CA00007,O00160,C00096,LastTouch,1968.17
CA00006,O00161,C00096,LastTouch,3980.83
CA00017,O00162,C00097,LastTouch,1495.24
CA00022,O00163,C00097,LastTouch,589.39
CA00034,O00164,C00098,LastTouch,746.02
CA00033,O00165,C00098,LastTouch,134.93
CA00060,O00166,C00098,LastTouch,1093.35
CA00010,O00167,C00099,LastTouch,168.95
CA00047,O00168,C00100,LastTouch,1415.08
CA00025,O00169,C00100,LastTouch,2784.42
CA00039,O00170,C00101,LastTouch,2752.64
CA00040,O00171,C00102,LastTouch,636.47
CA00056,O00172,C00103,LastTouch,294.03
CA00003,O00173,C00104,LastTouch,918.21
CA00060,O00174,C00104,LastTouch,1821.12
CA00011,O00175,C00105,LastTouch,5481.28
CA00008,O00176,C00106,LastTouch,431.26
CA00040,O00177,C00106,LastTouch,491.23
CA00035,O00178,C00106,LastTouch,760.38
CA00011,O00179,C00107,LastTouch,400.73
CA00036,O00180,C00107,LastTouch,182.52
CA00015,O00181,C00108,LastTouch,1541.05
CA00014,O00182,C00109,LastTouch,995.68
CA00019,O00183,C00110,LastTouch,915.40
CA00033,O00184,C00110,LastTouch,529.58
CA00012,O00185,C00111,LastTouch,2232.40
CA00019,O00186,C00111,LastTouch,1487.12
CA00047,O00187,C00112,LastTouch,2462.40
CA00042,O00188,C00113,LastTouch,150.33
CA00014,O00189,C00114,LastTouch,2628.52
CA00031,O00190,C00114,LastTouch,859.25
CA00053,O00191,C00115,LastTouch,1368.41
CA00039,O00192,C00115,LastTouch,1786.90
CA00056,O00193,C00115,LastTouch,1406.80
CA00051,O00194,C00116,LastTouch,1556.62
CA00024,O00195,C00116,LastTouch,1308.66
CA00020,O00196,C00116,LastTouch,836.80
CA00035,O00197,C00117,LastTouch,2672.07
CA00004,O00198,C00118,LastTouch,1756.85
CA00004,O00199,C00118,LastTouch,2366.20
CA00021,O00200,C00118,LastTouch,2125.61
CA00055,O00201,C00119,LastTouch,375.72
CA00022,O00202,C00120,LastTouch,2073.41
CA00040,O00203,C00120,LastTouch,1369.63
CA00016,O00204,C00120,LastTouch,553.62
CA00037,O00205,C00121,LastTouch,1276.11
CA00038,O00206,C00122,LastTouch,1999.75
CA00023,O00207,C00123,LastTouch,1123.60
CA00052,O00208,C00123,LastTouch,1604.51
CA00039,O00209,C00123,LastTouch,72.54
CA00020,O00210,C00124,LastTouch,2980.61
CA00048,O00211,C00124,LastTouch,725.24
CA00004,O00212,C00124,LastTouch,2072.14
CA00004,O00213,C00125,LastTouch,3975.72
CA00055,O00214,C00126,LastTouch,2961.79
CA00045,O00215,C00126,LastTouch,1699.80
CA00022,O00216,C00127,LastTouch,1611.97
CA00011,O00217,C00128,LastTouch,2254.09
CA00040,O00218,C00129,LastTouch,1648.56
CA00052,O00219,C00130,LastTouch,1553.32
CA00008,O00220,C00131,LastTouch,1047.65
CA00009,O00221,C00132,LastTouch,2610.84
CA00025,O00222,C00133,LastTouch,663.43
CA00018,O00223,C00133,LastTouch,271.36
CA00033,O00224,C00133,LastTouch,1770.22
CA00046,O00225,C00134,LastTouch,233.71
CA00048,O00226,C00134,LastTouch,2719.01
CA00055,O00227,C00135,LastTouch,1335.02
CA00014,O00228,C00136,LastTouch,600.06
CA00007,O00229,C00137,LastTouch,2759.11
CA00034,O00230,C00138,LastTouch,1735.51
CA00044,O00231,C00139,LastTouch,684.11
CA00023,O00232,C00139,LastTouch,1329.28
CA00040,O00233,C00140,LastTouch,3757.44
CA00016,O00234,C00140,LastTouch,3438.20
CA00010,O00235,C00140,LastTouch,2981.14
CA00024,O00236,C00141,LastTouch,784.85
CA00052,O00237,C00142,LastTouch,2325.25
CA00058,O00238,C00142,LastTouch,135.83
CA00045,O00239,C00143,LastTouch,1456.10
CA00041,O00240,C00143,LastTouch,1785.93
CA00056,O00241,C00144,LastTouch,1893.10
CA00044,O00242,C00145,LastTouch,318.12
CA00045,O00243,C00146,LastTouch,2009.83
CA00036,O00244,C00147,LastTouch,2582.64
CA00017,O00245,C00148,LastTouch,4207.63
CA00032,O00246,C00148,LastTouch,1295.53
CA00054,O00247,C00149,LastTouch,1564.74
CA00043,O00248,C00149,LastTouch,2779.78
CA00053,O00249,C00150,LastTouch,403.44
CA00025,O00250,C00150,LastTouch,810.81
CA00036,O00251,C00150,LastTouch,1165.95
CA00031,O00252,C00151,LastTouch,2107.38
CA00047,O00253,C00151,LastTouch,1335.34
CA00048,O00254,C00152,LastTouch,113.73
CA00022,O00255,C00152,LastTouch,3182.11
CA00009,O00256,C00153,LastTouch,4993.44
CA00044,O00257,C00154,LastTouch,4004.04
CA00046,O00258,C00155,LastTouch,591.51
CA00032,O00259,C00155,LastTouch,625.74
CA00004,O00260,C00156,LastTouch,1089.70
CA00015,O00261,C00156,LastTouch,1940.05
CA00031,O00262,C00157,LastTouch,630.22
CA00028,O00263,C00158,LastTouch,3290.97
CA00029,O00264,C00159,LastTouch,3010.89
CA00022,O00265,C00160,LastTouch,3346.97
CA00035,O00266,C00160,LastTouch,3951.19
CA00033,O00267,C00160,LastTouch,66.27
CA00022,O00268,C00161,LastTouch,472.26
CA00053,O00269,C00161,LastTouch,2210.23
CA00016,O00270,C00162,LastTouch,733.53
CA00055,O00271,C00163,LastTouch,1141.42
CA00037,O00272,C00164,LastTouch,1664.47
CA00059,O00273,C00164,LastTouch,2163.16
CA00041,O00274,C00164,LastTouch,1647.74
CA00012,O00275,C00165,LastTouch,557.70
CA00022,O00276,C00166,LastTouch,172.20
CA00020,O00277,C00166,LastTouch,530.24
CA00035,O00278,C00167,LastTouch,2750.58
CA00047,O00279,C00168,LastTouch,3219.26
CA00029,O00280,C00168,LastTouch,1489.25
CA00044,O00281,C00169,LastTouch,746.17
CA00060,O00282,C00169,LastTouch,3021.40
CA00021,O00283,C00169,LastTouch,650.01
CA00013,O00284,C00170,LastTouch,2692.33
CA00015,O00285,C00170,LastTouch,722.79
CA00010,O00286,C00171,LastTouch,3622.15
CA00016,O00287,C00172,LastTouch,469.21
CA00040,O00288,C00172,LastTouch,1233.97
CA00010,O00289,C00172,LastTouch,1107.02
CA00021,O00290,C00173,LastTouch,1699.69
CA00011,O00291,C00174,LastTouch,1795.41
CA00006,O00292,C00175,LastTouch,2199.38
CA00050,O00293,C00175,LastTouch,2672.80
CA00040,O00294,C00176,LastTouch,3996.51
CA00045,O00295,C00176,LastTouch,3230.05
CA00056,O00296,C00177,LastTouch,1321.42
CA00056,O00297,C00178,LastTouch,25.82
CA00017,O00298,C00179,LastTouch,135.59
CA00005,O00299,C00179,LastTouch,2141.50
CA00042,O00300,C00179,LastTouch,1868.74
CA00005,O00301,C00180,LastTouch,1887.15
CA00036,O00302,C00181,LastTouch,1845.01
CA00058,O00303,C00181,LastTouch,1107.94
CA00024,O00304,C00181,LastTouch,591.11
CA00020,O00305,C00182,LastTouch,1341.97
CA00032,O00306,C00183,LastTouch,767.65
CA00030,O00307,C00183,LastTouch,942.35
CA00060,O00308,C00183,LastTouch,3817.47
CA00058,O00309,C00184,LastTouch,4987.51
CA00025,O00310,C00184,LastTouch,1510.26
CA00046,O00311,C00185,LastTouch,185.59
CA00028,O00312,C00186,LastTouch,1555.82
CA00046,O00313,C00186,LastTouch,1350.50
CA00060,O00314,C00186,LastTouch,3786.01
CA00040,O00315,C00187,LastTouch,1988.92
CA00038,O00316,C00188,LastTouch,794.79
CA00054,O00317,C00188,LastTouch,4425.24
CA00029,O00318,C00189,LastTouch,260.78
CA00055,O00319,C00190,LastTouch,267.81
CA00059,O00320,C00191,LastTouch,3271.07
CA00033,O00321,C00192,LastTouch,1469.74
CA00046,O00322,C00193,LastTouch,2950.99
CA00044,O00323,C00194,LastTouch,2093.61
CA00008,O00324,C00195,LastTouch,618.80
CA00050,O00325,C00195,LastTouch,2540.28
CA00033,O00326,C00195,LastTouch,3113.53
CA00047,O00327,C00196,LastTouch,2622.44
CA00038,O00328,C00196,LastTouch,2300.77
CA00012,O00329,C00197,LastTouch,1396.96
CA00035,O00330,C00198,LastTouch,745.47
CA00045,O00331,C00198,LastTouch,1456.65
CA00015,O00332,C00198,LastTouch,1813.31
CA00056,O00333,C00199,LastTouch,2336.42
CA00003,O00334,C00199,LastTouch,1278.61
CA00014,O00335,C00199,LastTouch,3268.84
CA00045,O00336,C00200,LastTouch,1736.81
CA00048,O00337,C00200,LastTouch,532.70
CA00005,O00338,C00200,LastTouch,281.58
CA00012,O00339,C00201,LastTouch,3320.41
CA00018,O00340,C00202,LastTouch,2352.23
CA00031,O00341,C00203,LastTouch,4149.06
CA00011,O00342,C00203,LastTouch,1360.15
CA00030,O00343,C00204,LastTouch,1735.25
CA00041,O00344,C00205,LastTouch,1427.67
CA00007,O00345,C00206,LastTouch,621.78
CA00032,O00346,C00207,LastTouch,334.17
CA00026,O00347,C00207,LastTouch,2480.38
CA00021,O00348,C00208,LastTouch,1884.19
CA00002,O00349,C00209,LastTouch,2647.36
CA00038,O00350,C00209,LastTouch,579.59
CA00036,O00351,C00210,LastTouch,1462.01
CA00006,O00352,C00211,LastTouch,1491.14
CA00020,O00353,C00212,LastTouch,1820.00
CA00060,O00354,C00212,LastTouch,1759.66
CA00011,O00355,C00213,LastTouch,959.45
CA00031,O00356,C00214,LastTouch,1119.51
CA00021,O00357,C00214,LastTouch,3608.03
CA00050,O00358,C00215,LastTouch,1845.44
CA00033,O00359,C00215,LastTouch,2930.48
CA00031,O00360,C00216,LastTouch,278.95
CA00016,O00361,C00216,LastTouch,945.73
CA00045,O00362,C00216,LastTouch,1490.32
CA00007,O00363,C00217,LastTouch,866.10
CA00055,O00364,C00218,LastTouch,1270.15
CA00038,O00365,C00219,LastTouch,1060.49
CA00052,O00366,C00220,LastTouch,2614.31
CA00046,O00367,C00220,LastTouch,2191.00
CA00025,O00368,C00221,LastTouch,670.02
CA00050,O00369,C00222,LastTouch,1450.84
CA00002,O00370,C00223,LastTouch,977.15
CA00059,O00371,C00224,LastTouch,2756.99
CA00020,O00372,C00224,LastTouch,1408.96
CA00059,O00373,C00225,LastTouch,232.15
CA00005,O00374,C00226,LastTouch,663.28
CA00014,O00375,C00227,LastTouch,2115.41
CA00010,O00376,C00227,LastTouch,2346.57
CA00027,O00377,C00228,LastTouch,637.62
CA00052,O00378,C00228,LastTouch,1826.68
CA00021,O00379,C00229,LastTouch,2241.69
CA00033,O00380,C00229,LastTouch,2492.32
CA00049,O00381,C00230,LastTouch,2991.51
CA00028,O00382,C00230,LastTouch,348.82
CA00030,O00383,C00231,LastTouch,1484.02
CA00008,O00384,C00232,LastTouch,907.24
CA00013,O00385,C00232,LastTouch,2479.88
CA00010,O00386,C00233,LastTouch,107.48
CA00056,O00387,C00234,LastTouch,1681.26
CA00026,O00388,C00235,LastTouch,942.61
CA00059,O00389,C00235,LastTouch,1185.66
CA00031,O00390,C00236,LastTouch,329.51
CA00012,O00391,C00236,LastTouch,1537.62
CA00029,O00392,C00237,LastTouch,1711.80
CA00040,O00393,C00238,LastTouch,439.30
CA00019,O00394,C00239,LastTouch,484.38
CA00040,O00395,C00239,LastTouch,1766.78
CA00012,O00396,C00240,LastTouch,2438.00
CA00017,O00397,C00241,LastTouch,3479.36
CA00039,O00398,C00241,LastTouch,1403.07
CA00034,O00399,C00241,LastTouch,2976.91
CA00044,O00400,C00242,LastTouch,359.17
CA00011,O00401,C00243,LastTouch,793.97
CA00041,O00402,C00244,LastTouch,2202.80
CA00013,O00403,C00244,LastTouch,431.28
CA00050,O00404,C00245,LastTouch,1545.41
CA00029,O00405,C00246,LastTouch,2094.97
CA00050,O00406,C00247,LastTouch,1776.90
CA00035,O00407,C00247,LastTouch,891.52
CA00050,O00408,C00247,LastTouch,2641.37
CA00055,O00409,C00248,LastTouch,497.03
CA00010,O00410,C00249,LastTouch,2719.53
CA00048,O00411,C00250,LastTouch,2042.80
CA00037,O00412,C00250,LastTouch,3890.84
CA00031,O00413,C00251,LastTouch,1935.16
CA00034,O00414,C00251,LastTouch,3012.64
CA00044,O00415,C00252,LastTouch,1080.22
CA00032,O00416,C00253,LastTouch,767.53
CA00055,O00417,C00254,LastTouch,568.80
CA00024,O00418,C00254,LastTouch,447.42
CA00003,O00419,C00254,LastTouch,163.64
CA00038,O00420,C00255,LastTouch,460.85
CA00020,O00421,C00256,LastTouch,2018.35
CA00060,O00422,C00256,LastTouch,2028.42
CA00027,O00423,C00257,LastTouch,1339.77
CA00022,O00424,C00257,LastTouch,1481.64
CA00002,O00425,C00258,LastTouch,554.59
CA00039,O00426,C00259,LastTouch,1957.19
CA00006,O00427,C00259,LastTouch,439.74
CA00011,O00428,C00260,LastTouch,928.36
CA00019,O00429,C00260,LastTouch,1988.86
CA00017,O00430,C00261,LastTouch,2398.03
CA00003,O00431,C00262,LastTouch,1714.06
CA00022,O00432,C00263,LastTouch,1233.39
CA00017,O00433,C00263,LastTouch,1436.41
CA00016,O00434,C00264,LastTouch,1011.47
CA00025,O00435,C00264,LastTouch,1486.47
CA00050,O00436,C00265,LastTouch,1564.02
CA00060,O00437,C00266,LastTouch,3281.95
CA00022,O00438,C00266,LastTouch,1628.49
CA00028,O00439,C00266,LastTouch,1640.51
CA00053,O00440,C00267,LastTouch,1747.84
CA00032,O00441,C00267,LastTouch,1946.11
CA00033,O00442,C00268,LastTouch,1648.50
CA00039,O00443,C00268,LastTouch,1377.04
CA00039,O00444,C00268,LastTouch,142.28
CA00006,O00445,C00269,LastTouch,1553.35
CA00029,O00446,C00270,LastTouch,76.62
CA00047,O00447,C00271,LastTouch,736.72
CA00002,O00448,C00272,LastTouch,3366.71
CA00014,O00449,C00273,LastTouch,1378.17
CA00029,O00450,C00274,LastTouch,1113.25
CA00028,O00451,C00274,LastTouch,1357.60
CA00054,O00452,C00274,LastTouch,551.48
CA00042,O00453,C00275,LastTouch,1019.64
CA00006,O00454,C00275,LastTouch,310.05
CA00043,O00455,C00276,LastTouch,2545.41
CA00026,O00456,C00276,LastTouch,2749.98
CA00022,O00457,C00277,LastTouch,2310.97
CA00008,O00458,C00277,LastTouch,380.07
CA00008,O00459,C00278,LastTouch,2839.99
CA00048,O00460,C00278,LastTouch,719.65
CA00047,O00461,C00279,LastTouch,831.25
CA00025,O00462,C00279,LastTouch,930.53
CA00006,O00463,C00279,LastTouch,1975.04
CA00026,O00464,C00280,LastTouch,581.36
CA00004,O00465,C00280,LastTouch,1525.87
CA00007,O00466,C00280,LastTouch,1452.37
CA00024,O00467,C00281,LastTouch,825.61
CA00030,O00468,C00282,LastTouch,533.35
CA00027,O00469,C00282,LastTouch,1685.95
CA00001,O00470,C00283,LastTouch,1851.57
CA00009,O00471,C00283,LastTouch,2168.31
CA00040,O00472,C00283,LastTouch,2040.88
CA00056,O00473,C00284,LastTouch,1799.98
CA00051,O00474,C00285,LastTouch,2035.75
CA00003,O00475,C00285,LastTouch,454.27
CA00043,O00476,C00286,LastTouch,230.06
CA00025,O00477,C00287,LastTouch,1585.30
CA00014,O00478,C00288,LastTouch,2215.13
CA00015,O00479,C00288,LastTouch,1560.70
CA00049,O00480,C00289,LastTouch,939.61
CA00014,O00481,C00289,LastTouch,3301.41
CA00026,O00482,C00290,LastTouch,634.60
CA00030,O00483,C00291,LastTouch,2719.93
CA00011,O00484,C00292,LastTouch,2601.70
CA00013,O00485,C00292,LastTouch,2949.18
CA00042,O00486,C00292,LastTouch,385.25
CA00027,O00487,C00293,LastTouch,1760.30
CA00006,O00488,C00294,LastTouch,810.01
CA00012,O00489,C00294,LastTouch,2285.10
CA00002,O00490,C00295,LastTouch,2818.41
CA00051,O00491,C00295,LastTouch,3670.36
CA00030,O00492,C00296,LastTouch,2217.48
CA00025,O00493,C00296,LastTouch,845.01
CA00029,O00494,C00296,LastTouch,893.55
CA00046,O00495,C00297,LastTouch,1637.23
CA00025,O00496,C00298,LastTouch,2634.82
CA00015,O00497,C00298,LastTouch,106.09
CA00048,O00498,C00299,LastTouch,2375.53
CA00036,O00499,C00299,LastTouch,57.32
CA00006,O00500,C00299,LastTouch,1044.77
CA00053,O00501,C00300,LastTouch,1729.93
CA00057,O00502,C00300,LastTouch,71.65
CA00006,O00503,C00300,LastTouch,2027.51
CA00038,O00504,C00301,LastTouch,3531.45
CA00036,O00505,C00302,LastTouch,3525.61
CA00054,O00506,C00303,LastTouch,1296.44
CA00014,O00507,C00303,LastTouch,2002.12
CA00009,O00508,C00303,LastTouch,2002.77
CA00011,O00509,C00304,LastTouch,460.13
CA00060,O00510,C00305,LastTouch,1155.44
CA00053,O00511,C00306,LastTouch,1069.30
CA00008,O00512,C00306,LastTouch,3150.70
CA00043,O00513,C00307,LastTouch,198.80
CA00021,O00514,C00307,LastTouch,2969.48
CA00042,O00515,C00307,LastTouch,1722.48
CA00059,O00516,C00308,LastTouch,1845.27
CA00047,O00517,C00309,LastTouch,555.89
CA00006,O00518,C00310,LastTouch,2063.07
CA00022,O00519,C00310,LastTouch,137.93
CA00047,O00520,C00311,LastTouch,2901.69
CA00042,O00521,C00311,LastTouch,252.20
CA00024,O00522,C00312,LastTouch,1776.33
CA00027,O00523,C00313,LastTouch,1471.22
CA00012,O00524,C00313,LastTouch,1342.21
CA00039,O00525,C00314,LastTouch,479.68
CA00001,O00526,C00315,LastTouch,3094.96
CA00030,O00527,C00316,LastTouch,838.28
CA00015,O00528,C00316,LastTouch,204.46
CA00003,O00529,C00317,LastTouch,1370.90
CA00050,O00530,C00318,LastTouch,2968.87
CA00057,O00531,C00318,LastTouch,2732.93
CA00002,O00532,C00319,LastTouch,1390.48
CA00054,O00533,C00319,LastTouch,750.39
CA00054,O00534,C00319,LastTouch,2620.83
CA00001,O00535,C00320,LastTouch,725.33
CA00041,O00536,C00321,LastTouch,3857.76
CA00030,O00537,C00322,LastTouch,399.18
CA00018,O00538,C00323,LastTouch,2476.30
CA00035,O00539,C00323,LastTouch,4452.14
CA00038,O00540,C00324,LastTouch,411.33
CA00046,O00541,C00324,LastTouch,337.11
CA00036,O00542,C00325,LastTouch,924.19
CA00034,O00543,C00326,LastTouch,1229.59
CA00052,O00544,C00326,LastTouch,491.38
CA00003,O00545,C00326,LastTouch,1879.82
CA00054,O00546,C00327,LastTouch,153.79
CA00001,O00547,C00327,LastTouch,1732.58
CA00013,O00548,C00327,LastTouch,851.58
CA00042,O00549,C00328,LastTouch,4548.07
CA00031,O00550,C00329,LastTouch,2578.46
CA00009,O00551,C00330,LastTouch,1157.72
CA00021,O00552,C00331,LastTouch,2856.59
CA00021,O00553,C00331,LastTouch,3370.40
CA00042,O00554,C00331,LastTouch,793.64
CA00010,O00555,C00332,LastTouch,2133.79
CA00013,O00556,C00332,LastTouch,2921.03
CA00055,O00557,C00332,LastTouch,1114.59
CA00003,O00558,C00333,LastTouch,49.58
CA00035,O00559,C00334,LastTouch,2270.32
CA00027,O00560,C00334,LastTouch,2278.75
CA00057,O00561,C00334,LastTouch,753.00
CA00021,O00562,C00335,LastTouch,1227.42
CA00032,O00563,C00336,LastTouch,354.58
CA00048,O00564,C00336,LastTouch,508.65
CA00029,O00565,C00337,LastTouch,3068.13
CA00056,O00566,C00338,LastTouch,1442.24
CA00014,O00567,C00338,LastTouch,207.79
CA00032,O00568,C00339,LastTouch,4473.59
CA00051,O00569,C00339,LastTouch,2147.83
CA00014,O00570,C00339,LastTouch,3271.61
CA00028,O00571,C00340,LastTouch,1037.63
CA00052,O00572,C00340,LastTouch,4220.24
CA00057,O00573,C00341,LastTouch,1731.07
CA00038,O00574,C00342,LastTouch,73.41
CA00029,O00575,C00343,LastTouch,603.04
CA00044,O00576,C00344,LastTouch,1240.62
CA00044,O00577,C00344,LastTouch,886.30
CA00041,O00578,C00345,LastTouch,296.84
CA00027,O00579,C00346,LastTouch,1433.03
CA00019,O00580,C00346,LastTouch,1304.25
CA00023,O00581,C00346,LastTouch,1598.95
CA00029,O00582,C00347,LastTouch,1656.99
CA00032,O00583,C00348,LastTouch,599.43
CA00050,O00584,C00349,LastTouch,2887.46
CA00040,O00585,C00350,LastTouch,643.53
CA00033,O00586,C00351,LastTouch,2665.40
CA00038,O00587,C00351,LastTouch,2843.72
CA00041,O00588,C00352,LastTouch,1555.75
CA00021,O00589,C00352,LastTouch,1817.12
