shipment_id,order_id,shipment_status,delivered_at
SH00253,O00253,InTransit,
SH00254,O00254,Delivered,2026-07-01T04:00:00+09:00
SH00255,O00255,Delivered,2026-05-30T07:00:00+09:00
SH00256,O00256,Delivered,2026-05-07T10:00:00+09:00
SH00257,O00257,Delivered,2026-06-23T03:00:00+09:00
SH00258,O00258,Delivered,2026-05-26T12:00:00+09:00
SH00259,O00259,Delivered,2026-05-20T12:00:00+09:00
SH00260,O00260,InTransit,
SH00261,O00261,InTransit,
SH00262,O00262,Delayed,2026-06-23T04:00:00+09:00
SH00263,O00263,Delivered,2026-05-18T05:00:00+09:00
SH00264,O00264,Delivered,2026-07-02T07:00:00+09:00
SH00265,O00265,InTransit,
SH00266,O00266,InTransit,
SH00267,O00267,Delayed,2026-06-28T10:00:00+09:00
SH00268,O00268,InTransit,
SH00269,O00269,Delayed,2026-05-21T06:00:00+09:00
SH00270,O00270,Delivered,2026-05-25T07:00:00+09:00
SH00271,O00271,Delivered,2026-05-20T03:00:00+09:00
SH00272,O00272,Delivered,2026-06-19T11:00:00+09:00
SH00273,O00273,Delayed,2026-06-09T02:00:00+09:00
SH00274,O00274,Delayed,2026-07-01T03:00:00+09:00
SH00275,O00275,Delayed,2026-05-26T03:00:00+09:00
SH00276,O00276,Delayed,2026-06-15T10:00:00+09:00
SH00277,O00277,Delivered,2026-06-03T07:00:00+09:00
SH00278,O00278,Delivered,2026-05-30T11:00:00+09:00
SH00279,O00279,InTransit,
SH00280,O00280,Delayed,2026-06-18T11:00:00+09:00
SH00281,O00281,InTransit,
SH00282,O00282,InTransit,
SH00283,O00283,Delivered,2026-05-05T04:00:00+09:00
SH00284,O00284,Delayed,2026-06-27T08:00:00+09:00
SH00285,O00285,Delivered,2026-05-24T00:00:00+09:00
SH00286,O00286,InTransit,
SH00287,O00287,Delivered,2026-05-20T01:00:00+09:00
SH00288,O00288,Delayed,2026-05-19T00:00:00+09:00
SH00289,O00289,Delivered,2026-05-06T09:00:00+09:00
SH00290,O00290,Delayed,2026-06-03T12:00:00+09:00
SH00291,O00291,Delayed,2026-05-12T05:00:00+09:00
SH00292,O00292,Delivered,2026-06-17T04:00:00+09:00
SH00293,O00293,Delayed,2026-06-20T09:00:00+09:00
SH00294,O00294,Delayed,2026-06-22T03:00:00+09:00
SH00295,O00295,Delivered,2026-06-14T00:00:00+09:00
SH00296,O00296,InTransit,
SH00297,O00297,Delivered,2026-06-21T05:00:00+09:00
SH00298,O00298,Delayed,2026-05-08T00:00:00+09:00
SH00299,O00299,InTransit,
SH00300,O00300,Delivered,2026-06-24T10:00:00+09:00
SH00301,O00301,InTransit,
SH00302,O00302,Delivered,2026-05-13T06:00:00+09:00
SH00303,O00303,InTransit,
SH00304,O00304,Delayed,2026-06-20T09:00:00+09:00
SH00305,O00305,Delivered,2026-05-15T11:00:00+09:00
SH00306,O00306,Delayed,2026-06-03T02:00:00+09:00
SH00307,O00307,Delayed,2026-05-29T08:00:00+09:00
SH00308,O00308,Delivered,2026-05-09T09:00:00+09:00
SH00309,O00309,InTransit,
SH00310,O00310,Delayed,2026-05-09T07:00:00+09:00
SH00311,O00311,Delayed,2026-06-15T11:00:00+09:00
SH00312,O00312,InTransit,
SH00313,O00313,Delivered,2026-06-10T06:00:00+09:00
SH00314,O00314,Delayed,2026-06-12T07:00:00+09:00
SH00315,O00315,Delayed,2026-05-05T03:00:00+09:00
SH00316,O00316,Delayed,2026-05-09T06:00:00+09:00
SH00317,O00317,Delivered,2026-05-31T12:00:00+09:00
SH00318,O00318,Delayed,2026-05-31T07:00:00+09:00
SH00319,O00319,InTransit,
SH00320,O00320,Delivered,2026-06-02T09:00:00+09:00
SH00321,O00321,Delivered,2026-06-30T10:00:00+09:00
SH00322,O00322,Delayed,2026-06-02T03:00:00+09:00
SH00323,O00323,Delayed,2026-05-16T03:00:00+09:00
SH00324,O00324,Delivered,2026-06-12T10:00:00+09:00
SH00325,O00325,InTransit,
SH00326,O00326,InTransit,
SH00327,O00327,Delivered,2026-06-15T02:00:00+09:00
SH00328,O00328,Delivered,2026-06-24T07:00:00+09:00
SH00329,O00329,Delivered,2026-06-12T05:00:00+09:00
SH00330,O00330,Delayed,2026-06-18T01:00:00+09:00
SH00331,O00331,Delivered,2026-06-26T10:00:00+09:00
SH00332,O00332,Delivered,2026-06-02T04:00:00+09:00
SH00333,O00333,Delayed,2026-06-07T04:00:00+09:00
SH00334,O00334,Delayed,2026-05-24T04:00:00+09:00
SH00335,O00335,Delayed,2026-06-10T05:00:00+09:00
SH00336,O00336,InTransit,
SH00337,O00337,Delivered,2026-06-19T10:00:00+09:00
SH00338,O00338,Delivered,2026-06-16T07:00:00+09:00
SH00339,O00339,InTransit,
SH00340,O00340,Delayed,2026-06-03T09:00:00+09:00
SH00341,O00341,Delayed,2026-06-26T09:00:00+09:00
SH00342,O00342,Delivered,2026-06-07T12:00:00+09:00
SH00343,O00343,Delayed,2026-05-17T01:00:00+09:00
SH00344,O00344,InTransit,
SH00345,O00345,InTransit,
SH00346,O00346,Delayed,2026-06-05T02:00:00+09:00
SH00347,O00347,Delivered,2026-06-17T09:00:00+09:00
SH00348,O00348,InTransit,
SH00349,O00349,InTransit,
SH00350,O00350,Delivered,2026-06-28T10:00:00+09:00
SH00351,O00351,Delivered,2026-05-04T12:00:00+09:00
SH00352,O00352,Delayed,2026-05-14T11:00:00+09:00
SH00353,O00353,Delivered,2026-06-10T04:00:00+09:00
SH00354,O00354,Delivered,2026-05-16T10:00:00+09:00
SH00355,O00355,Delivered,2026-06-13T07:00:00+09:00
SH00356,O00356,InTransit,
SH00357,O00357,InTransit,
SH00358,O00358,Delayed,2026-06-12T00:00:00+09:00
SH00359,O00359,Delivered,2026-05-27T11:00:00+09:00
SH00360,O00360,Delivered,2026-06-16T09:00:00+09:00
SH00361,O00361,Delivered,2026-06-30T06:00:00+09:00
SH00362,O00362,InTransit,
SH00363,O00363,Delivered,2026-06-11T09:00:00+09:00
SH00364,O00364,InTransit,
SH00365,O00365,Delayed,2026-05-18T06:00:00+09:00
SH00366,O00366,Delivered,2026-06-15T04:00:00+09:00
SH00367,O00367,InTransit,
SH00368,O00368,Delayed,2026-06-24T07:00:00+09:00
SH00369,O00369,Delivered,2026-05-23T02:00:00+09:00
SH00370,O00370,Delivered,2026-06-09T09:00:00+09:00
SH00371,O00371,Delivered,2026-06-25T03:00:00+09:00
SH00372,O00372,Delayed,2026-05-14T00:00:00+09:00
SH00373,O00373,Delivered,2026-06-21T01:00:00+09:00
SH00374,O00374,Delayed,2026-05-30T00:00:00+09:00
SH00375,O00375,Delivered,2026-05-23T12:00:00+09:00
SH00376,O00376,Delayed,2026-06-14T08:00:00+09:00
SH00377,O00377,Delivered,2026-05-30T12:00:00+09:00
SH00378,O00378,Delayed,2026-06-17T07:00:00+09:00
SH00379,O00379,Delayed,2026-06-06T09:00:00+09:00
SH00380,O00380,Delayed,2026-05-30T12:00:00+09:00
SH00381,O00381,Delayed,2026-06-25T09:00:00+09:00
SH00382,O00382,Delayed,2026-05-17T04:00:00+09:00
SH00383,O00383,InTransit,
SH00384,O00384,Delivered,2026-06-23T06:00:00+09:00
SH00385,O00385,InTransit,
SH00386,O00386,Delivered,2026-05-20T08:00:00+09:00
SH00387,O00387,Delivered,2026-07-05T01:00:00+09:00
SH00388,O00388,Delivered,2026-06-10T12:00:00+09:00
SH00389,O00389,InTransit,
SH00390,O00390,Delivered,2026-06-24T05:00:00+09:00
SH00391,O00391,Delivered,2026-06-26T00:00:00+09:00
SH00392,O00392,Delivered,2026-06-07T10:00:00+09:00
SH00393,O00393,Delivered,2026-05-31T02:00:00+09:00
SH00394,O00394,Delayed,2026-06-12T08:00:00+09:00
SH00395,O00395,Delayed,2026-06-12T02:00:00+09:00
SH00396,O00396,Delivered,2026-05-31T02:00:00+09:00
SH00397,O00397,Delivered,2026-06-16T06:00:00+09:00
SH00398,O00398,InTransit,
SH00399,O00399,InTransit,
SH00400,O00400,Delayed,2026-07-02T01:00:00+09:00
SH00401,O00401,InTransit,
SH00402,O00402,Delayed,2026-05-31T01:00:00+09:00
SH00403,O00403,Delivered,2026-05-27T09:00:00+09:00
SH00404,O00404,InTransit,
SH00405,O00405,Delayed,2026-05-15T04:00:00+09:00
SH00406,O00406,Delivered,2026-07-04T05:00:00+09:00
SH00407,O00407,Delivered,2026-07-02T07:00:00+09:00
SH00408,O00408,InTransit,
SH00409,O00409,Delayed,2026-06-30T07:00:00+09:00
SH00410,O00410,Delayed,2026-05-22T12:00:00+09:00
SH00411,O00411,Delivered,2026-07-02T08:00:00+09:00
SH00412,O00412,InTransit,
SH00413,O00413,Delivered,2026-06-02T07:00:00+09:00
SH00414,O00414,Delayed,2026-06-14T10:00:00+09:00
SH00415,O00415,InTransit,
SH00416,O00416,InTransit,
SH00417,O00417,Delivered,2026-06-11T12:00:00+09:00
SH00418,O00418,InTransit,
SH00419,O00419,InTransit,
SH00420,O00420,Delivered,2026-06-15T01:00:00+09:00
SH00421,O00421,InTransit,
SH00422,O00422,InTransit,
SH00423,O00423,Delivered,2026-05-31T01:00:00+09:00
SH00424,O00424,InTransit,
SH00425,O00425,Delayed,2026-05-25T05:00:00+09:00
SH00426,O00426,Delayed,2026-05-22T08:00:00+09:00
SH00427,O00427,Delivered,2026-06-17T07:00:00+09:00
SH00428,O00428,Delayed,2026-06-30T09:00:00+09:00
SH00429,O00429,InTransit,
SH00430,O00430,Delivered,2026-06-26T01:00:00+09:00
SH00431,O00431,InTransit,
SH00432,O00432,InTransit,
SH00433,O00433,Delayed,2026-07-02T02:00:00+09:00
SH00434,O00434,Delivered,2026-05-22T08:00:00+09:00
SH00435,O00435,Delivered,2026-06-26T11:00:00+09:00
SH00436,O00436,InTransit,
SH00437,O00437,Delayed,2026-05-23T05:00:00+09:00
SH00438,O00438,Delayed,2026-06-17T12:00:00+09:00
SH00439,O00439,InTransit,
SH00440,O00440,Delayed,2026-06-25T12:00:00+09:00
SH00441,O00441,Delayed,2026-07-01T11:00:00+09:00
SH00442,O00442,InTransit,
SH00443,O00443,Delayed,2026-06-01T10:00:00+09:00
SH00444,O00444,Delayed,2026-05-20T11:00:00+09:00
SH00445,O00445,Delivered,2026-06-23T07:00:00+09:00
SH00446,O00446,Delivered,2026-06-19T09:00:00+09:00
SH00447,O00447,Delivered,2026-05-27T07:00:00+09:00
SH00448,O00448,Delivered,2026-06-09T07:00:00+09:00
SH00449,O00449,InTransit,
SH00450,O00450,Delayed,2026-05-26T00:00:00+09:00
SH00451,O00451,InTransit,
SH00452,O00452,Delivered,2026-06-10T03:00:00+09:00
SH00453,O00453,InTransit,
SH00454,O00454,InTransit,
SH00455,O00455,Delivered,2026-05-12T10:00:00+09:00
SH00456,O00456,InTransit,
SH00457,O00457,Delivered,2026-05-03T07:00:00+09:00
SH00458,O00458,Delivered,2026-05-14T10:00:00+09:00
SH00459,O00459,Delivered,2026-05-04T10:00:00+09:00
SH00460,O00460,Delayed,2026-06-01T06:00:00+09:00
SH00461,O00461,Delivered,2026-06-15T03:00:00+09:00
SH00462,O00462,InTransit,
SH00463,O00463,InTransit,
SH00464,O00464,InTransit,
SH00465,O00465,Delayed,2026-06-25T08:00:00+09:00
SH00466,O00466,InTransit,
SH00467,O00467,Delayed,2026-05-12T00:00:00+09:00
SH00468,O00468,InTransit,
SH00469,O00469,Delivered,2026-06-02T02:00:00+09:00
SH00470,O00470,Delayed,2026-05-17T02:00:00+09:00
SH00471,O00471,InTransit,
SH00472,O00472,InTransit,
SH00473,O00473,InTransit,
SH00474,O00474,Delivered,2026-06-29T08:00:00+09:00
SH00475,O00475,InTransit,
SH00476,O00476,Delivered,2026-05-14T11:00:00+09:00
SH00477,O00477,Delivered,2026-05-06T10:00:00+09:00
SH00478,O00478,Delivered,2026-05-23T01:00:00+09:00
SH00479,O00479,Delayed,2026-06-03T06:00:00+09:00
SH00480,O00480,Delivered,2026-06-27T07:00:00+09:00
SH00481,O00481,Delayed,2026-07-01T02:00:00+09:00
SH00482,O00482,Delivered,2026-06-10T05:00:00+09:00
SH00483,O00483,InTransit,
SH00484,O00484,Delivered,2026-06-22T09:00:00+09:00
SH00485,O00485,Delayed,2026-06-05T03:00:00+09:00
SH00486,O00486,InTransit,
SH00487,O00487,Delivered,2026-06-06T07:00:00+09:00
SH00488,O00488,InTransit,
SH00489,O00489,Delivered,2026-05-30T11:00:00+09:00
SH00490,O00490,Delayed,2026-06-18T10:00:00+09:00
SH00491,O00491,Delivered,2026-05-16T04:00:00+09:00
SH00492,O00492,InTransit,
SH00493,O00493,Delayed,2026-05-24T08:00:00+09:00
SH00494,O00494,Delayed,2026-06-28T09:00:00+09:00
SH00495,O00495,InTransit,
SH00496,O00496,Delivered,2026-05-13T07:00:00+09:00
SH00497,O00497,Delivered,2026-05-18T01:00:00+09:00
SH00498,O00498,Delivered,2026-05-31T01:00:00+09:00
SH00499,O00499,InTransit,
SH00500,O00500,Delivered,2026-05-29T05:00:00+09:00
SH00501,O00501,Delayed,2026-07-01T12:00:00+09:00
SH00502,O00502,InTransit,
SH00503,O00503,InTransit,
SH00504,O00504,Delayed,2026-06-15T01:00:00+09:00
SH00505,O00505,InTransit,
SH00506,O00506,InTransit,
SH00507,O00507,Delivered,2026-05-13T00:00:00+09:00
SH00508,O00508,InTransit,
SH00509,O00509,Delivered,2026-05-30T07:00:00+09:00
SH00510,O00510,Delivered,2026-06-27T07:00:00+09:00
SH00511,O00511,Delivered,2026-05-28T05:00:00+09:00
SH00512,O00512,Delivered,2026-06-21T05:00:00+09:00
SH00513,O00513,Delayed,2026-06-12T10:00:00+09:00
SH00514,O00514,Delayed,2026-06-22T05:00:00+09:00
SH00515,O00515,Delivered,2026-05-09T11:00:00+09:00
SH00516,O00516,Delivered,2026-06-15T09:00:00+09:00
SH00517,O00517,Delivered,2026-05-29T08:00:00+09:00
SH00518,O00518,Delivered,2026-05-10T05:00:00+09:00
SH00519,O00519,Delayed,2026-05-30T04:00:00+09:00
SH00520,O00520,Delivered,2026-05-17T03:00:00+09:00
SH00521,O00521,InTransit,
SH00522,O00522,InTransit,
SH00523,O00523,InTransit,
SH00524,O00524,Delivered,2026-05-05T12:00:00+09:00
SH00525,O00525,Delayed,2026-06-09T08:00:00+09:00
SH00526,O00526,Delivered,2026-06-13T01:00:00+09:00
SH00527,O00527,Delayed,2026-06-20T00:00:00+09:00
SH00528,O00528,InTransit,
SH00529,O00529,Delayed,2026-05-24T08:00:00+09:00
SH00530,O00530,Delivered,2026-06-13T09:00:00+09:00
SH00531,O00531,Delayed,2026-05-28T02:00:00+09:00
