ticket_id,customer_id,order_id,ticket_type,ticket_reason,created_at
T00029,C00028,O00046,Return,NotAsDescribed,2026-06-10T00:00:00+09:00
T00030,C00029,O00048,Payment,PaymentFailed,2026-05-06T05:00:00+09:00
T00031,C00030,O00049,Payment,PaymentFailed,2026-05-19T02:00:00+09:00
T00032,C00030,O00050,Complaint,LateDelivery,2026-06-16T03:00:00+09:00
T00033,C00031,O00052,Complaint,NotAsDescribed,2026-05-09T04:00:00+09:00
T00034,C00033,O00054,Inquiry,GeneralQuestion,2026-05-17T10:00:00+09:00
T00035,C00035,O00057,Complaint,LateDelivery,2026-06-29T11:00:00+09:00
T00036,C00038,O00061,Inquiry,GeneralQuestion,2026-05-30T11:00:00+09:00
T00037,C00038,O00061,Return,SizeIssue,2026-05-22T01:00:00+09:00
T00038,C00039,O00062,Return,NotAsDescribed,2026-05-28T10:00:00+09:00
T00039,C00041,O00064,Shipping,NoTrackingUpdate,2026-06-21T00:00:00+09:00
T00040,C00041,O00064,Return,SizeIssue,2026-06-22T07:00:00+09:00
T00041,C00042,O00065,Payment,PaymentFailed,2026-06-01T01:00:00+09:00
T00042,C00043,O00066,Shipping,NoTrackingUpdate,2026-06-12T01:00:00+09:00
T00043,C00044,O00070,Shipping,NoTrackingUpdate,2026-06-23T03:00:00+09:00
T00044,C00045,O00071,Payment,PaymentFailed,2026-06-27T07:00:00+09:00
T00045,C00046,O00072,Inquiry,GeneralQuestion,2026-05-13T00:00:00+09:00
T00046,C00047,O00073,Complaint,LateDelivery,2026-07-04T12:00:00+09:00
T00047,C00047,O00073,Payment,PaymentFailed,2026-07-02T12:00:00+09:00
T00048,C00049,O00078,Complaint,NotAsDescribed,2026-06-16T07:00:00+09:00
T00049,C00049,O00078,Return,SizeIssue,2026-06-22T08:00:00+09:00
T00050,C00050,O00079,Return,NotAsDescribed,2026-06-09T01:00:00+09:00
T00051,C00050,O00079,Return,SizeIssue,2026-06-06T10:00:00+09:00
T00052,C00050,O00081,Payment,PaymentFailed,2026-06-18T08:00:00+09:00
T00053,C00051,O00082,Complaint,LateDelivery,2026-06-11T07:00:00+09:00
T00054,C00052,O00083,Complaint,NotAsDescribed,2026-06-27T04:00:00+09:00
T00055,C00052,O00083,Return,SizeIssue,2026-07-04T10:00:00+09:00
T00056,C00053,O00084,Shipping,NoTrackingUpdate,2026-05-10T09:00:00+09:00
T00057,C00054,O00085,Complaint,NotAsDescribed,2026-06-27T04:00:00+09:00
T00058,C00055,O00086,Return,NotAsDescribed,2026-05-15T12:00:00+09:00
T00059,C00058,O00090,Complaint,LateDelivery,2026-05-31T02:00:00+09:00
T00060,C00058,O00090,Return,NotAsDescribed,2026-06-04T08:00:00+09:00
T00061,C00058,O00091,Inquiry,GeneralQuestion,2026-06-03T03:00:00+09:00
T00062,C00058,O00092,Return,SizeIssue,2026-05-26T02:00:00+09:00
T00063,C00059,O00093,Complaint,NotAsDescribed,2026-06-01T12:00:00+09:00
T00064,C00059,O00094,Complaint,LateDelivery,2026-05-20T09:00:00+09:00
T00065,C00059,O00094,Shipping,LateDelivery,2026-05-25T02:00:00+09:00
T00066,C00060,O00096,Complaint,LateDelivery,2026-05-25T05:00:00+09:00
T00067,C00060,O00097,Inquiry,GeneralQuestion,2026-05-30T08:00:00+09:00
T00068,C00061,O00099,Payment,PaymentFailed,2026-05-22T09:00:00+09:00
T00069,C00062,O00101,Shipping,LateDelivery,2026-06-03T11:00:00+09:00
T00070,C00062,O00101,Shipping,NoTrackingUpdate,2026-06-04T12:00:00+09:00
T00071,C00063,O00102,Complaint,NotAsDescribed,2026-07-08T02:00:00+09:00
T00072,C00063,O00102,Return,SizeIssue,2026-07-01T03:00:00+09:00
T00073,C00063,O00104,Inquiry,GeneralQuestion,2026-05-23T06:00:00+09:00
T00074,C00064,O00105,Complaint,NotAsDescribed,2026-06-23T06:00:00+09:00
T00075,C00064,O00106,Payment,PaymentFailed,2026-06-05T00:00:00+09:00
T00076,C00065,O00107,Inquiry,GeneralQuestion,2026-06-08T03:00:00+09:00
T00077,C00067,O00110,Return,NotAsDescribed,2026-05-31T12:00:00+09:00
T00078,C00067,O00110,Return,SizeIssue,2026-06-03T11:00:00+09:00
T00079,C00068,O00112,Payment,PaymentFailed,2026-06-12T08:00:00+09:00
T00080,C00070,O00114,Inquiry,GeneralQuestion,2026-05-25T00:00:00+09:00
T00081,C00072,O00116,Shipping,NoTrackingUpdate,2026-05-15T04:00:00+09:00
T00082,C00074,O00118,Inquiry,GeneralQuestion,2026-05-23T04:00:00+09:00
T00083,C00074,O00119,Payment,PaymentFailed,2026-06-04T09:00:00+09:00
T00084,C00075,O00121,Complaint,LateDelivery,2026-06-17T03:00:00+09:00
T00085,C00076,O00122,Return,NotAsDescribed,2026-06-06T03:00:00+09:00
T00086,C00077,O00123,Inquiry,GeneralQuestion,2026-06-27T11:00:00+09:00
T00087,C00077,O00124,Complaint,NotAsDescribed,2026-06-01T12:00:00+09:00
T00088,C00078,O00125,Complaint,NotAsDescribed,2026-05-14T01:00:00+09:00
T00089,C00078,O00125,Shipping,NoTrackingUpdate,2026-05-24T10:00:00+09:00
T00090,C00081,O00128,Payment,PaymentFailed,2026-06-26T11:00:00+09:00
T00091,C00082,O00130,Complaint,LateDelivery,2026-05-09T08:00:00+09:00
T00092,C00082,O00130,Inquiry,GeneralQuestion,2026-05-09T02:00:00+09:00
T00093,C00083,O00133,Complaint,LateDelivery,2026-06-05T10:00:00+09:00
T00094,C00085,O00139,Inquiry,GeneralQuestion,2026-07-03T11:00:00+09:00
T00095,C00086,O00140,Return,NotAsDescribed,2026-05-19T03:00:00+09:00
T00096,C00086,O00141,Payment,PaymentFailed,2026-06-25T08:00:00+09:00
T00097,C00086,O00141,Return,SizeIssue,2026-06-21T10:00:00+09:00
T00098,C00086,O00142,Shipping,LateDelivery,2026-05-25T02:00:00+09:00
T00099,C00087,O00143,Inquiry,GeneralQuestion,2026-05-09T05:00:00+09:00
T00100,C00087,O00143,Shipping,NoTrackingUpdate,2026-05-10T04:00:00+09:00
T00101,C00087,O00144,Return,NotAsDescribed,2026-06-25T05:00:00+09:00
T00102,C00090,O00148,Complaint,LateDelivery,2026-05-11T08:00:00+09:00
T00103,C00091,O00151,Payment,PaymentFailed,2026-06-01T03:00:00+09:00
T00104,C00092,O00153,Return,NotAsDescribed,2026-05-02T02:00:00+09:00
T00105,C00094,O00157,Return,SizeIssue,2026-05-29T05:00:00+09:00
T00106,C00096,O00159,Complaint,NotAsDescribed,2026-06-01T12:00:00+09:00
T00107,C00096,O00159,Inquiry,GeneralQuestion,2026-06-02T04:00:00+09:00
T00108,C00096,O00159,Shipping,NoTrackingUpdate,2026-05-30T12:00:00+09:00
T00109,C00096,O00160,Payment,PaymentFailed,2026-06-12T09:00:00+09:00
T00110,C00097,O00162,Shipping,NoTrackingUpdate,2026-05-30T04:00:00+09:00
T00111,C00097,O00163,Return,SizeIssue,2026-05-30T09:00:00+09:00
T00112,C00098,O00165,Return,NotAsDescribed,2026-05-21T06:00:00+09:00
T00113,C00098,O00166,Payment,PaymentFailed,2026-05-04T07:00:00+09:00
T00114,C00102,O00171,Complaint,NotAsDescribed,2026-06-07T09:00:00+09:00
T00115,C00105,O00175,Shipping,LateDelivery,2026-06-06T10:00:00+09:00
T00116,C00106,O00176,Payment,PaymentFailed,2026-05-15T00:00:00+09:00
T00117,C00107,O00180,Complaint,LateDelivery,2026-06-19T10:00:00+09:00
T00118,C00111,O00185,Shipping,LateDelivery,2026-05-22T11:00:00+09:00
T00119,C00111,O00186,Complaint,NotAsDescribed,2026-06-10T02:00:00+09:00
T00120,C00112,O00187,Shipping,NoTrackingUpdate,2026-05-09T02:00:00+09:00
T00121,C00113,O00188,Shipping,LateDelivery,2026-06-28T10:00:00+09:00
T00122,C00114,O00189,Inquiry,GeneralQuestion,2026-06-27T11:00:00+09:00
T00123,C00115,O00191,Complaint,LateDelivery,2026-05-12T11:00:00+09:00
T00124,C00115,O00191,Shipping,LateDelivery,2026-05-09T05:00:00+09:00
T00125,C00117,O00197,Return,SizeIssue,2026-05-14T06:00:00+09:00
T00126,C00118,O00199,Payment,PaymentFailed,2026-06-25T06:00:00+09:00
T00127,C00118,O00199,Return,SizeIssue,2026-06-24T03:00:00+09:00
T00128,C00120,O00204,Inquiry,GeneralQuestion,2026-06-02T01:00:00+09:00
T00129,C00122,O00206,Complaint,LateDelivery,2026-06-06T12:00:00+09:00
T00130,C00122,O00206,Shipping,NoTrackingUpdate,2026-05-31T10:00:00+09:00
T00131,C00123,O00207,Inquiry,GeneralQuestion,2026-06-27T00:00:00+09:00
T00132,C00124,O00210,Payment,PaymentFailed,2026-05-07T08:00:00+09:00
T00133,C00124,O00212,Complaint,NotAsDescribed,2026-06-17T12:00:00+09:00
T00134,C00124,O00212,Payment,PaymentFailed,2026-06-18T02:00:00+09:00
T00135,C00129,O00218,Inquiry,GeneralQuestion,2026-06-27T04:00:00+09:00
T00136,C00131,O00220,Shipping,LateDelivery,2026-05-09T02:00:00+09:00
T00137,C00133,O00223,Shipping,NoTrackingUpdate,2026-06-27T04:00:00+09:00
T00138,C00133,O00224,Shipping,LateDelivery,2026-05-17T10:00:00+09:00
T00139,C00134,O00225,Return,NotAsDescribed,2026-06-19T04:00:00+09:00
T00140,C00134,O00226,Return,SizeIssue,2026-05-20T04:00:00+09:00
T00141,C00136,O00228,Payment,PaymentFailed,2026-06-18T01:00:00+09:00
T00142,C00139,O00232,Payment,PaymentFailed,2026-05-05T06:00:00+09:00
T00143,C00140,O00233,Inquiry,GeneralQuestion,2026-06-20T02:00:00+09:00
T00144,C00141,O00236,Complaint,LateDelivery,2026-06-17T06:00:00+09:00
T00145,C00143,O00240,Shipping,LateDelivery,2026-05-17T03:00:00+09:00
T00146,C00146,O00243,Shipping,NoTrackingUpdate,2026-06-20T10:00:00+09:00
T00147,C00149,O00247,Return,NotAsDescribed,2026-06-11T00:00:00+09:00
T00148,C00149,O00248,Return,SizeIssue,2026-05-09T08:00:00+09:00
T00149,C00151,O00253,Return,NotAsDescribed,2026-05-27T08:00:00+09:00
T00150,C00152,O00254,Shipping,NoTrackingUpdate,2026-07-04T04:00:00+09:00
T00151,C00154,O00257,Complaint,LateDelivery,2026-06-25T11:00:00+09:00
T00152,C00154,O00257,Return,SizeIssue,2026-06-25T11:00:00+09:00
T00153,C00155,O00258,Shipping,LateDelivery,2026-05-29T03:00:00+09:00
T00154,C00157,O00262,Complaint,NotAsDescribed,2026-06-25T04:00:00+09:00
T00155,C00157,O00262,Shipping,LateDelivery,2026-06-23T09:00:00+09:00
T00156,C00160,O00265,Inquiry,GeneralQuestion,2026-05-17T06:00:00+09:00
T00157,C00160,O00265,Payment,PaymentFailed,2026-05-17T01:00:00+09:00
T00158,C00160,O00267,Complaint,NotAsDescribed,2026-06-27T02:00:00+09:00
T00159,C00163,O00271,Return,SizeIssue,2026-05-25T04:00:00+09:00
T00160,C00163,O00271,Return,SizeIssue,2026-05-22T04:00:00+09:00
T00161,C00164,O00272,Complaint,LateDelivery,2026-06-20T04:00:00+09:00
T00162,C00164,O00274,Complaint,NotAsDescribed,2026-07-05T07:00:00+09:00
T00163,C00164,O00274,Return,NotAsDescribed,2026-06-28T03:00:00+09:00
T00164,C00165,O00275,Complaint,LateDelivery,2026-05-29T00:00:00+09:00
T00165,C00166,O00277,Payment,PaymentFailed,2026-06-09T04:00:00+09:00
T00166,C00166,O00277,Payment,PaymentFailed,2026-06-05T05:00:00+09:00
T00167,C00168,O00280,Complaint,NotAsDescribed,2026-06-17T03:00:00+09:00
T00168,C00168,O00280,Payment,PaymentFailed,2026-06-19T09:00:00+09:00
T00169,C00169,O00283,Complaint,NotAsDescribed,2026-05-08T11:00:00+09:00
T00170,C00169,O00283,Shipping,LateDelivery,2026-05-09T05:00:00+09:00
T00171,C00170,O00285,Shipping,LateDelivery,2026-06-01T01:00:00+09:00
T00172,C00172,O00287,Shipping,NoTrackingUpdate,2026-05-16T03:00:00+09:00
T00173,C00172,O00288,Complaint,LateDelivery,2026-05-25T10:00:00+09:00
T00174,C00172,O00289,Complaint,LateDelivery,2026-05-06T02:00:00+09:00
T00175,C00172,O00289,Payment,PaymentFailed,2026-05-07T05:00:00+09:00
T00176,C00173,O00290,Return,SizeIssue,2026-05-30T00:00:00+09:00
T00177,C00175,O00292,Inquiry,GeneralQuestion,2026-06-12T06:00:00+09:00
T00178,C00176,O00294,Complaint,LateDelivery,2026-06-21T05:00:00+09:00
T00179,C00177,O00296,Payment,PaymentFailed,2026-05-23T02:00:00+09:00
T00180,C00178,O00297,Payment,PaymentFailed,2026-06-23T11:00:00+09:00
T00181,C00179,O00298,Shipping,LateDelivery,2026-05-08T05:00:00+09:00
T00182,C00181,O00304,Complaint,LateDelivery,2026-06-28T08:00:00+09:00
T00183,C00183,O00306,Inquiry,GeneralQuestion,2026-05-29T05:00:00+09:00
T00184,C00183,O00307,Inquiry,GeneralQuestion,2026-06-03T06:00:00+09:00
T00185,C00184,O00309,Inquiry,GeneralQuestion,2026-05-05T08:00:00+09:00
T00186,C00184,O00310,Complaint,LateDelivery,2026-05-13T08:00:00+09:00
T00187,C00184,O00310,Shipping,LateDelivery,2026-05-08T07:00:00+09:00
T00188,C00186,O00314,Complaint,NotAsDescribed,2026-06-16T05:00:00+09:00
T00189,C00188,O00317,Return,SizeIssue,2026-06-04T07:00:00+09:00
T00190,C00190,O00319,Inquiry,GeneralQuestion,2026-05-25T01:00:00+09:00
T00191,C00192,O00321,Complaint,LateDelivery,2026-06-30T06:00:00+09:00
T00192,C00194,O00323,Complaint,NotAsDescribed,2026-05-19T00:00:00+09:00
T00193,C00195,O00324,Inquiry,GeneralQuestion,2026-06-11T09:00:00+09:00
T00194,C00196,O00328,Shipping,NoTrackingUpdate,2026-07-01T10:00:00+09:00
T00195,C00197,O00329,Inquiry,GeneralQuestion,2026-06-10T07:00:00+09:00
T00196,C00198,O00331,Inquiry,GeneralQuestion,2026-06-24T11:00:00+09:00
T00197,C00198,O00332,Return,SizeIssue,2026-06-10T11:00:00+09:00
T00198,C00199,O00333,Return,SizeIssue,2026-06-06T04:00:00+09:00
T00199,C00199,O00334,Complaint,NotAsDescribed,2026-05-27T12:00:00+09:00
T00200,C00199,O00334,Return,NotAsDescribed,2026-05-20T00:00:00+09:00
T00201,C00200,O00336,Inquiry,GeneralQuestion,2026-05-05T09:00:00+09:00
T00202,C00200,O00338,Inquiry,GeneralQuestion,2026-06-17T01:00:00+09:00
T00203,C00200,O00338,Payment,PaymentFailed,2026-06-15T05:00:00+09:00
T00204,C00203,O00342,Shipping,LateDelivery,2026-06-07T10:00:00+09:00
T00205,C00206,O00345,Shipping,NoTrackingUpdate,2026-06-08T02:00:00+09:00
T00206,C00207,O00346,Payment,PaymentFailed,2026-06-01T01:00:00+09:00
T00207,C00207,O00346,Payment,PaymentFailed,2026-06-02T11:00:00+09:00
T00208,C00208,O00348,Inquiry,GeneralQuestion,2026-05-14T01:00:00+09:00
T00209,C00209,O00349,Inquiry,GeneralQuestion,2026-05-09T05:00:00+09:00
T00210,C00209,O00349,Inquiry,GeneralQuestion,2026-05-10T01:00:00+09:00
T00211,C00209,O00350,Payment,PaymentFailed,2026-06-30T11:00:00+09:00
T00212,C00214,O00357,Shipping,LateDelivery,2026-06-11T12:00:00+09:00
T00213,C00215,O00358,Shipping,LateDelivery,2026-06-18T06:00:00+09:00
T00214,C00216,O00362,Payment,PaymentFailed,2026-07-04T05:00:00+09:00
T00215,C00218,O00364,Return,SizeIssue,2026-05-15T04:00:00+09:00
T00216,C00218,O00364,Inquiry,GeneralQuestion,2026-05-13T11:00:00+09:00
T00217,C00219,O00365,Return,NotAsDescribed,2026-05-18T02:00:00+09:00
T00218,C00220,O00366,Complaint,NotAsDescribed,2026-06-14T03:00:00+09:00
T00219,C00220,O00366,Return,NotAsDescribed,2026-06-21T07:00:00+09:00
T00220,C00221,O00368,Complaint,LateDelivery,2026-06-29T01:00:00+09:00
T00221,C00224,O00371,Shipping,NoTrackingUpdate,2026-06-23T00:00:00+09:00
T00222,C00225,O00373,Payment,PaymentFailed,2026-06-19T09:00:00+09:00
T00223,C00227,O00376,Complaint,LateDelivery,2026-06-21T04:00:00+09:00
T00224,C00227,O00376,Shipping,NoTrackingUpdate,2026-06-17T09:00:00+09:00
T00225,C00228,O00378,Complaint,LateDelivery,2026-06-17T08:00:00+09:00
T00226,C00228,O00378,Shipping,NoTrackingUpdate,2026-06-15T02:00:00+09:00
T00227,C00229,O00379,Return,NotAsDescribed,2026-06-05T11:00:00+09:00
T00228,C00229,O00380,Payment,PaymentFailed,2026-06-02T11:00:00+09:00
T00229,C00230,O00381,Complaint,LateDelivery,2026-06-28T07:00:00+09:00
T00230,C00232,O00384,Inquiry,GeneralQuestion,2026-06-21T06:00:00+09:00
T00231,C00232,O00385,Shipping,LateDelivery,2026-05-18T07:00:00+09:00
T00232,C00233,O00386,Return,NotAsDescribed,2026-05-16T03:00:00+09:00
T00233,C00235,O00389,Shipping,NoTrackingUpdate,2026-05-15T12:00:00+09:00
T00234,C00236,O00391,Shipping,LateDelivery,2026-06-29T10:00:00+09:00
T00235,C00237,O00392,Payment,PaymentFailed,2026-06-03T09:00:00+09:00
T00236,C00237,O00392,Shipping,NoTrackingUpdate,2026-06-03T08:00:00+09:00
T00237,C00241,O00397,Inquiry,GeneralQuestion,2026-06-25T07:00:00+09:00
T00238,C00241,O00398,Shipping,NoTrackingUpdate,2026-06-24T07:00:00+09:00
T00239,C00241,O00399,Payment,PaymentFailed,2026-06-01T02:00:00+09:00
T00240,C00242,O00400,Payment,PaymentFailed,2026-07-06T02:00:00+09:00
T00241,C00244,O00402,Inquiry,GeneralQuestion,2026-05-28T06:00:00+09:00
T00242,C00244,O00403,Shipping,NoTrackingUpdate,2026-05-24T07:00:00+09:00
T00243,C00245,O00404,Shipping,NoTrackingUpdate,2026-07-06T03:00:00+09:00
T00244,C00246,O00405,Shipping,LateDelivery,2026-05-14T05:00:00+09:00
T00245,C00247,O00407,Return,SizeIssue,2026-07-06T01:00:00+09:00
T00246,C00247,O00408,Inquiry,GeneralQuestion,2026-06-14T07:00:00+09:00
T00247,C00251,O00414,Return,SizeIssue,2026-06-18T05:00:00+09:00
T00248,C00252,O00415,Inquiry,GeneralQuestion,2026-06-21T05:00:00+09:00
T00249,C00254,O00418,Return,NotAsDescribed,2026-05-15T00:00:00+09:00
T00250,C00255,O00420,Return,SizeIssue,2026-06-21T02:00:00+09:00
T00251,C00256,O00422,Complaint,NotAsDescribed,2026-06-01T11:00:00+09:00
T00252,C00256,O00422,Payment,PaymentFailed,2026-06-01T11:00:00+09:00
T00253,C00262,O00431,Inquiry,GeneralQuestion,2026-06-25T07:00:00+09:00
T00254,C00263,O00433,Return,NotAsDescribed,2026-07-02T02:00:00+09:00
T00255,C00265,O00436,Complaint,LateDelivery,2026-06-27T09:00:00+09:00
T00256,C00265,O00436,Inquiry,GeneralQuestion,2026-06-29T12:00:00+09:00
T00257,C00266,O00438,Complaint,LateDelivery,2026-06-21T01:00:00+09:00
T00258,C00266,O00438,Return,NotAsDescribed,2026-06-16T07:00:00+09:00
T00259,C00268,O00443,Inquiry,GeneralQuestion,2026-06-02T07:00:00+09:00
T00260,C00269,O00445,Inquiry,GeneralQuestion,2026-07-01T09:00:00+09:00
T00261,C00274,O00450,Payment,PaymentFailed,2026-06-01T07:00:00+09:00
T00262,C00274,O00451,Shipping,NoTrackingUpdate,2026-06-03T01:00:00+09:00
T00263,C00275,O00453,Inquiry,GeneralQuestion,2026-05-07T03:00:00+09:00
T00264,C00276,O00456,Return,SizeIssue,2026-05-30T07:00:00+09:00
T00265,C00277,O00457,Payment,PaymentFailed,2026-05-07T03:00:00+09:00
T00266,C00278,O00459,Complaint,NotAsDescribed,2026-05-11T07:00:00+09:00
T00267,C00278,O00459,Return,NotAsDescribed,2026-05-07T00:00:00+09:00
T00268,C00279,O00463,Inquiry,GeneralQuestion,2026-05-19T03:00:00+09:00
T00269,C00280,O00465,Complaint,LateDelivery,2026-06-26T02:00:00+09:00
T00270,C00281,O00467,Complaint,NotAsDescribed,2026-05-12T04:00:00+09:00
T00271,C00281,O00467,Payment,PaymentFailed,2026-05-13T00:00:00+09:00
T00272,C00281,O00467,Inquiry,GeneralQuestion,2026-05-07T00:00:00+09:00
T00273,C00283,O00472,Complaint,LateDelivery,2026-06-17T01:00:00+09:00
T00274,C00285,O00474,Payment,PaymentFailed,2026-06-27T12:00:00+09:00
T00275,C00287,O00477,Inquiry,GeneralQuestion,2026-05-09T03:00:00+09:00
T00276,C00289,O00480,Complaint,NotAsDescribed,2026-06-25T10:00:00+09:00
T00277,C00289,O00480,Payment,PaymentFailed,2026-06-22T03:00:00+09:00
T00278,C00291,O00483,Return,NotAsDescribed,2026-05-24T06:00:00+09:00
T00279,C00292,O00486,Return,NotAsDescribed,2026-05-16T08:00:00+09:00
T00280,C00298,O00496,Payment,PaymentFailed,2026-05-16T11:00:00+09:00
T00281,C00299,O00499,Payment,PaymentFailed,2026-05-16T00:00:00+09:00
T00282,C00299,O00500,Inquiry,GeneralQuestion,2026-06-04T04:00:00+09:00
T00283,C00300,O00501,Complaint,NotAsDescribed,2026-07-04T06:00:00+09:00
T00284,C00300,O00501,Return,NotAsDescribed,2026-07-03T09:00:00+09:00
T00285,C00300,O00502,Payment,PaymentFailed,2026-06-09T02:00:00+09:00
T00286,C00301,O00504,Inquiry,GeneralQuestion,2026-06-14T10:00:00+09:00
T00287,C00302,O00505,Inquiry,GeneralQuestion,2026-05-30T03:00:00+09:00
T00288,C00303,O00507,Inquiry,GeneralQuestion,2026-05-20T11:00:00+09:00
T00289,C00304,O00509,Inquiry,GeneralQuestion,2026-06-02T01:00:00+09:00
T00290,C00306,O00512,Shipping,LateDelivery,2026-06-25T08:00:00+09:00
T00291,C00307,O00513,Return,NotAsDescribed,2026-06-12T03:00:00+09:00
T00292,C00307,O00515,Shipping,NoTrackingUpdate,2026-05-14T06:00:00+09:00
T00293,C00308,O00516,Shipping,NoTrackingUpdate,2026-06-11T07:00:00+09:00
T00294,C00309,O00517,Shipping,LateDelivery,2026-05-28T10:00:00+09:00
T00295,C00309,O00517,Shipping,LateDelivery,2026-05-25T00:00:00+09:00
T00296,C00310,O00518,Inquiry,GeneralQuestion,2026-05-06T08:00:00+09:00
T00297,C00311,O00520,Return,NotAsDescribed,2026-05-22T01:00:00+09:00
T00298,C00311,O00521,Complaint,NotAsDescribed,2026-06-28T02:00:00+09:00
T00299,C00312,O00522,Return,SizeIssue,2026-05-14T06:00:00+09:00
T00300,C00313,O00523,Payment,PaymentFailed,2026-06-14T10:00:00+09:00
T00301,C00313,O00523,Shipping,LateDelivery,2026-06-12T06:00:00+09:00
T00302,C00314,O00525,Payment,PaymentFailed,2026-06-10T00:00:00+09:00
T00303,C00316,O00527,Complaint,NotAsDescribed,2026-06-29T00:00:00+09:00
T00304,C00316,O00527,Shipping,NoTrackingUpdate,2026-06-27T12:00:00+09:00
T00305,C00316,O00528,Payment,PaymentFailed,2026-05-24T02:00:00+09:00
T00306,C00318,O00530,Payment,PaymentFailed,2026-06-16T12:00:00+09:00
T00307,C00318,O00531,Shipping,LateDelivery,2026-06-01T12:00:00+09:00
T00308,C00320,O00535,Return,SizeIssue,2026-06-20T01:00:00+09:00
T00309,C00321,O00536,Shipping,NoTrackingUpdate,2026-05-13T11:00:00+09:00
T00310,C00323,O00538,Return,SizeIssue,2026-06-06T07:00:00+09:00
T00311,C00323,O00539,Shipping,LateDelivery,2026-07-08T04:00:00+09:00
T00312,C00325,O00542,Inquiry,GeneralQuestion,2026-06-03T05:00:00+09:00
T00313,C00326,O00543,Payment,PaymentFailed,2026-06-16T06:00:00+09:00
T00314,C00331,O00552,Complaint,NotAsDescribed,2026-05-15T02:00:00+09:00
T00315,C00331,O00552,Inquiry,GeneralQuestion,2026-05-14T01:00:00+09:00
T00316,C00332,O00556,Shipping,NoTrackingUpdate,2026-05-25T00:00:00+09:00
T00317,C00332,O00556,Payment,PaymentFailed,2026-05-23T05:00:00+09:00
T00318,C00333,O00558,Complaint,LateDelivery,2026-06-19T01:00:00+09:00
T00319,C00334,O00559,Payment,PaymentFailed,2026-06-12T10:00:00+09:00
T00320,C00336,O00563,Return,NotAsDescribed,2026-06-07T00:00:00+09:00
T00321,C00337,O00565,Inquiry,GeneralQuestion,2026-05-25T08:00:00+09:00
T00322,C00338,O00566,Shipping,LateDelivery,2026-05-29T11:00:00+09:00
T00323,C00338,O00567,Payment,PaymentFailed,2026-06-17T04:00:00+09:00
T00324,C00339,O00569,Complaint,NotAsDescribed,2026-05-15T05:00:00+09:00
T00325,C00342,O00574,Payment,PaymentFailed,2026-06-03T07:00:00+09:00
T00326,C00343,O00575,Complaint,NotAsDescribed,2026-06-02T11:00:00+09:00
T00327,C00343,O00575,Shipping,LateDelivery,2026-06-03T00:00:00+09:00
T00328,C00344,O00576,Payment,PaymentFailed,2026-05-31T01:00:00+09:00
T00329,C00344,O00577,Inquiry,GeneralQuestion,2026-05-18T09:00:00+09:00
T00330,C00346,O00580,Payment,PaymentFailed,2026-06-16T05:00:00+09:00
T00331,C00346,O00581,Payment,PaymentFailed,2026-06-01T12:00:00+09:00
